317379081333243904	negative	hihi. RT‏@GrumpyMerkel :-[ Offizielles Smiley der Bundeskanzlerin der Bundesrepublik Deutschland	hihi. RT‏@GrumpyMerkel :-[ Offizielle Smiley die Bundeskanzlerin die Bundesrepublik Deutschland	ADJA NN $( NN NE ART NN ART NN NE	0/-- 0/-- 4/-- 0/-- 4/NK 7/NK 4/DA 9/NK 7/AG 9/NK	_ case=nom|gender=masc|num=sg EmoExpression::markable_100500127::Sarcasm=false|EmoExpression::markable_100500127::Uncertain=false|EmoExpression::markable_100500127::Intensity=medium|EmoExpression::markable_100500127::SubjectiveFact=false|EmoExpression::markable_100500127::Polarity=negative|EmoExpression::markable_100500127::EmoExpression=True case=nom|gender=neut|num=sg case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg case=gen|gender=fem|num=sg case=gen|gender=fem|num=sg case=gen|gender=fem|num=sg case=nom|gender=neut|num=sg
332940778932428800	positive	Jetzt kommen gleich die berechtigten Forderungen von Abgeordneten nach einer #smv --- aus Gründen... wg. der Basisbeteiligung :-) #bpt131	jetzt kommen gleich die berechtigt Forderung von Abgeordnete nach eine #smv --- aus Gründen... wg. die Basisbeteiligung :-) #bpt131	ADV VVFIN APPR ART ADJA NN APPR NN APPR ART NN ADJD APPR NN APPR ART NN $( CARD	2/MO 0/-- 2/MO 6/NK 6/NK 3/NK 6/PG 7/NK 6/MNR 11/NK 9/NK 2/MO 2/MO 13/NK 0/-- 17/NK 15/NK 17/-- 15/PAR	_ pers=3|num=pl|tense=pres|mood=ind _ case=acc|gender=fem|num=pl case=acc|gender=fem|EmoExpression::markable_100500196::Polarity=positive|pos=True|EmoExpression::markable_100500196::Sarcasm=false|num=pl|EmoExpression::markable_100500196::Uncertain=false|EmoExpression::markable_100500196::Intensity=medium|EmoExpression::markable_100500196::SubjectiveFact=false|EmoExpression::markable_100500196::EmoExpression=True case=acc|gender=fem|num=pl _ case=dat|*=True|num=pl _ case=dat|gender=fem|num=sg case=dat|gender=fem|num=sg _ _ case=dat|gender=fem|num=sg _ case=dat|gender=fem|num=sg case=dat|gender=fem|num=sg EmoExpression::markable_1::SubjectiveFact=false|EmoExpression::markable_1::EmoExpression=True|EmoExpression::markable_1::Uncertain=false|EmoExpression::markable_1::Polarity=positive|EmoExpression::markable_1::Sarcasm=false|EmoExpression::markable_1::Intensity=medium _
338055510035165185	positive	@jochenmoeller Na endlich auf das Kreuz habe ich gewartet - schliesslich war heute ja Merkel bei Euch :-)	@jochenmoeller na endlich auf die Kreuz haben ich warten - schließlich sein heute ja Merkel bei ihr :-)	NN ITJ ADV APPR ART NN VAFIN PPER VVPP $( ADV VAFIN ADV ADV NE APPR PPER $(	0/-- 3/DM 9/MO 9/OP 6/NK 4/NK 6/NK 7/SB 12/MO 9/-- 12/MO 0/-- 12/MO 12/MO 12/SB 12/MO 16/NK 17/--	comp=True _ EmoExpression::markable_100500128::Uncertain=false|EmoExpression::markable_100500128::Polarity=positive|EmoExpression::markable_100500128::Sarcasm=false|EmoExpression::markable_100500128::Intensity=weak|EmoExpression::markable_100500128::SubjectiveFact=false|EmoExpression::markable_100500128::EmoExpression=True _ case=acc|gender=neut|num=sg case=acc|gender=neut|num=sg pers=1|num=sg|tense=pres|mood=ind case=nom|*=True|num=sg|pers=1 _ _ _ pers=3|num=sg|tense=past|mood=ind _ _ case=acc|*=True|num=sg _ case=dat|*=True|num=pl|pers=2 EmoExpression::markable_2::Uncertain=false|EmoExpression::markable_2::Intensity=medium|EmoExpression::markable_2::Sarcasm=false|EmoExpression::markable_2::SubjectiveFact=false|EmoExpression::markable_2::Polarity=positive|EmoExpression::markable_2::EmoExpression=True
333674320146608129	mixed	@jfkorn Ja ist eine Wette auf die Zukunft. Nur die Grünen stehen mir hierbei noch im Weg ;-)	@jfkorn Ja sein eine Wette auf die Zukunft. nur die Grüne stehen ich hierbei noch in Weg ;-)	NN NN VAFIN ART NN APPR ART NN ADV ART NN VVFIN PPER PAV ADV APPRART NN $(	0/-- 3/SB 0/-- 5/NK 3/SB 5/MNR 8/NK 6/NK 11/MO 11/NK 12/SB 0/-- 12/DA 13/NK 16/MO 12/MO 16/NK 17/--	_ _ pers=3|num=sg|tense=pres|mood=ind case=nom|gender=fem|num=sg case=nom|gender=fem|num=sg _ case=acc|gender=fem|num=sg case=acc|gender=fem|num=sg _ case=nom|*=True|num=pl case=nom|*=True|num=pl EmoExpression::markable_100500197::Uncertain=false|mood=ind|EmoExpression::markable_100500197::SubjectiveFact=false|pers=3|EmoExpression::markable_100500197::EmoExpression=True|num=pl|tense=pres|EmoExpression::markable_100500197::Sarcasm=false|EmoExpression::markable_100500197::Polarity=negative|EmoExpression::markable_100500197::Intensity=medium case=dat|*=True|num=sg|pers=1 _ _ case=dat|gender=masc|num=sg|EmoExpression::markable_100500197::EmoExpression=True case=dat|gender=masc|num=sg|EmoExpression::markable_100500197::EmoExpression=True EmoExpression::markable_3::Intensity=medium|EmoExpression::markable_3::SubjectiveFact=false|EmoExpression::markable_3::EmoExpression=True|EmoExpression::markable_3::Polarity=positive|EmoExpression::markable_3::Sarcasm=false|EmoExpression::markable_3::Uncertain=false
334056629718900736	positive	@Swissairliner @SteinbachErika @SPIEGELONLINE und der hat es doch tatsächlich bis zum minister gebracht. tja so sind se ... ;-)	@Swissairliner @SteinbachErika @SPIEGELONLINE und die haben es doch tatsächlich bis zu minister gebracht. tja so sein se ... ;-)	NN NN NN KON ART VAFIN PPER ADV ADJD KON APPRART ADJA NN NE ADV VAFIN NE $. $(	0/-- 0/-- 0/-- 6/JU 6/SB 0/-- 6/OA 6/MO 6/MO 9/CD 10/CJ 13/NK 11/NK 13/NK 16/MO 6/MO 16/SB 17/-- 0/--	case=nom|gender=masc|num=sg case=nom|gender=neut|num=sg case=nom|gender=fem|num=sg _ case=nom|gender=masc|num=sg pers=3|num=sg|tense=pres|mood=ind case=acc|gender=neut|num=sg|pers=3 _ pos=True _ case=dat|gender=masc|num=sg case=dat|gender=masc|num=sg|pos=True case=dat|gender=masc|num=sg _ _ pers=3|num=pl|tense=pres|mood=ind _ _ EmoExpression::markable_4::Uncertain=false|EmoExpression::markable_4::Sarcasm=false|EmoExpression::markable_4::SubjectiveFact=false|EmoExpression::markable_4::Intensity=medium|EmoExpression::markable_4::Polarity=positive|EmoExpression::markable_4::EmoExpression=True
334768593961115648	positive	@heckenpenner83 Jo, kann ich aber nicht bringen, wenn sie nicht die Wahl zwischen mehreren Optionen hatten. Es sei denn, ich bluffe... hmm :)	@heckenpenner83 Jo, können ich aber nicht bringen, wenn sie nicht die Wahl zwischen mehrere Option hatten. es sein denn, ich bluffe... hmm :)	NN NE VMFIN PPER ADV PTKNEG VVFIN KOUS PPER PTKNEG ART NN APPR PIAT NN NE PPER VAFIN ADV PPER ADJA NN ADJD	0/-- 3/SB 0/-- 3/SB 3/MO 3/NG 3/OC 10/CP 10/SB 7/NG 12/NK 7/OA 12/MNR 15/NK 13/NK 15/AG 18/SB 0/-- 18/MO 21/SB 18/MO 0/-- 22/PD	case=nom|gender=fem|num=sg case=nom|gender=masc|num=sg pers=3|num=sg|tense=pres|mood=ind case=nom|*=True|num=sg|pers=1 _ _ _ _ case=nom|*=True|num=pl|pers=3 _ case=acc|gender=fem|num=sg case=acc|gender=fem|num=sg _ case=dat|gender=masc|num=pl case=nom|gender=fem|num=pl case=nom|gender=neut|num=sg case=nom|gender=neut|num=sg|pers=3 pers=3|num=sg|tense=pres|mood=subj _ case=nom|*=True|num=sg|pers=1 pers=1|num=sg|tense=pres|mood=ind _ EmoExpression::markable_5::Intensity=medium|EmoExpression::markable_5::Sarcasm=false|EmoExpression::markable_5::SubjectiveFact=false|EmoExpression::markable_5::EmoExpression=True|EmoExpression::markable_5::Uncertain=false|EmoExpression::markable_5::Polarity=positive
338037299558371328	negative	#Ursula von der Leyen tritt nächstes Jahr beim #esc mit "ihr kinderlein kommet" an :-) #esc #heuteshow	#Ursula von die Leyen treten nah Jahr bei #esc mit "ihr kinderlein kommet" an :-) #esc #heuteshow	NN APPR ART NE VVFIN ADJA NN APPRART NN APPR NN ADJD VVFIN APPR $( ADJA NN	5/SB 1/PG 4/NK 2/NK 0/-- 7/NK 12/MO 12/MO 8/NK 9/MNR 10/NK 13/MO 5/OC 13/MO 14/-- 17/NK 14/NK	case=nom|Sentiment::markable_100500131::Sarcasm=true|Sentiment::markable_100500131::Polarity=negative|gender=fem|Target::markable_100500132::Preferred=true|Target::markable_100500132::Target=True|num=sg|Target::markable_100500132::Anaphref=empty|Sentiment::markable_100500131::Sentiment=True|Sentiment::markable_100500131::Intensity=weak Target::markable_100500132::Target=True|Sentiment::markable_100500131::Sentiment=True case=dat|gender=fem|num=sg|Target::markable_100500132::Target=True|Sentiment::markable_100500131::Sentiment=True case=dat|gender=fem|num=sg|Target::markable_100500132::Target=True|Sentiment::markable_100500131::Sentiment=True pers=3|Sentiment::markable_100500131::Sentiment=True|num=sg|tense=pres|mood=ind case=nom|gender=neut|num=sg|pos=True|Sentiment::markable_100500131::Sentiment=True case=nom|gender=neut|num=sg|Sentiment::markable_100500131::Sentiment=True case=dat|gender=masc|num=sg|Sentiment::markable_100500131::Sentiment=True case=dat|gender=masc|num=sg|Sentiment::markable_100500131::Sentiment=True Sentiment::markable_100500131::Sentiment=True case=dat|gender=fem|num=sg|Sentiment::markable_100500131::Sentiment=True Sentiment::markable_100500131::Sentiment=True case=dat|*=True|num=sg|Sentiment::markable_100500131::Sentiment=True Sentiment::markable_100500131::Sentiment=True case=dat|EmoExpression::markable_6::SubjectiveFact=false|*=True|EmoExpression::markable_6::Sarcasm=false|num=sg|EmoExpression::markable_6::Uncertain=false|EmoExpression::markable_6::Intensity=medium|Sentiment::markable_100500131::Sentiment=True|EmoExpression::markable_6::EmoExpression=True|EmoExpression::markable_6::Polarity=positive case=dat|*=True|num=sg case=dat|*=True|num=sg
333328012118458368	positive	@michelreimon was haben die grünen anzubieten? Wie viel ideologie könnte es denn bieten? :-)	@michelreimon was haben die grün anzubieten? wie viele Ideologie können es denn bieten? :-)	NN PIS VAFIN ART ADJA ADJA KOUS PIAT NN VMFIN PPER ADV ADJA $(	0/-- 3/SB 0/-- 6/NK 6/MO 3/OC 10/MO 9/NK 7/NK 0/-- 10/EP 10/MO 10/OC 0/--	_ case=acc|gender=neut|num=sg pers=3|num=pl|tense=pres|mood=ind case=nom|gender=masc|num=pl case=nom|gender=masc|num=pl|pos=True case=nom|gender=masc|num=pl|pos=True _ *=True case=acc|gender=fem|num=sg pers=3|num=sg|tense=past|mood=subj case=nom|gender=neut|num=sg|pers=3 _ case=acc|gender=neut|num=pl|pos=True EmoExpression::markable_7::EmoExpression=True|EmoExpression::markable_7::Uncertain=false|EmoExpression::markable_7::Intensity=medium|EmoExpression::markable_7::SubjectiveFact=false|EmoExpression::markable_7::Sarcasm=false|EmoExpression::markable_7::Polarity=positive
323883196783669248	mixed	Südkorea vermutet Nordkorea hinter "Cyber Angriff" http://t.co/oh2MN22RST Kann ich mir nicht ganz vorstellen ;-) http://t.co/HFKRtLLKm5	Südkorea vermuten Nordkorea hinter "Cyber Angriff" http://t.co/oh2MN22RST können ich ich nicht ganz vorstellen ;-) http://t.co/HFKRtLLKm5	NE VVFIN NE APPR NN ADJA NN VMFIN PPER PRF PTKNEG ADV VVINF $( NN	2/SB 0/-- 2/OA 6/MO 4/NK 7/NK 2/DA 2/CJ 8/SB 13/DA 8/NG 13/MO 8/OC 13/-- 13/CJ	case=nom|gender=neut|num=sg pers=3|num=sg|tense=pres|mood=ind case=nom|EmoExpression::markable_100500198::SubjectiveFact=true|EmoExpression::markable_100500198::Sarcasm=false|EmoExpression::markable_100500198::EmoExpression=True|gender=neut|EmoExpression::markable_100500198::Uncertain=false|EmoExpression::markable_100500198::Intensity=medium|EmoExpression::markable_100500198::Polarity=negative|num=sg _ case=dat|EmoExpression::markable_100500200::Sarcasm=false|gender=fem|EmoExpression::markable_100500200::SubjectiveFact=false|EmoExpression::markable_100500200::Polarity=negative|EmoExpression::markable_100500199::EmoExpression=True|num=sg|EmoExpression::markable_100500200::Uncertain=false|EmoExpression::markable_100500200::Intensity=medium|EmoExpression::markable_100500200::EmoExpression=True case=dat|gender=fem|num=sg|pos=True case=dat|gender=fem|num=sg pers=3|num=sg|tense=pres|mood=ind case=nom|*=True|num=sg|pers=1 case=dat|*=True|num=sg|pers=1 _ _ _ EmoExpression::markable_8::SubjectiveFact=false|EmoExpression::markable_8::Intensity=medium|EmoExpression::markable_8::Polarity=positive|EmoExpression::markable_8::Sarcasm=false|EmoExpression::markable_8::EmoExpression=True|EmoExpression::markable_8::Uncertain=false _
334041643680415744	mixed	@bulgerina mhh, und dann hinterziehst du auch keine Steuern... also wahrlich kein FDP Wähler :-)	@bulgerina mhh, und dann hinterziehst du auch keine Steuern... also wahrlich keine FDP Wähler :-)	NN NE KON ADV VVFIN PPER ADV PIAT NN ADV ADV PIAT NE NN $(	0/-- 0/-- 2/CD 5/MO 3/CJ 5/SB 9/MO 9/NK 5/OA 14/MO 12/MO 13/NK 14/NK 0/-- 14/--	case=nom|gender=neut|num=sg case=nom|*=True|num=sg _ _ EmoExpression::markable_100500201::Intensity=medium|EmoExpression::markable_100500201::EmoExpression=True|mood=ind|EmoExpression::markable_100500201::SubjectiveFact=false|EmoExpression::markable_100500201::Uncertain=false|pers=2|num=sg|tense=pres|EmoExpression::markable_100500201::Sarcasm=false|EmoExpression::markable_100500201::Polarity=negative case=nom|gender=masc|num=sg|pers=2 _ case=acc|gender=fem|num=sg case=acc|gender=fem|num=sg|EmoExpression::markable_100500201::EmoExpression=True _ _ case=nom|gender=neut|num=sg case=nom|gender=fem|num=sg case=nom|gender=fem|num=sg EmoExpression::markable_9::Uncertain=false|EmoExpression::markable_9::Polarity=positive|EmoExpression::markable_9::Sarcasm=false|EmoExpression::markable_9::Intensity=medium|EmoExpression::markable_9::SubjectiveFact=false|EmoExpression::markable_9::EmoExpression=True
334033238228078593	positive	Der Peer Steinbrück ist doch bestimmt ein Undercover-Politiker der CDU um die SPD auffliegen zu lassen. ;-)	die Peer Steinbrück sein doch bestimmt eine Undercover-Politiker die CDU um die SPD auffliegen zu lassen. ;-)	ART NE NN VAFIN ADV ADV ART NN ART NE APPR ART NE VVFIN APPR NE $(	3/NK 3/NK 4/SB 0/-- 4/MO 4/MO 8/NK 4/PD 10/NK 8/AG 8/MNR 13/NK 11/NK 4/PD 14/MO 15/NK 0/--	case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg pers=3|num=sg|tense=pres|mood=ind _ _ case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg case=gen|gender=fem|num=sg case=gen|gender=fem|num=sg _ case=acc|gender=fem|num=sg case=acc|gender=fem|num=sg _ _ case=dat|*=True|num=sg EmoExpression::markable_10::Uncertain=false|EmoExpression::markable_10::Polarity=positive|EmoExpression::markable_10::Sarcasm=false|EmoExpression::markable_10::Intensity=medium|EmoExpression::markable_10::EmoExpression=True|EmoExpression::markable_10::SubjectiveFact=false
