369517901734096896	positive	Piraten bei puls4! gleich geht los :-) http://t.co/EGeZ2oiZrQ	Pirat bei puls4! gleich gehen los :-) http://t.co/EGeZ2oiZrQ	NN APPR ADJD ADJD VVFIN ADJD $( NN	0/-- 1/MNR 2/NK 5/MO 0/-- 5/MO 6/-- 6/PAR	case=nom|Target::markable_4::Preferred=true|Target::markable_4::Anaphref=empty|gender=masc|Target::markable_4::Target=True|Sentiment::markable_1::Sentiment=True|Sentiment::markable_1::Sarcasm=false|num=pl|Sentiment::markable_1::Polarity=positive|Sentiment::markable_1::Intensity=medium Target::markable_4::Target=True|Sentiment::markable_1::Sentiment=True pers=3|num=pl|tense=pres|mood=ind|Sentiment::markable_1::Sentiment=True pos=True|Sentiment::markable_1::Sentiment=True pers=3|num=sg|tense=pres|mood=ind|Sentiment::markable_1::Sentiment=True Sentiment::markable_1::Sentiment=True EmoExpression::markable_3::Intensity=medium|EmoExpression::markable_3::SubjectiveFact=false|EmoExpression::markable_3::EmoExpression=True|EmoExpression::markable_3::Polarity=positive|Sentiment::markable_1::Sentiment=True|EmoExpression::markable_3::Sarcasm=false|EmoExpression::markable_3::Uncertain=false _
380655300216225792	mixed	@JP_Stich 38 CDU + 6 FDP + 6 AfD hiess es heute früh. :( Aber morgens am Bahnhof beim Verteilen sieht es nach 85% RotGrün aus. ;)	@JP_Stich @card@ CDU + 6 FDP + 6 AfD heißen es heute früh. :( aber morgens an Bahnhof bei Verteilen sehen es nach @card@ rotgrün aus. ;)	NN CARD NE KON CARD NE KON CARD NN VVFIN PPER ADV ADJA NN KON ADV APPRART NN APPRART NN VVFIN PPER APPR CARD ADJD ADJA NN	0/-- 9/NK 2/SB 3/CD 6/NK 4/CJ 2/CD 7/CJ 10/MO 0/-- 10/EP 10/MO 10/MO 21/SB 14/CD 17/MO 14/CJ 17/NK 14/MNR 19/NK 0/-- 21/EP 21/MO 23/NK 26/MO 21/MO 0/--	case=nom|gender=masc|num=sg Target::markable_10::Anaphref=empty|Sentiment::markable_9::Intensity=medium|Target::markable_10::Preferred=true|Sentiment::markable_9::Sentiment=True|Sentiment::markable_9::Sarcasm=false|Target::markable_10::Target=True|Sentiment::markable_9::Polarity=negative case=nom|gender=fem|num=sg|Target::markable_10::Target=True|Sentiment::markable_9::Sentiment=True Target::markable_10::Target=True|Sentiment::markable_9::Sentiment=True Target::markable_10::Target=True|Sentiment::markable_9::Sentiment=True case=nom|gender=fem|num=sg|Target::markable_10::Target=True|Sentiment::markable_9::Sentiment=True Target::markable_10::Target=True|Sentiment::markable_9::Sentiment=True Target::markable_10::Target=True|Sentiment::markable_9::Sentiment=True gender=fem|*=True|Target::markable_10::Target=True|Sentiment::markable_9::Sentiment=True pers=3|num=sg|tense=past|mood=ind|Sentiment::markable_9::Sentiment=True case=nom|gender=neut|num=sg|Sentiment::markable_9::Sentiment=True|pers=3 Sentiment::markable_9::Sentiment=True case=acc|gender=neut|num=pl|pos=True|Sentiment::markable_9::Sentiment=True case=nom|EmoExpression::markable_5::Intensity=medium|gender=masc|EmoExpression::markable_5::EmoExpression=True|EmoExpression::markable_5::SubjectiveFact=false|EmoExpression::markable_5::Uncertain=false|num=sg|Sentiment::markable_9::Sentiment=True|EmoExpression::markable_5::Sarcasm=false|EmoExpression::markable_5::Polarity=negative Sentiment::markable_6::Polarity=positive|Sentiment::markable_6::Sentiment=True|Sentiment::markable_6::Intensity=medium|Sentiment::markable_6::Sarcasm=false Sentiment::markable_6::Sentiment=True case=dat|gender=masc|Sentiment::markable_6::Sentiment=True|num=sg case=dat|gender=masc|Sentiment::markable_6::Sentiment=True|num=sg case=dat|gender=masc|Sentiment::markable_6::Sentiment=True|num=sg case=dat|gender=masc|Sentiment::markable_6::Sentiment=True|num=sg pers=3|num=sg|tense=pres|mood=ind case=nom|gender=neut|Sentiment::markable_6::Sentiment=True|num=sg|pers=3 Sentiment::markable_6::Sentiment=True Target::markable_7::Preferred=true|Sentiment::markable_6::Sentiment=True|Target::markable_7::Anaphref=empty|Target::markable_7::Target=True Sentiment::markable_6::Sentiment=True|pos=True|Target::markable_7::Target=True Sentiment::markable_6::Sentiment=True EmoExpression::markable_8::SubjectiveFact=false|EmoExpression::markable_8::Intensity=medium|EmoExpression::markable_8::Polarity=positive|EmoExpression::markable_8::Sarcasm=false|EmoExpression::markable_8::EmoExpression=True|Sentiment::markable_6::Sentiment=True|EmoExpression::markable_8::Uncertain=false
381735322511368193	positive	@GoeringEckardt Ich habe den Grünen beide Stimmen gegeben. Nette Grüsse aus Flensburg :)	@GoeringEckardt ich haben die Grüne beide Stimme|Stimmen gegeben. nett Gruß aus Flensburg :)	NN PPER VAFIN ART NN PIAT NN NE ADJA NN APPR NE ADJA	0/-- 3/SB 0/-- 5/NK 3/OA 7/NK 5/AG 7/AG 10/NK 13/SB 10/MNR 11/NK 0/--	case=nom|gender=neut|num=sg case=nom|Source::markable_12::Anaphref=empty|Source::markable_12::Source=True|*=True|pers=1|Sentiment::markable_11::Polarity=positive|num=sg|Sentiment::markable_11::Intensity=medium|Sentiment::markable_11::Sentiment=True|Sentiment::markable_11::Sarcasm=false pers=1|num=sg|tense=pres|mood=ind|Sentiment::markable_11::Sentiment=True case=acc|num=sg|Target::markable_13::Anaphref=empty|Target::markable_13::Preferred=true|gender=masc|Sentiment::markable_11::Sentiment=True|Target::markable_13::Target=True case=acc|gender=masc|num=sg|Sentiment::markable_11::Sentiment=True|Target::markable_13::Target=True pers=1|num=sg|tense=pres|mood=ind|Sentiment::markable_11::Sentiment=True case=acc|EmoExpression::markable_14::Polarity=positive|EmoExpression::markable_14::SubjectiveFact=false|EmoExpression::markable_14::Sarcasm=false|gender=fem|EmoExpression::markable_14::EmoExpression=True|Sentiment::markable_11::Sentiment=True|num=pl|EmoExpression::markable_14::Uncertain=false|EmoExpression::markable_14::Intensity=medium _ case=nom|EmoExpression::markable_15::Intensity=medium|EmoExpression::markable_15::SubjectiveFact=false|gender=masc|pos=True|EmoExpression::markable_15::Uncertain=false|EmoExpression::markable_15::Polarity=positive|num=pl|EmoExpression::markable_15::EmoExpression=True|EmoExpression::markable_15::Sarcasm=false case=nom|gender=masc|num=pl _ case=dat|gender=neut|num=sg case=dat|EmoExpression::markable_16::EmoExpression=True|gender=neut|EmoExpression::markable_16::Uncertain=false|EmoExpression::markable_16::Intensity=medium|EmoExpression::markable_16::Polarity=positive|num=sg|EmoExpression::markable_16::Sarcasm=false|EmoExpression::markable_16::SubjectiveFact=false
367622871226388480	positive	@gruenler Es gibt natürlich den Themenübersichtsflyer, so als Zwischending noch, gell :) http://t.co/XH9eKu2iqQ	@gruenler es geben natürlich die Themenübersichtsflyer, so als Zwischending noch, gell :) http://t.co/XH9eKu2iqQ	NN PPER VVFIN ADV ART NN ADV KOKOM NN NE ITJ ADJA NN	0/-- 3/EP 0/-- 3/MO 6/NK 3/OA 3/MO 9/CM 7/CC 9/NK 7/DM 13/NK 3/OA	comp=True case=nom|gender=neut|num=sg|pers=3 pers=3|num=sg|tense=pres|mood=ind _ case=acc|gender=masc|num=sg case=acc|gender=masc|num=sg _ _ case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg _ EmoExpression::markable_17::SubjectiveFact=false|EmoExpression::markable_17::Polarity=positive|EmoExpression::markable_17::EmoExpression=True|EmoExpression::markable_17::Sarcasm=false|EmoExpression::markable_17::Uncertain=false|EmoExpression::markable_17::Intensity=medium _
381812762948960256	positive	42%schwarz! Rot-grün und auch rot-rot-grün ist nichts und wird auch nichts:) Daumendrücken für die Liberalen! #btw13	42%schwarz! Rot-grün und auch rot-rot-grün sein nichts und werden auch nichts:) Daumendruck für die Liberalen! #btw13	ADJD ADJD KON ADV ADJD VAFIN PIS KON VAFIN ADV ADJA NN APPR ART ADJA CARD	0/-- 6/PD 2/CD 5/MO 3/CJ 0/-- 6/SB 6/CD 8/CJ 12/MO 12/NK 9/SB 12/MNR 15/NK 13/NK 0/--	Target::markable_19::Target=True|Sentiment::markable_18::Sentiment=True Target::markable_19::Target=True|pos=True|Sentiment::markable_18::Sentiment=True Sentiment::markable_18::Sentiment=True Sentiment::markable_18::Sentiment=True Target::markable_20::Target=True|pos=True|Sentiment::markable_18::Sentiment=True pers=3|num=sg|tense=pres|mood=ind|Sentiment::markable_18::Sentiment=True EmoExpression::markable_21::EmoExpression=True|gender=neut|*=True|EmoExpression::markable_21::Intensity=medium|EmoExpression::markable_21::SubjectiveFact=false|EmoExpression::markable_21::Uncertain=false|EmoExpression::markable_21::Polarity=negative|EmoExpression::markable_21::Sarcasm=false|Sentiment::markable_18::Sentiment=True Sentiment::markable_18::Sentiment=True pers=3|num=sg|tense=pres|mood=ind|Sentiment::markable_18::Sentiment=True Sentiment::markable_18::Sentiment=True case=acc|EmoExpression::markable_24::Sarcasm=false|gender=fem|pos=True|EmoExpression::markable_24::Intensity=medium|num=pl|EmoExpression::markable_24::Uncertain=false|EmoExpression::markable_24::Polarity=positive|EmoExpression::markable_24::EmoExpression=True|Sentiment::markable_18::Sentiment=True|EmoExpression::markable_24::SubjectiveFact=false case=acc|EmoExpression::markable_26::Sarcasm=false|EmoExpression::markable_26::EmoExpression=True|EmoExpression::markable_26::Uncertain=false|EmoExpression::markable_26::Intensity=medium|gender=fem|EmoExpression::markable_26::Polarity=positive|Sentiment::markable_25::Polarity=positive|num=pl|Sentiment::markable_25::Sarcasm=false|Sentiment::markable_25::Intensity=medium|EmoExpression::markable_26::SubjectiveFact=false|Sentiment::markable_25::Sentiment=True Sentiment::markable_25::Sentiment=True case=acc|Target::markable_27::Anaphref=empty|num=sg|Target::markable_27::Preferred=true|gender=fem|Sentiment::markable_25::Sentiment=True|Target::markable_27::Target=True case=acc|gender=fem|Sentiment::markable_25::Sentiment=True|num=sg|pos=True _
350698135019982848	positive	RT @JohnSturges: Früher verbrannte Politik Hexen, heute verspricht sie dem Wähler Milliardengeschenke. Symbolpolitik gestern und heute ;-)	RT @JohnSturges: früher verbrannt Politik Hexen, heute versprechen sie die Wähler Milliardengeschenke. Symbolpolitik gestern und heute ;-)	NE NN ADV ADJA NN NE ADV VVFIN PPER ART NN NE NN ADV KON ADV $(	2/AG 0/-- 5/MO 5/NK 8/SB 5/NK 8/MO 0/-- 8/SB 11/NK 8/DA 11/NK 0/-- 13/MO 14/CD 15/CJ 16/--	case=nom|gender=neut|num=sg case=nom|gender=neut|num=sg comp=True case=nom|gender=fem|num=sg|pos=True case=nom|gender=fem|num=sg case=nom|*=True|num=sg _ pers=3|num=sg|tense=pres|mood=ind case=nom|gender=fem|num=sg|pers=3 case=dat|gender=masc|num=sg case=dat|gender=masc|num=sg case=nom|gender=neut|num=sg case=nom|gender=fem|num=sg _ _ _ EmoExpression::markable_28::Intensity=medium|EmoExpression::markable_28::Sarcasm=false|EmoExpression::markable_28::SubjectiveFact=false|EmoExpression::markable_28::Polarity=positive|EmoExpression::markable_28::EmoExpression=True|EmoExpression::markable_28::Uncertain=false
374222913320124416	positive	Danke aus USA! ;-) MT @ARDde @Christiane @planspark #Livestream #ARDMediathek auch im Ausland http://t.co/kVuXV1OGEH ab 20.15 Uhr #tvduell	Dank aus USA! ;-) MT @ARDde @Christiane @planspark #Livestream #ARDMediathek auch in Ausland http://t.co/kVuXV1OGEH ab @card@ Uhr #tvduell	NN APPR ADJA $( ADJA NN NE NN NN NN ADV APPRART NN NE APPR CARD NN NN	0/-- 1/MNR 2/NK 5/-- 6/NK 0/-- 0/-- 0/-- 0/-- 9/NK 12/MO 9/PAR 12/NK 13/NK 12/CJ 17/NK 15/NK 17/NK	EmoExpression::markable_30::EmoExpression=True|EmoExpression::markable_30::Uncertain=false|EmoExpression::markable_30::Intensity=medium|EmoExpression::markable_30::SubjectiveFact=false|EmoExpression::markable_30::Polarity=positive|EmoExpression::markable_30::Sarcasm=false _ case=dat|*=True|num=pl|pos=True EmoExpression::markable_29::Uncertain=false|EmoExpression::markable_29::EmoExpression=True|EmoExpression::markable_29::Polarity=positive|EmoExpression::markable_29::Sarcasm=false|EmoExpression::markable_29::Intensity=medium|EmoExpression::markable_29::SubjectiveFact=false case=nom|gender=neut|num=pl|pos=True case=nom|gender=neut|num=pl case=nom|gender=fem|num=sg case=nom|gender=masc|num=sg case=nom|gender=neut|num=sg case=nom|gender=neut|num=sg _ case=dat|gender=neut|num=sg case=dat|gender=neut|num=sg case=dat|*=True|num=sg _ _ gender=fem|*=True pos=True
383213928559693824	negative	"Antiautoritäre tendenzlinke Naivlibertäre" ist die treffenste Beschreibung der #PPat die ich je hörte :) http://t.co/oqsrxYhjup	"Antiautoritäre tendenzlinke Naivlibertäre" sein die treffenste Beschreibung die #PPat die ich je hören :) http://t.co/oqsrxYhjup	NN ADJA NN VAFIN ART ADJA NN ART NN PRELS PPER ADV VVFIN ADJA NN	3/NK 3/NK 4/SB 0/-- 7/NK 7/NK 4/SB 9/NK 7/AG 13/OA 13/SB 13/MO 7/RC 15/NK 13/OA	case=nom|EmoExpression::markable_35::Uncertain=false|EmoExpression::markable_35::Intensity=medium|EmoExpression::markable_35::Sarcasm=false|gender=masc|EmoExpression::markable_35::EmoExpression=True|num=pl|EmoExpression::markable_35::SubjectiveFact=false|Sentiment::markable_31::Sentiment=True|EmoExpression::markable_35::Polarity=negative case=nom|EmoExpression::markable_36::EmoExpression=True|gender=masc|pos=True|EmoExpression::markable_36::Intensity=medium|num=pl|EmoExpression::markable_36::SubjectiveFact=false|EmoExpression::markable_36::Uncertain=false|Sentiment::markable_31::Sentiment=True|EmoExpression::markable_36::Polarity=negative|EmoExpression::markable_36::Sarcasm=false case=nom|gender=masc|num=pl|Sentiment::markable_31::Sentiment=True pers=3|num=sg|tense=pres|mood=ind|Sentiment::markable_31::Sentiment=True case=nom|gender=fem|num=sg|Sentiment::markable_31::Sentiment=True case=nom|gender=fem|num=sg|Sentiment::markable_31::Sentiment=True|sup=True case=nom|gender=fem|num=sg|Sentiment::markable_31::Sentiment=True case=gen|gender=fem|num=sg|Sentiment::markable_31::Sentiment=True case=gen|Target::markable_34::Target=True|num=sg|Target::markable_34::Anaphref=empty|gender=fem|Sentiment::markable_31::Sentiment=True|Target::markable_34::Preferred=true case=acc|gender=fem|num=sg|Sentiment::markable_31::Sentiment=True case=nom|pers=1|num=sg|Source::markable_32::Source=True|*=True|Sentiment::markable_31::Sentiment=True|Source::markable_32::Anaphref=empty Sentiment::markable_31::Sentiment=True pers=1|num=sg|tense=past|mood=ind|Sentiment::markable_31::Sentiment=True pers=1|num=sg|tense=pres|mood=ind|Sentiment::markable_31::Sentiment=True case=acc|gender=masc|num=sg
370604383614304256	positive	Grösser als #myLGS? :D RT @Fl0range Die #myLGS hat von mir gerade eine 8x10m grosse orange Plane geschenkt bekommen :) #PIRATEN #DresdenOrange	groß als #myLGS? :D RT @Fl0range die #myLGS haben von ich gerade eine 8x10m groß orange Plane schenken bekommen :) #PIRATEN #DresdenOrange	ADJD KOKOM ADJA NN NE NN ART NN VAFIN APPR PPER ADV ART NE ADJA ADJA NN VVPP VVFIN ADJA NN ADJA	0/-- 3/CM 1/CC 0/-- 4/NK 4/PD 8/NK 9/SB 0/-- 13/PG 10/NK 13/MO 14/NK 9/SB 17/NK 17/NK 18/OA 9/OC 21/NK 21/NK 22/OA 18/MO	comp=True _ case=nom|gender=masc|num=pl|pos=True case=nom|EmoExpression::markable_38::Sarcasm=false|EmoExpression::markable_38::EmoExpression=True|gender=fem|EmoExpression::markable_38::Uncertain=false|EmoExpression::markable_38::Intensity=medium|EmoExpression::markable_38::Polarity=positive|num=sg|EmoExpression::markable_38::SubjectiveFact=false case=nom|gender=fem|num=sg case=nom|gender=fem|num=sg case=nom|gender=fem|num=sg case=nom|gender=fem|num=sg pers=3|num=sg|tense=pres|mood=ind _ case=dat|*=True|num=sg|pers=1 _ case=nom|gender=fem|num=sg case=nom|gender=fem|num=sg case=nom|gender=fem|num=sg|pos=True case=nom|gender=fem|num=sg|pos=True case=nom|gender=fem|num=sg _ _ EmoExpression::markable_39::SubjectiveFact=false|EmoExpression::markable_39::EmoExpression=True|EmoExpression::markable_39::Polarity=positive|EmoExpression::markable_39::Sarcasm=false|EmoExpression::markable_39::Uncertain=false|EmoExpression::markable_39::Intensity=medium case=nom|gender=fem|num=sg case=nom|gender=fem|num=sg|pos=True
355241171917864961	positive	RT @jerryweyer: @PP_Flaschenpost Momentan brauchen wir Geld :) Also diese Spendenplattform sharen, mit Tag #Neiwahlen: https://t.co/1jD5Tx8...	RT @jerryweyer: @PP_Flaschenpost momentan brauchen wir Geld :) also dies Spendenplattform sharen, mit Tag #Neiwahlen: https://t.co/1jD5Tx8...	NE ADJA NN ADJD VVFIN PPER NN ADJD ADV PDAT NN NE APPR NN ADJA NN	0/-- 1/UC 0/-- 5/MO 0/-- 5/SB 5/OA 5/MO 5/MO 11/NK 5/OA 11/NK 5/MO 13/NK 16/NK 14/AG	case=nom|*=True|num=sg case=nom|*=True|num=sg case=nom|gender=masc|num=sg pos=True pers=1|num=pl|tense=pres|mood=ind case=nom|*=True|num=pl|pers=1 case=acc|gender=neut|num=sg case=acc|EmoExpression::markable_40::EmoExpression=True|EmoExpression::markable_40::SubjectiveFact=false|gender=neut|EmoExpression::markable_40::Sarcasm=false|num=sg|EmoExpression::markable_40::Uncertain=false|EmoExpression::markable_40::Intensity=medium|EmoExpression::markable_40::Polarity=positive _ case=acc|gender=fem|num=sg case=acc|gender=fem|num=sg case=nom|*=True|num=sg _ case=dat|gender=masc|num=sg case=dat|gender=masc|num=sg|pos=True case=dat|gender=masc|num=sg
371723710790909952	positive	@hoferchr ja, tut er bei mir. Natürlich nicht jeden Tag und ich habe noch Wasser und grünen Tee dazu :)	@hoferchr ja, tun er bei mir. natürlich nicht jede Tag und ich haben noch Wasser und grün Tee dazu :)	NN NE VVFIN PPER APPR NE ADJD PTKNEG PIAT NN KON PPER VAFIN ADV NN KON ADJA NN PAV ADJA	0/-- 3/SB 0/-- 3/SB 3/MO 5/NK 20/MO 9/NG 10/NK 7/MO 7/CD 13/SB 11/CJ 15/MO 13/OA 15/CD 18/NK 16/CJ 15/NK 0/--	case=nom|gender=fem|num=sg _ pers=3|num=sg|tense=pres|mood=ind case=nom|gender=masc|num=sg|pers=3 _ case=dat|gender=neut|num=sg _ _ case=acc|gender=masc|num=sg case=acc|gender=masc|num=sg _ case=nom|*=True|num=sg|pers=1 pers=1|num=sg|tense=pres|mood=ind _ case=acc|gender=neut|num=sg _ case=dat|gender=fem|num=sg|pos=True case=dat|gender=fem|num=sg _ case=gen|EmoExpression::markable_41::EmoExpression=True|EmoExpression::markable_41::Uncertain=false|EmoExpression::markable_41::Intensity=medium|gender=masc|EmoExpression::markable_41::Polarity=positive|EmoExpression::markable_41::Sarcasm=false|pos=True|num=pl|EmoExpression::markable_41::SubjectiveFact=false
