311972225265836033	positive	:-))) Der neue Papst: Es ist ein Argentinier http://t.co/51IzDHwkaV via @SPIEGELONLINE	:-))) die neu Papst: es sein eine Argentinier http://t.co/51IzDHwkaV via @SPIEGELONLINE	NN ART ADJA NN PPER VAFIN ART NN NN APPR NN	6/PD 4/NK 4/NK 1/NK 6/SB 0/-- 8/NK 6/PD 8/NK 8/MNR 10/NK	case=nom|Sentiment::markable_1::Sarcasm=false|EmoExpression::markable_2::SubjectiveFact=false|EmoExpression::markable_2::Polarity=positive|gender=masc|Sentiment::markable_1::Sentiment=True|EmoExpression::markable_2::Uncertain=false|EmoExpression::markable_2::Intensity=medium|num=sg|EmoExpression::markable_2::Sarcasm=false|Sentiment::markable_1::Polarity=positive|Sentiment::markable_1::Intensity=medium|EmoExpression::markable_2::EmoExpression=True case=nom|num=sg|Target::markable_3::Target=True|Target::markable_3::Anaphref=empty|gender=masc|Target::markable_3::Preferred=true|Sentiment::markable_1::Sentiment=True case=nom|num=sg|Target::markable_3::Target=True|gender=masc|pos=True|Sentiment::markable_1::Sentiment=True case=nom|gender=masc|num=sg|Target::markable_3::Target=True|Sentiment::markable_1::Sentiment=True case=nom|pers=3|num=sg|Target::markable_3::Target=True|gender=neut|Sentiment::markable_1::Sentiment=True pers=3|num=sg|tense=pres|mood=ind|Target::markable_3::Target=True|Sentiment::markable_1::Sentiment=True case=nom|gender=masc|num=sg|Target::markable_3::Target=True|Sentiment::markable_1::Sentiment=True case=nom|gender=masc|num=sg|Target::markable_3::Target=True|Sentiment::markable_1::Sentiment=True case=nom|gender=masc|num=sg _ case=acc|gender=masc|*=True
311920588497231875	positive	ooh, de neue Papst is süss, der gute :-)	ooh, de neu Papst is süss, die gut :-)	NE NE ADJA NN NE NE ART ADJA $(	2/PNC 4/SB 4/NK 0/-- 6/PNC 4/NK 8/NK 4/PAR 8/--	Sentiment::markable_4::Sentiment=True|*=True Sentiment::markable_4::Sentiment=True|Target::markable_5::Target=True|Target::markable_5::Preferred=true|*=True|Target::markable_5::Anaphref=empty case=acc|Sentiment::markable_4::Sentiment=True|num=sg|Target::markable_5::Target=True|gender=fem|pos=True case=acc|gender=fem|num=sg|Sentiment::markable_4::Sentiment=True|Target::markable_5::Target=True Sentiment::markable_4::Sentiment=True case=nom|gender=masc|num=sg|Sentiment::markable_4::Sentiment=True case=nom|gender=masc|num=sg|Sentiment::markable_4::Sentiment=True case=nom|Sentiment::markable_4::Sentiment=True|EmoExpression::markable_7::Uncertain=false|EmoExpression::markable_7::Intensity=medium|EmoExpression::markable_7::EmoExpression=True|gender=masc|EmoExpression::markable_7::Sarcasm=false|EmoExpression::markable_7::SubjectiveFact=false|pos=True|EmoExpression::markable_7::Polarity=positive|num=sg EmoExpression::markable_8::SubjectiveFact=false|EmoExpression::markable_8::Intensity=medium|EmoExpression::markable_8::Polarity=positive|EmoExpression::markable_8::Sarcasm=false|EmoExpression::markable_8::EmoExpression=True|EmoExpression::markable_8::Uncertain=false|Sentiment::markable_4::Sentiment=True
311918752864288768	positive	War auch mein erster Gedanke :-) RT @Koerber: Kardinal Jorge? Hola, Chicas! #Papst"	sein auch mein erst Gedanke :-) RT @Koerber: Kardinal Jorge? Hola, Chicas! #Papst"	VAFIN ADV PPOSAT ADJA NN $( NE NN NN NE NE NE ADJA	0/-- 5/MO 5/NK 5/NK 1/SB 5/-- 5/NK 1/PD 0/-- 9/NK 12/PNC 0/-- 0/--	pers=3|num=sg|tense=past|mood=ind _ case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg|pos=True case=nom|gender=masc|num=sg EmoExpression::markable_9::Uncertain=false|EmoExpression::markable_9::Polarity=positive|EmoExpression::markable_9::Sarcasm=false|EmoExpression::markable_9::Intensity=medium|EmoExpression::markable_9::SubjectiveFact=false|EmoExpression::markable_9::EmoExpression=True case=nom|*=True|num=sg case=acc|gender=neut|num=sg case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg case=nom|gender=neut|num=sg case=nom|gender=neut|num=sg _
311908929766572032	positive	Die Welt hat einen neuen Papst :)	die Welt haben eine neu Papst :)	ART NN VAFIN ART ADJA NN ADJD	2/NK 3/SB 0/-- 6/NK 6/NK 3/OA 3/MO	case=nom|gender=fem|num=sg case=nom|gender=fem|num=sg pers=3|num=sg|tense=pres|mood=ind case=acc|gender=masc|num=sg case=acc|gender=masc|num=sg|pos=True case=acc|gender=masc|num=sg EmoExpression::markable_10::Uncertain=false|EmoExpression::markable_10::Polarity=positive|EmoExpression::markable_10::Sarcasm=false|EmoExpression::markable_10::Intensity=medium|EmoExpression::markable_10::EmoExpression=True|EmoExpression::markable_10::SubjectiveFact=false
311942701710987264	positive	"@bernry: Bayern hat noch nie an einem Tag verloren, an dem ein neuer Papst gewählt wurde. #FCBAFC und der heisst franz :-)	"@bernry: Bayern haben noch nie an eine Tag verloren, an die eine neu Papst wählen wurde. #FCBAFC und die heißen Franz :-)	NN NE VAFIN ADV ADV APPR ART NN NE APPR ART ART ADJA NN VVPP NE NE KON ART VVFIN NE $(	0/-- 3/SB 0/-- 5/MO 15/MO 15/MO 8/NK 6/NK 8/NK 15/MO 14/NK 14/NK 14/NK 10/NK 3/OC 15/OA 20/SB 17/CD 18/CJ 0/-- 20/MO 21/--	case=nom|gender=neut|num=sg case=nom|Sentiment::markable_12::Sentiment=True|Target::markable_13::Anaphref=empty|Target::markable_13::Preferred=true|gender=neut|Sentiment::markable_12::Sarcasm=false|Target::markable_13::Target=True|Sentiment::markable_12::Polarity=positive|num=sg|Sentiment::markable_12::Intensity=medium pers=3|Sentiment::markable_12::Sentiment=True|num=sg|tense=pres|mood=ind Sentiment::markable_12::Sentiment=True Sentiment::markable_12::Sentiment=True|Negation::markable_15::EmoExpressionRef=emo-expression:markable_14|Negation::markable_15::Negation=True Sentiment::markable_12::Sentiment=True case=dat|gender=masc|num=sg|Sentiment::markable_12::Sentiment=True case=dat|gender=masc|num=sg|Sentiment::markable_12::Sentiment=True case=nom|*=True|num=sg _ case=dat|gender=masc|num=sg case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg|pos=True case=nom|gender=masc|num=sg _ case=nom|*=True|num=sg case=nom|*=True|num=sg _ case=nom|gender=masc|num=sg pers=3|num=sg|tense=pres|mood=ind _ EmoExpression::markable_11::Intensity=medium|EmoExpression::markable_11::Sarcasm=false|EmoExpression::markable_11::SubjectiveFact=false|EmoExpression::markable_11::Polarity=positive|EmoExpression::markable_11::EmoExpression=True|EmoExpression::markable_11::Uncertain=false
311792272935096320	mixed	wieder schwarzer rauch beim #konklave.einen neuen #papst findet man doch so viel schneller... :-) http://t.co/5rVz30u9yF	wieder schwarz rauchen bei #konklave.einen neu #papst finden man doch so viele schneller... :-) http://t.co/5rVz30u9yF	ADV ADJA VVIMP APPRART NN ADJA NN VVFIN PIS ADV ADV PIAT ADJA $( NN	2/MO 3/NK 8/CJ 3/MO 4/NK 7/NK 8/OA 0/-- 8/SB 8/MO 12/MO 13/MO 8/OA 15/-- 0/--	_ EmoExpression::markable_10404343::Intensity=medium|EmoExpression::markable_10404343::SubjectiveFact=false|comp=True|EmoExpression::markable_10404343::Uncertain=false|EmoExpression::markable_10404343::Sarcasm=false|EmoExpression::markable_10404343::EmoExpression=True|EmoExpression::markable_10404343::Polarity=negative EmoExpression::markable_10404343::EmoExpression=True case=dat|gender=neut|num=sg case=dat|gender=neut|num=sg case=acc|gender=masc|num=sg|pos=True case=acc|gender=masc|num=sg pers=3|num=sg|tense=pres|mood=ind case=nom|*=True|num=sg _ _ *=True case=acc|gender=neut|num=pl|pos=True EmoExpression::markable_16::Polarity=positive|EmoExpression::markable_16::Sarcasm=false|EmoExpression::markable_16::EmoExpression=True|EmoExpression::markable_16::SubjectiveFact=false|EmoExpression::markable_16::Uncertain=false|EmoExpression::markable_16::Intensity=medium case=nom|gender=masc|num=pl
311950754535600128	positive	RT @STUMML_de: So, der neue Papst wurde gewählt :) ... hoffentlich ändert sich nun was im Zusammenhang mit dem "Kondom-Verbot" und co.	RT @STUMML_de: So, die neu Papst werden gewählt :) ... hoffentlich ändern sich nun was in Zusammenhang mit die "Kondom-Verbot" und co.	NE NN NE ART ADJA NN VAFIN ADJD ADJD $. ADV VVFIN PRF ADV PIS APPRART NN APPR ART NN KON ADJA	2/AG 0/-- 7/SB 6/NK 6/NK 3/AG 0/-- 9/MO 7/OC 9/-- 12/MO 0/-- 12/OA 12/MO 12/SB 12/MO 16/NK 17/MNR 20/NK 18/NK 20/CD 21/CJ	case=nom|gender=neut|num=sg case=nom|gender=neut|num=sg case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg|pos=True case=nom|gender=masc|num=sg pers=3|num=sg|tense=past|mood=ind _ EmoExpression::markable_17::SubjectiveFact=false|EmoExpression::markable_17::Polarity=positive|EmoExpression::markable_17::EmoExpression=True|EmoExpression::markable_17::Sarcasm=false|EmoExpression::markable_17::Intensity=medium|pos=True|EmoExpression::markable_17::Uncertain=false _ EmoExpression::markable_10404344::EmoExpression=True|EmoExpression::markable_10404344::Intensity=medium|EmoExpression::markable_10404344::Sarcasm=false|EmoExpression::markable_10404344::Uncertain=false|EmoExpression::markable_10404344::Polarity=positive|EmoExpression::markable_10404344::SubjectiveFact=false pers=3|num=sg|tense=pres|mood=ind case=acc|pers=3|num=sg _ case=nom|gender=neut|num=sg case=dat|gender=masc|num=sg case=dat|gender=masc|num=sg _ case=dat|gender=masc|num=sg case=dat|gender=masc|num=sg _ case=dat|gender=masc|num=sg|pos=True
311913897688956928	positive	RT @Engstfelder: Weist er Rauch bei @ZDF #heute - Papst Auftritt in der @tagesschau ? Das öffentlich-rechtliche ist ein Fuchs ;-) #HabemusPapam	RT @Engstfelder: weisen er Rauch bei @ZDF #heute - Papst Auftritt in die @tagesschau ? die Öffentlich-rechtlich sein eine Fuchs ;-) #HabemusPapam	NE NN VVFIN PPER NE APPR NE ADJA $( NN NN APPR ART NN $. ART ADJA VAFIN ART NN $( NN	2/AG 0/-- 0/-- 3/SB 3/OA 3/MO 6/NK 10/NK 8/-- 0/-- 10/NK 11/MNR 14/NK 12/NK 0/-- 17/NK 18/SB 0/-- 20/NK 18/SB 20/-- 20/CJ	case=nom|gender=neut|num=sg case=nom|gender=neut|num=sg pers=3|num=sg|tense=pres|mood=ind case=nom|EmoExpression::markable_10404345::SubjectiveFact=true|EmoExpression::markable_10404345::Intensity=medium|EmoExpression::markable_10404345::Polarity=positive|gender=masc|EmoExpression::markable_10404345::Sarcasm=false|pers=3|num=sg|EmoExpression::markable_10404345::Uncertain=false|EmoExpression::markable_10404345::EmoExpression=True case=acc|gender=masc|EmoExpression::markable_10404345::EmoExpression=True|num=sg _ case=dat|*=True|num=sg case=nom|gender=fem|num=sg|pos=True _ case=nom|gender=masc|num=sg case=acc|gender=masc|num=sg _ case=dat|gender=fem|num=sg case=dat|gender=fem|num=sg _ case=nom|gender=neut|num=sg case=nom|gender=neut|num=sg|pos=True pers=3|num=sg|tense=pres|mood=ind case=nom|gender=neut|num=sg case=nom|gender=neut|num=sg EmoExpression::markable_18::EmoExpression=True|EmoExpression::markable_18::SubjectiveFact=false|EmoExpression::markable_18::Uncertain=false|EmoExpression::markable_18::Polarity=positive|EmoExpression::markable_18::Sarcasm=false|EmoExpression::markable_18::Intensity=medium case=nom|gender=neut|num=sg
312172552187437056	positive	@Schmmmiddelinho Das ist auch so ziemlich das Interessanteste was ich bisher über den #Papst gehört habe. :-)	@Schmmmiddelinho die sein auch so ziemlich die interessant was ich bisher über die #Papst gehören habe. :-)	NN PDS VAFIN ADV ADV ADV ART ADJA PRELS PPER ADV APPR ART NN VVFIN ADJA $(	0/-- 3/SB 0/-- 3/MO 6/MO 3/MO 8/NK 3/PD 16/OA 15/SB 12/MO 10/MNR 14/NK 12/NK 8/OC 15/MO 0/--	case=nom|gender=masc|num=sg case=nom|Target::markable_20::Target=True|gender=neut|num=sg|Sentiment::markable_19::Sentiment=True|Sentiment::markable_19::Sarcasm=false|Target::markable_20::Anaphref=markable_22|Sentiment::markable_19::Polarity=positive|Sentiment::markable_19::Intensity=medium|Target::markable_20::Preferred=true pers=3|num=sg|tense=pres|mood=ind|Sentiment::markable_19::Sentiment=True Sentiment::markable_19::Sentiment=True Sentiment::markable_19::Sentiment=True Sentiment::markable_19::Sentiment=True case=acc|gender=neut|num=sg|Sentiment::markable_19::Sentiment=True case=acc|EmoExpression::markable_21::EmoExpression=True|gender=neut|pos=True|EmoExpression::markable_21::Intensity=strong|num=sg|Sentiment::markable_19::Sentiment=True|EmoExpression::markable_21::SubjectiveFact=false|EmoExpression::markable_21::Uncertain=false|EmoExpression::markable_21::Polarity=positive|EmoExpression::markable_21::Sarcasm=false case=acc|Target::markable_22::Preferred=true|num=sg|Sentiment::markable_19::Sentiment=True|Target::markable_22::Target=True|gender=neut|Target::markable_22::Anaphref=empty case=nom|pers=1|num=sg|Sentiment::markable_19::Sentiment=True|Target::markable_22::Target=True|*=True Sentiment::markable_19::Sentiment=True|Target::markable_22::Target=True Sentiment::markable_19::Sentiment=True|Target::markable_22::Target=True case=acc|gender=masc|num=sg|Sentiment::markable_19::Sentiment=True|Target::markable_22::Target=True case=acc|gender=masc|num=sg|Sentiment::markable_19::Sentiment=True|Target::markable_22::Target=True Sentiment::markable_19::Sentiment=True|Target::markable_22::Target=True case=acc|gender=masc|num=sg|pos=True|Sentiment::markable_19::Sentiment=True EmoExpression::markable_23::SubjectiveFact=false|EmoExpression::markable_23::Intensity=medium|EmoExpression::markable_23::EmoExpression=True|Sentiment::markable_19::Sentiment=True|EmoExpression::markable_23::Polarity=positive|EmoExpression::markable_23::Uncertain=false|EmoExpression::markable_23::Sarcasm=false
311905252070813696	positive	Okay .. Weist er Rauch .. Um 21 Uhr zeigt sich der neue Papst .. Ich hoffe nachwievor auf Papst Bunga Bunga der I. :) http://t.co/1QInlysw9i	Okay .. weisen er Rauch .. um 21 Uhr zeigen sich die neu Papst .. ich hoffen nachwievor auf Papst Bunga Bunga die I. :) http://t.co/1QInlysw9i	NE NN VVFIN PPER NE NN APPR CARD NN VVFIN PRF ART ADJA NN NN PPER VVFIN ADJD APPR NN NN NN ART NE ADJA NN	2/PNC 0/-- 0/-- 3/SB 6/PNC 3/OA 10/MO 9/NK 7/NK 0/-- 10/OA 14/NK 14/NK 10/SB 10/OA 17/SB 0/-- 17/MO 17/OP 19/NK 20/NK 20/NK 24/NK 22/AG 26/NK 20/AG	case=nom|*=True|num=sg case=nom|*=True|num=sg pers=3|num=sg|tense=pres|mood=ind case=nom|EmoExpression::markable_10404346::Uncertain=false|gender=masc|EmoExpression::markable_10404346::Polarity=positive|EmoExpression::markable_10404346::Intensity=medium|pers=3|num=sg|EmoExpression::markable_10404346::SubjectiveFact=true|EmoExpression::markable_10404346::Sarcasm=false|EmoExpression::markable_10404346::EmoExpression=True case=acc|gender=masc|num=sg|EmoExpression::markable_10404346::EmoExpression=True case=acc|gender=masc|num=sg _ _ case=acc|gender=fem|num=sg pers=3|num=sg|tense=pres|mood=ind case=acc|pers=3|num=sg case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg|pos=True case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg case=nom|Source::markable_25::Anaphref=empty|Source::markable_25::Source=True|Sentiment::markable_24::Intensity=medium|*=True|pers=1|Sentiment::markable_24::Sentiment=True|num=sg|Sentiment::markable_24::Sarcasm=false|Sentiment::markable_24::Polarity=positive EmoExpression::markable_26::Sarcasm=false|EmoExpression::markable_26::EmoExpression=True|mood=ind|EmoExpression::markable_26::Intensity=medium|EmoExpression::markable_26::Polarity=positive|pers=1|Sentiment::markable_24::Sentiment=True|num=sg|tense=pres|EmoExpression::markable_26::SubjectiveFact=false|EmoExpression::markable_26::Uncertain=false Sentiment::markable_24::Sentiment=True|pos=True Sentiment::markable_24::Sentiment=True case=nom|Sentiment::markable_24::Sentiment=True|Target::markable_27::Anaphref=empty|num=sg|Target::markable_27::Preferred=true|gender=masc|Target::markable_27::Target=True case=acc|gender=masc|num=sg|Target::markable_27::Target=True|Sentiment::markable_24::Sentiment=True case=acc|gender=masc|num=sg|Target::markable_27::Target=True|Sentiment::markable_24::Sentiment=True case=gen|gender=fem|num=sg|Target::markable_27::Target=True|Sentiment::markable_24::Sentiment=True case=gen|gender=fem|num=sg|Target::markable_27::Target=True|Sentiment::markable_24::Sentiment=True case=gen|EmoExpression::markable_28::Sarcasm=false|EmoExpression::markable_28::SubjectiveFact=false|Sentiment::markable_24::Sentiment=True|gender=fem|pos=True|EmoExpression::markable_28::Intensity=medium|num=sg|EmoExpression::markable_28::Polarity=positive|EmoExpression::markable_28::EmoExpression=True|EmoExpression::markable_28::Uncertain=false case=gen|gender=fem|num=sg
311965806705643520	positive	RT @aiida976: @kleopatra2009 @dertweety .... aber der Papst ist doch kein Landsmann :-)	RT @aiida976: @kleopatra2009 @dertweety .... aber die Papst sein doch keine Landsmann :-)	NE ADJD CARD NN NN KON ART NN VAFIN ADV PIAT NN $(	0/-- 1/PD 0/-- 0/-- 0/-- 9/JU 8/NK 9/SB 0/-- 9/MO 12/NK 9/PD 12/--	case=nom|*=True|num=sg case=nom|*=True|num=sg _ _ case=nom|gender=fem|num=sg _ case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg pers=3|num=sg|tense=pres|mood=ind _ case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg EmoExpression::markable_29::Uncertain=false|EmoExpression::markable_29::EmoExpression=True|EmoExpression::markable_29::Polarity=positive|EmoExpression::markable_29::Sarcasm=false|EmoExpression::markable_29::Intensity=medium|EmoExpression::markable_29::SubjectiveFact=false
