332946021107769344	neutral	Grüne stellen Bedingungen für Koalition in Salzburg zB aus für Wasserkraft. Energieautonomie ade!	Grüne stellen Bedingung für Koalition in Salzburg zB aus für Wasserkraft. Energieautonomie ade!	NN VVFIN NN APPR NN APPR NE VVFIN APPR APPR NN NN ADJA	2/SB 0/-- 2/OA 3/MNR 4/NK 5/MNR 6/NK 2/SVP 2/SVP 2/MO 10/NK 0/-- 12/NK	case=nom|*=True|num=pl pers=3|num=pl|tense=pres|mood=ind case=acc|gender=fem|num=pl _ case=acc|gender=fem|num=sg _ case=dat|gender=neut|num=sg pers=3|num=sg|tense=past|mood=ind _ _ case=acc|gender=masc|num=sg case=nom|gender=fem|num=sg case=nom|gender=fem|num=sg|pos=True
335526430907723776	neutral	Merkel kam aus dem Osten? NEIN! : "Jede Binsenweisheit braucht einen Mutigen, der sie druckt." %Link heuteshow zdf	Merkel kommen aus die Osten? NEIN! : "Jede Binsenweisheit brauchen eine Mutigen, die sie druckt." %Link heuteshow zdf	NE VVFIN APPR ART NN NN $. NN NN VVFIN ART NE ART PPER ADJA XY NN NE	2/SB 0/-- 2/MO 5/NK 3/NK 0/-- 8/-- 10/SB 8/NK 0/-- 12/NK 10/SB 15/NK 0/-- 10/DA 0/-- 0/-- 17/UC	case=nom|*=True|num=sg pers=3|num=sg|tense=past|mood=ind _ case=dat|gender=masc|num=sg case=dat|gender=masc|num=sg case=nom|gender=fem|num=sg _ case=nom|gender=fem|num=sg case=nom|gender=fem|num=sg pers=3|num=sg|tense=pres|mood=ind case=acc|gender=masc|num=sg case=acc|gender=masc|num=sg case=dat|gender=fem|num=sg case=nom|*=True|num=pl|pers=3 *=True|pos=True _ _ _
318826940339458048	positive	die erste Wette hab ich gewonnen! Ostern ist rum und Herr Wowereit ist immer noch Bürgermeister in Berlin. %PosSmiley cc %User	die erst Wette haben ich gewonnen! Ostern sein rum und Herr Wowereit sein immer noch Bürgermeister in Berlin. %PosSmiley cc %User	ART ADJA NN VAIMP PPER ADJA NN VAFIN ADV KON NN NE VAFIN ADV ADV NN APPR NE ITJ NE NE	3/NK 3/NK 6/OA 6/NK 6/SB 0/-- 8/SB 0/-- 8/MO 8/CD 13/SB 11/NK 10/CJ 15/MO 13/MO 13/PD 16/MNR 17/NK 21/NK 21/PNC 0/--	case=nom|gender=fem|num=sg case=nom|gender=fem|num=sg|pos=True case=nom|gender=fem|num=sg _ case=nom|*=True|num=sg|pers=1 _ case=nom|Target::markable_3::Anaphref=empty|gender=masc|Target::markable_3::Preferred=true|num=sg|Target::markable_3::Target=True|Sentiment::markable_2::Intensity=medium|Sentiment::markable_2::Sarcasm=false|Sentiment::markable_2::Polarity=positive|Sentiment::markable_2::Sentiment=True pers=3|num=sg|tense=pres|mood=ind|Target::markable_3::Target=True|Sentiment::markable_2::Sentiment=True Target::markable_3::Target=True|Sentiment::markable_2::Sentiment=True Target::markable_3::Target=True|Sentiment::markable_2::Sentiment=True case=nom|gender=masc|num=sg|Target::markable_3::Target=True|Sentiment::markable_2::Sentiment=True case=nom|gender=masc|num=sg|Target::markable_3::Target=True|Sentiment::markable_2::Sentiment=True pers=3|num=sg|tense=pres|mood=ind|Target::markable_3::Target=True|Sentiment::markable_2::Sentiment=True Target::markable_3::Target=True|Sentiment::markable_2::Sentiment=True Target::markable_3::Target=True|Sentiment::markable_2::Sentiment=True case=nom|gender=masc|num=sg|Target::markable_3::Target=True|Sentiment::markable_2::Sentiment=True Target::markable_3::Target=True|Sentiment::markable_2::Sentiment=True case=dat|gender=neut|num=sg|Sentiment::markable_2::Sentiment=True EmoExpression::markable_4::Polarity=positive|EmoExpression::markable_4::Uncertain=false|EmoExpression::markable_4::Sarcasm=false|EmoExpression::markable_4::SubjectiveFact=false|EmoExpression::markable_4::Intensity=medium|Sentiment::markable_2::Sentiment=True|EmoExpression::markable_4::EmoExpression=True _ _
332635626165911553	negative	Ausgerechnet Israel und die USA reden von Destabilisierung zu Syrien !	ausgerechnet Israel und die USA reden von Destabilisierung zu Syrien !	ADJD NE KON ART NE VVFIN APPR NN APPR NE $.	2/PNC 6/SB 2/CD 5/NK 3/CJ 0/-- 6/OP 7/NK 8/MNR 9/NK 10/--	_ case=nom|gender=neut|num=sg _ case=nom|*=True|num=pl case=nom|*=True|num=pl pers=3|num=pl|tense=pres|mood=ind _ case=dat|EmoExpression::markable_104013585::Uncertain=false|gender=fem|EmoExpression::markable_104013585::Intensity=medium|EmoExpression::markable_104013585::Sarcasm=false|EmoExpression::markable_104013585::SubjectiveFact=false|num=sg|EmoExpression::markable_104013585::Polarity=negative|EmoExpression::markable_104013585::EmoExpression=True _ case=dat|gender=neut|num=sg _
317779460306923520	neutral	Via Enough is Enough Merkel wir kommen! Auf nach Berlin 21. September 2013 - iRUN IhrRepräsentiertUnsNicht...	Via Enough is Enough Merkel wir kommen! auf nach Berlin 21. September @card@ - iRUN IhrRepräsentiertUnsNicht...	NE NE NE VVFIN NE PPER VVFIN APPR APPR NE ADJA NN CARD $( NN NE	3/PNC 3/PNC 4/MO 0/-- 4/SB 7/SB 4/OC 15/MO 11/MO 9/NK 12/NK 8/NK 12/NK 13/-- 0/-- 15/NK	_ _ _ pers=3|num=sg|tense=past|mood=ind case=nom|*=True|num=sg case=nom|*=True|num=pl|pers=1 pers=3|num=sg|tense=pres|mood=subj _ _ case=dat|gender=neut|num=sg case=nom|gender=masc|num=sg|pos=True case=nom|gender=masc|num=sg _ _ case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg
322793651971424256	negative	Jahr 2050: Nach Nicaragua und Nordkorea ist nun auch Äthiopien der EU beigetreten. Das neue EU-Motto: Alle sind dabei - ausser die Türkei !	Jahr @card@ nach Nicaragua und Nordkorea sein nun auch Äthiopien die EU beigetreten. die neu EU-Motto: alle sein dabei - außer die Türkei !	NN CARD APPR NE KON NE VAFIN ADV ADV NE ART NE NE ART ADJA NN PIS VAFIN PAV $( APPR ART NE $.	7/MO 1/NK 1/MNR 3/NK 4/CD 5/CJ 0/-- 7/MO 10/MO 7/SB 12/NK 7/PD 12/NK 16/NK 16/NK 18/PD 16/NK 0/-- 20/NK 18/-- 16/MNR 23/NK 21/NK 23/--	case=nom|gender=neut|num=sg _ _ case=dat|gender=neut|num=sg _ case=dat|EmoExpression::markable_104013586::EmoExpression=True|gender=neut|EmoExpression::markable_104013586::SubjectiveFact=true|num=sg|EmoExpression::markable_104013586::Polarity=negative|EmoExpression::markable_104013586::Sarcasm=false|EmoExpression::markable_104013586::Uncertain=false|EmoExpression::markable_104013586::Intensity=medium pers=3|num=sg|tense=pres|mood=ind _ _ case=nom|gender=neut|num=sg case=dat|gender=fem|num=sg case=dat|gender=fem|num=sg _ case=nom|gender=neut|num=sg case=nom|gender=neut|num=sg|pos=True case=nom|gender=neut|num=sg case=nom|*=True|num=pl pers=3|num=pl|tense=pres|mood=ind _ _ _ case=acc|gender=fem|num=sg case=acc|gender=fem|num=sg _
332224134186680321	neutral	Diese Niedriglöhne haben die Menschen der spd &amp; gruene zu verdanken!	dies Niedriglohn haben die Mensch die spd &amp; gruene zu verdanken!	PDAT NN VAFIN ART NN ART ADJA $( ADJA APPR ADJA	2/NK 3/SB 0/-- 5/NK 3/SB 9/NK 9/MO 7/-- 5/AG 11/PM 9/MO	case=nom|gender=fem|num=sg case=nom|gender=fem|num=sg pers=3|num=pl|tense=pres|mood=ind case=acc|gender=masc|num=pl case=acc|gender=masc|num=pl case=gen|gender=masc|num=pl _ case=gen|gender=masc|num=pl case=gen|gender=masc|num=pl _ _
335501320385617920	positive	Ich möchte mich hier einmal bei allen Teilnehmern der Kreisdelegiertenversammlung der SPD Hamburg-Mitte bedanken. Ihr wisst, warum!	ich mögen ich hier einmal bei alle Teilnehmer die Kreisdelegiertenversammlung die SPD Hamburg-Mitte bedanken. ihr wisst, warum!	PPER VMFIN PRF ADV ADV APPR PIAT NN ART NN ART NE NN NE PPOSAT ADJA ADJA	2/SB 0/-- 8/OA 2/MO 2/MO 2/MO 8/NK 6/NK 10/NK 8/AG 12/NK 10/AG 2/SB 13/NK 17/SB 17/NK 0/--	case=nom|Sentiment::markable_5::Polarity=positive|Sentiment::markable_5::Sarcasm=false|Source::markable_6::Anaphref=empty|Sentiment::markable_5::Intensity=medium|*=True|pers=1|num=sg|Source::markable_6::Source=True|Sentiment::markable_5::Sentiment=True pers=1|num=sg|tense=pres|mood=ind|Sentiment::markable_5::Sentiment=True case=acc|EmoExpression::markable_7::EmoExpression=True|EmoExpression::markable_7::Uncertain=false|EmoExpression::markable_7::Intensity=medium|EmoExpression::markable_7::SubjectiveFact=false|EmoExpression::markable_7::Sarcasm=false|Sentiment::markable_5::Sentiment=True|EmoExpression::markable_7::Polarity=positive|pers=1|num=sg Sentiment::markable_5::Sentiment=True Sentiment::markable_5::Sentiment=True Target::markable_8::Anaphref=empty|Target::markable_8::Target=True|Sentiment::markable_5::Sentiment=True|Target::markable_8::Preferred=true case=dat|gender=masc|num=pl|Target::markable_8::Target=True|Sentiment::markable_5::Sentiment=True case=dat|gender=masc|num=pl|Target::markable_8::Target=True|Sentiment::markable_5::Sentiment=True case=gen|gender=fem|num=sg|Target::markable_8::Target=True|Sentiment::markable_5::Sentiment=True case=gen|gender=fem|num=sg|Target::markable_8::Target=True|Sentiment::markable_5::Sentiment=True case=gen|gender=fem|num=sg|Target::markable_8::Target=True|Sentiment::markable_5::Sentiment=True case=gen|gender=fem|num=sg|Target::markable_8::Target=True|Sentiment::markable_5::Sentiment=True case=acc|gender=fem|num=sg|Sentiment::markable_5::Sentiment=True|EmoExpression::markable_7::EmoExpression=True case=nom|gender=neut|num=sg|Sentiment::markable_5::Sentiment=True case=nom|gender=neut|num=sg case=nom|gender=neut|num=sg|pos=True case=nom|gender=neut|num=sg|pos=True
335502381016023041	positive	wenn das so weitergeht, bekommt ihr einen unterirdischen Flughafen, und BER lin einen 2. Bahnhof auf der grünen Wiese! %PosSmiley S21	wenn die so weitergeht, bekommen ihr eine unterirdisch Flughafen, und BER lin eine 2. Bahnhof auf die grün Wiese! %PosSmiley S21	KOUS PDS ADV NE VVFIN PPER ART ADJA NE KON NE VVFIN ART ADJA NN APPR ART ADJA NN ITJ CARD	4/CP 4/NK 4/MO 5/MO 0/-- 5/DA 9/NK 9/NK 12/OA 9/CD 10/CJ 5/SB 15/NK 15/NK 12/OA 15/MNR 19/NK 19/NK 16/NK 12/DM 0/--	_ case=nom|gender=neut|num=sg _ case=nom|*=True|num=sg pers=3|num=sg|tense=pres|mood=ind case=dat|gender=fem|num=sg|pers=3 case=acc|gender=masc|num=sg case=acc|gender=masc|num=sg|pos=True case=acc|gender=masc|num=sg _ _ pers=3|num=sg|tense=past|mood=ind case=acc|gender=masc|num=sg case=acc|gender=masc|num=sg|pos=True case=acc|gender=masc|num=sg _ case=dat|gender=fem|num=sg case=dat|gender=fem|num=sg|pos=True case=dat|gender=fem|num=sg EmoExpression::markable_9::Uncertain=false|EmoExpression::markable_9::Polarity=positive|EmoExpression::markable_9::Sarcasm=false|EmoExpression::markable_9::Intensity=medium|EmoExpression::markable_9::SubjectiveFact=false|EmoExpression::markable_9::EmoExpression=True _
333009874654986240	positive	Kann bitte mal jmd die CSU-Wähler auffordern, sich von diesem verkappten N***-A*** Friedrich und seinen Aussagen zu diestanzieren? Danke! %PosSmiley	können bitte mal jmd die CSU-Wähler auffordern, sich von dies verkappt N***-A*** Friedrich und sein Aussage zu diestanzieren? Danke! %PosSmiley	VMFIN ADV ADV VVFIN ART NN NE PRF APPR PDAT ADJA NN NE KON PPOSAT NN APPR ADJA NN ITJ	4/MO 1/MO 1/MO 0/-- 6/NK 4/SB 6/NK 18/OA 18/SBP 12/NK 12/NK 9/NK 12/NK 13/CD 16/NK 14/CJ 18/PM 4/OC 0/-- 19/NK	pers=3|num=sg|tense=pres|mood=ind _ _ pers=3|num=sg|tense=past|mood=ind case=nom|gender=fem|num=sg case=nom|gender=fem|num=sg case=nom|*=True|num=sg case=acc|pers=3|num=sg _ case=dat|gender=masc|num=sg case=dat|gender=masc|num=sg|pos=True case=dat|gender=masc|num=sg case=nom|gender=masc|num=sg _ case=dat|gender=masc|num=pl case=acc|gender=fem|num=pl _ case=acc|gender=fem|num=pl|pos=True case=nom|gender=masc|num=sg case=nom|EmoExpression::markable_10::Intensity=medium|gender=masc|EmoExpression::markable_10::EmoExpression=True|EmoExpression::markable_10::Uncertain=false|num=sg|EmoExpression::markable_10::Polarity=positive|EmoExpression::markable_10::Sarcasm=false|EmoExpression::markable_10::SubjectiveFact=false
333690189379682305	neutral	%User nicht zu vergessen, dass gruene und SPD ebenfalls ihre Verwandten Beschäftigten!	%User nicht zu vergessen, dass gruene und SPD ebenfalls ihr verwandt Beschäftigten!	NE PTKNEG APPR NE KOUS ADJA KON NE ADV PPOSAT ADJA ADJA	6/SB 6/NG 6/PM 3/NK 6/MO 0/-- 6/CD 7/CJ 11/MO 11/NK 12/NK 6/MO	case=nom|*=True|num=sg _ _ _ _ case=acc|gender=fem|num=pl|pos=True _ case=nom|gender=fem|num=sg _ case=dat|*=True|num=pl case=dat|*=True|num=pl case=dat|*=True|num=pl
