381764388614836224	positive	das hoffe ich. dafür haben wir alle ein halbes jahr wahlkampf gemacht %PosSmiley	die hoffen ich. dafür haben wir alle eine halb Jahr wahlkampf machen %PosSmiley	PDS VVFIN ADJD PAV VAFIN PPER PIS ART ADJA NN ADJD VVPP ITJ	2/SB 5/MO 2/MO 2/NK 0/-- 5/SB 6/NK 10/NK 10/NK 12/OA 12/MO 5/OC 12/NK	case=nom|Target::markable_4::Preferred=true|Target::markable_4::Anaphref=empty|gender=neut|Target::markable_4::Target=True|Sentiment::markable_1::Sentiment=True|Sentiment::markable_1::Sarcasm=false|num=sg|Sentiment::markable_1::Polarity=positive|Sentiment::markable_1::Intensity=medium mood=subj|EmoExpression::markable_3::Polarity=positive|EmoExpression::markable_3::SubjectiveFact=false|EmoExpression::markable_3::Sarcasm=false|Sentiment::markable_1::Sentiment=True|pers=3|EmoExpression::markable_3::Intensity=medium|num=sg|tense=pres|EmoExpression::markable_3::Uncertain=false|EmoExpression::markable_3::EmoExpression=True Source::markable_2::Source=True|Source::markable_2::Anaphref=empty|pos=True|Sentiment::markable_1::Sentiment=True _ pers=1|num=pl|tense=pres|mood=ind case=nom|*=True|num=pl|pers=1 case=nom|*=True|num=pl case=acc|gender=neut|num=sg case=acc|gender=neut|num=sg|pos=True case=acc|gender=neut|num=sg pos=True _ EmoExpression::markable_5::Intensity=medium|EmoExpression::markable_5::Sarcasm=false|EmoExpression::markable_5::SubjectiveFact=false|EmoExpression::markable_5::EmoExpression=True|EmoExpression::markable_5::Uncertain=false|EmoExpression::markable_5::Polarity=positive
381548902400274432	mixed	Ach, das ist der Bond mit diesem tuntigen Killer-Duo %PosSmiley %User	Ach, die sein die Bond mit dies tuntigen Killer-Duo %PosSmiley %User	ADJD PDS VAFIN ART NN APPR PDAT ADJA NN ITJ NE	2/MO 3/SB 0/-- 5/NK 3/PD 5/MNR 9/NK 9/NK 6/NK 11/NK 9/NK	Sentiment::markable_6::Sentiment=True|pos=True case=nom|gender=neut|Sentiment::markable_6::Sentiment=True|num=sg pers=3|Sentiment::markable_6::Sentiment=True|num=sg|tense=pres|mood=ind case=nom|gender=masc|Sentiment::markable_6::Sentiment=True|num=sg case=nom|gender=masc|Sentiment::markable_6::Sentiment=True|num=sg Sentiment::markable_6::Sentiment=True case=dat|num=sg|Target::markable_7::Target=True|Target::markable_7::Preferred=true|gender=masc|Sentiment::markable_6::Sentiment=True|Target::markable_7::Anaphref=empty case=dat|EmoExpression::markable_8::Intensity=medium|EmoExpression::markable_8::Polarity=negative|gender=masc|Sentiment::markable_6::Sentiment=True|Target::markable_7::Target=True|pos=True|EmoExpression::markable_8::SubjectiveFact=false|num=sg|EmoExpression::markable_8::Sarcasm=false|EmoExpression::markable_8::EmoExpression=True|EmoExpression::markable_8::Uncertain=false case=dat|gender=masc|Sentiment::markable_6::Sentiment=True|num=sg|Target::markable_7::Target=True EmoExpression::markable_9::Uncertain=false|EmoExpression::markable_9::Polarity=positive|EmoExpression::markable_9::Sarcasm=false|EmoExpression::markable_9::Intensity=medium|Sentiment::markable_6::Sentiment=True|EmoExpression::markable_9::SubjectiveFact=false|EmoExpression::markable_9::EmoExpression=True _
374261096720637952	positive	So, gerade hat die Angie den Peer versenkt %PosSmiley tvduell cdu+	So, gerade haben die Angie die Peer versenken %PosSmiley tvduell cdu+	NE ADV VAFIN ART NE ART NE VVPP ITJ ADJD ADJA	3/SB 8/MO 0/-- 5/NK 3/SB 7/NK 8/OA 3/OC 11/NK 11/MO 8/MO	case=nom|*=True|num=sg _ pers=3|num=sg|tense=pres|mood=ind case=acc|gender=fem|num=sg case=acc|gender=fem|num=sg case=acc|gender=masc|num=sg case=acc|gender=masc|num=sg _ EmoExpression::markable_10::Uncertain=false|EmoExpression::markable_10::Polarity=positive|EmoExpression::markable_10::Sarcasm=false|EmoExpression::markable_10::Intensity=medium|EmoExpression::markable_10::EmoExpression=True|EmoExpression::markable_10::SubjectiveFact=false pos=True _
348402833760063488	positive	Ui! Ist das Heute? %PosSmiley Ne, Spässchen. Alles im grünen Bereich. Freue mich, bis später %PosSmiley	Ui! sein die Heute? %PosSmiley Ne, Spässchen. alle in grün Bereich. freuen mich, bis spät %PosSmiley	NN VAFIN ART NN ITJ NE NE PIS APPRART ADJA NN VVFIN ADJD KON ADJD ITJ	0/-- 0/-- 4/NK 2/SB 4/NK 7/PNC 0/-- 0/-- 8/MNR 11/NK 9/NK 13/MO 0/-- 13/CD 14/CJ 13/DM	case=nom|gender=fem|num=sg pers=3|num=sg|tense=pres|mood=ind case=nom|gender=neut|num=sg case=nom|gender=neut|num=sg _ EmoExpression::markable_12::Intensity=medium|EmoExpression::markable_12::Polarity=positive|EmoExpression::markable_12::Uncertain=false|EmoExpression::markable_12::Sarcasm=false|EmoExpression::markable_12::SubjectiveFact=false|EmoExpression::markable_12::EmoExpression=True _ case=nom|EmoExpression::markable_10409973::SubjectiveFact=false|EmoExpression::markable_10409973::Sarcasm=false|EmoExpression::markable_10409973::Polarity=positive|gender=neut|EmoExpression::markable_10409973::Uncertain=false|num=sg|EmoExpression::markable_10409973::EmoExpression=True|EmoExpression::markable_10409973::Intensity=medium case=dat|gender=masc|num=sg|EmoExpression::markable_10409973::EmoExpression=True case=dat|gender=masc|num=sg|EmoExpression::markable_10409973::EmoExpression=True|pos=True case=dat|gender=masc|num=sg EmoExpression::markable_13::Polarity=positive|EmoExpression::markable_13::EmoExpression=True|EmoExpression::markable_13::Uncertain=false|EmoExpression::markable_13::Intensity=medium|EmoExpression::markable_13::Sarcasm=false|EmoExpression::markable_13::SubjectiveFact=false pos=True _ comp=True EmoExpression::markable_14::Polarity=positive|EmoExpression::markable_14::Sarcasm=false|EmoExpression::markable_14::SubjectiveFact=false|EmoExpression::markable_14::Uncertain=false|EmoExpression::markable_14::Intensity=medium|EmoExpression::markable_14::EmoExpression=True
348128608872710144	negative	Zuviele csu Tweets! Ich block %User mal für 24h! bwmisc Feeling %PosSmiley	zuviele csu Tweets! ich blocken %User mal für 24h! bwmisc Feeling %PosSmiley	PIS NN VVFIN PPER VVIMP NE ADV APPR ADJA NE NN ITJ	3/SB 1/AG 0/-- 9/SB 0/-- 5/OA 5/MO 5/MO 8/NK 11/AG 0/-- 11/NK	case=nom|EmoExpression::markable_18::SubjectiveFact=false|Sentiment::markable_16::Intensity=medium|*=True|Sentiment::markable_16::Sentiment=True|EmoExpression::markable_18::Intensity=medium|Sentiment::markable_16::Sarcasm=false|num=pl|EmoExpression::markable_18::EmoExpression=True|EmoExpression::markable_18::Uncertain=false|Sentiment::markable_16::Polarity=negative|EmoExpression::markable_18::Polarity=negative|EmoExpression::markable_18::Sarcasm=false case=nom|num=pl|Target::markable_17::Preferred=true|Target::markable_17::Target=True|*=True|Sentiment::markable_16::Sentiment=True|Target::markable_17::Anaphref=empty pers=3|Sentiment::markable_16::Sentiment=True|num=sg|tense=past|mood=ind case=nom|*=True|num=sg|pers=1 pers=1|num=sg|tense=pres|mood=ind *=True _ _ _ case=nom|gender=neut|num=sg case=nom|gender=neut|num=sg mood=ind|EmoExpression::markable_15::SubjectiveFact=false|EmoExpression::markable_15::Uncertain=false|pers=3|EmoExpression::markable_15::Polarity=positive|num=sg|tense=past|EmoExpression::markable_15::EmoExpression=True|EmoExpression::markable_15::Sarcasm=false|EmoExpression::markable_15::Intensity=medium
383593060690829312	positive	Hier wurde gerade ein Plakat von der FDP abgehangen und da meinte so ein alter Mann: "Ja der lacht jetzt nicht mehr so wie auf dem Bild" %PosSmiley	hier werden gerade eine Plakat von die FDP abhängen und da meinen so eine alt Mann: "Ja die lachen jetzt nicht mehr so wie auf die Bild" %PosSmiley	ADV VAFIN ADV ART NN APPR ART NE VVPP KON ADV VVFIN ADV ART ADJA NN NN ART VVFIN ADV PTKNEG ADV ADV KOKOM APPR ART NN ITJ	9/MO 0/-- 9/MO 5/NK 2/SB 9/SBP 8/NK 6/NK 2/OC 2/CD 12/MO 10/CJ 12/MO 16/NK 16/NK 12/SB 16/NK 19/NK 12/CJ 19/MO 19/NG 21/MO 19/MO 25/CM 19/MO 27/NK 25/NK 27/NK	_ pers=3|num=sg|tense=past|mood=ind _ case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg _ case=dat|gender=fem|num=sg case=dat|gender=fem|num=sg _ _ Sentiment::markable_19::Polarity=positive|Sentiment::markable_19::Intensity=medium|Sentiment::markable_19::Sarcasm=false|Sentiment::markable_19::Sentiment=True Target::markable_20::Target=True|mood=ind|pers=3|num=sg|tense=past|Sentiment::markable_19::Sentiment=True|Target::markable_20::Anaphref=empty|Target::markable_20::Preferred=true Target::markable_20::Target=True|Sentiment::markable_19::Sentiment=True case=nom|gender=masc|num=sg|Sentiment::markable_19::Sentiment=True|Target::markable_20::Target=True case=nom|Target::markable_20::Target=True|num=sg|Sentiment::markable_19::Sentiment=True|gender=masc|pos=True case=nom|gender=masc|num=sg|Sentiment::markable_19::Sentiment=True|Target::markable_20::Target=True case=nom|gender=masc|num=sg|Sentiment::markable_19::Sentiment=True|Target::markable_20::Target=True case=nom|gender=masc|num=sg|Sentiment::markable_19::Sentiment=True|Target::markable_20::Target=True Target::markable_20::Target=True|mood=ind|EmoExpression::markable_10409974::EmoExpression=True|EmoExpression::markable_10409974::Intensity=medium|EmoExpression::markable_10409974::Sarcasm=false|EmoExpression::markable_10409974::SubjectiveFact=false|pers=3|EmoExpression::markable_10409974::Polarity=positive|num=sg|tense=pres|Sentiment::markable_19::Sentiment=True|EmoExpression::markable_10409974::Uncertain=false Target::markable_20::Target=True|Sentiment::markable_19::Sentiment=True Target::markable_20::Target=True|Sentiment::markable_19::Sentiment=True Target::markable_20::Target=True|Sentiment::markable_19::Sentiment=True Target::markable_20::Target=True|Sentiment::markable_19::Sentiment=True Target::markable_20::Target=True|Sentiment::markable_19::Sentiment=True Target::markable_20::Target=True|Sentiment::markable_19::Sentiment=True case=dat|gender=masc|num=sg|Sentiment::markable_19::Sentiment=True|Target::markable_20::Target=True case=dat|gender=masc|num=sg|Sentiment::markable_19::Sentiment=True Sentiment::markable_19::Sentiment=True|EmoExpression::markable_21::EmoExpression=True|EmoExpression::markable_21::Uncertain=false|EmoExpression::markable_21::SubjectiveFact=false|EmoExpression::markable_21::Polarity=positive|EmoExpression::markable_21::Sarcasm=false|EmoExpression::markable_21::Intensity=medium
375009149958250496	positive	ja un ich bin dabei morgens aufbau total freu %PosSmiley	ja un ich sein dabei morgens Aufbau total freuen %PosSmiley	ADV NE PPER VAFIN PAV ADV NN ADJD VVIMP ITJ	2/MO 4/PD 4/SB 0/-- 7/NK 4/MO 4/PD 4/MO 4/CJ 9/NK	_ _ case=nom|*=True|num=sg|pers=1 pers=1|num=sg|tense=pres|mood=ind _ _ case=acc|gender=masc|num=sg Intensifier::markable_23::Intensifier=True|Intensifier::markable_23::Degree=medium|pos=True|Intensifier::markable_23::EmoExpressionRef=emo-expression:markable_22 EmoExpression::markable_22::Uncertain=false|EmoExpression::markable_22::Intensity=medium|EmoExpression::markable_22::Sarcasm=false|EmoExpression::markable_22::SubjectiveFact=false|EmoExpression::markable_22::EmoExpression=True|EmoExpression::markable_22::Polarity=positive EmoExpression::markable_24::Intensity=medium|EmoExpression::markable_24::Sarcasm=false|EmoExpression::markable_24::Uncertain=false|EmoExpression::markable_24::Polarity=positive|EmoExpression::markable_24::EmoExpression=True|EmoExpression::markable_24::SubjectiveFact=false
375642330562191362	positive	DANKE für 12K. Verlose unter allen RT zwei GRÜNE Shirts für den WECHSEL in Hessen. Mit %User Signatur! %PosSmiley %Link...	danken für 12K. Verlose unter alle RT zwei grün Shirt für die wechseln in Hessen. mit %User Signatur! %PosSmiley %Link...	VVFIN APPR ADJA NN APPR PIAT NE CARD ADJA NN APPR ART VVIMP APPR NE APPR NE NN ITJ ADJA	0/-- 1/MO 4/NK 2/NK 4/MNR 7/NK 5/NK 10/NK 10/NK 1/OA 10/MNR 11/NK 12/NK 12/MNR 14/NK 0/-- 18/PNC 16/NK 16/MO 0/--	EmoExpression::markable_28::Sarcasm=false|EmoExpression::markable_28::SubjectiveFact=false|mood=ind|EmoExpression::markable_28::EmoExpression=True|EmoExpression::markable_28::Uncertain=false|pers=3|EmoExpression::markable_28::Intensity=medium|num=sg|tense=past|EmoExpression::markable_28::Polarity=positive|Sentiment::markable_26::Sentiment=True Sentiment::markable_26::Sentiment=True case=acc|*=True|num=pl|Sentiment::markable_26::Sentiment=True|pos=True case=acc|*=True|num=pl _ case=dat|gender=fem|num=pl case=dat|gender=fem|num=pl _ case=gen|gender=neut|num=sg|pos=True case=gen|gender=neut|num=sg _ case=acc|gender=masc|num=sg case=acc|gender=masc|num=sg _ case=dat|gender=neut|num=sg _ case=dat|EmoExpression::markable_25::Polarity=positive|gender=fem|EmoExpression::markable_25::EmoExpression=True|EmoExpression::markable_25::Intensity=medium|num=sg|EmoExpression::markable_25::Sarcasm=false|EmoExpression::markable_25::SubjectiveFact=false|EmoExpression::markable_25::Uncertain=false case=nom|gender=fem|num=sg case=nom|gender=fem|num=sg _
365076305164763136	positive	Ich stimme dir zu. Die FDP ist... *prust* Naja lassen wir das. %PosSmiley	ich stimmen du zu. die FDP ist... *prust* Naja lassen wir das. %PosSmiley	PPER VVFIN PRF NE ART NE NE ADJA NN VVFIN PPER ADJA ITJ	2/SB 0/-- 2/DA 2/OA 7/NK 7/PNC 0/-- 9/NK 10/SB 0/-- 10/SB 10/MO 0/NK	case=nom|Sentiment::markable_30::Intensity=medium|Sentiment::markable_30::Sentiment=True|Sentiment::markable_30::Sarcasm=false|*=True|Source::markable_31::Source=True|pers=1|num=sg|Source::markable_31::Anaphref=empty|Sentiment::markable_30::Polarity=positive Sentiment::markable_30::Sentiment=True|mood=ind|EmoExpression::markable_32::Polarity=positive|EmoExpression::markable_32::Sarcasm=false|EmoExpression::markable_32::EmoExpression=True|pers=1|EmoExpression::markable_32::Intensity=medium|num=sg|tense=pres|EmoExpression::markable_32::SubjectiveFact=false|EmoExpression::markable_32::Uncertain=false case=dat|Sentiment::markable_30::Sentiment=True|*=True|pers=2|Target::markable_33::Preferred=true|num=sg|Target::markable_33::Anaphref=empty|Target::markable_33::Target=True _ case=nom|gender=fem|num=sg case=nom|gender=fem|num=sg case=nom|gender=fem|num=sg _ _ pers=1|num=pl|tense=pres|mood=ind case=nom|*=True|num=pl|pers=1 case=acc|*=True|num=sg EmoExpression::markable_34::SubjectiveFact=false|EmoExpression::markable_34::Intensity=medium|EmoExpression::markable_34::EmoExpression=True|EmoExpression::markable_34::Polarity=positive|EmoExpression::markable_34::Uncertain=false|EmoExpression::markable_34::Sarcasm=false
360854777636208641	positive	Weiter so! twittern wir mal, was das Zeug hält! %PosSmiley AfD	weiter so! twittern wir mal, was die Zeug hält! %PosSmiley AfD	ADV ADJD VVFIN PPER NE PIS ART NN VVFIN ITJ ADJA	2/MO 0/-- 0/-- 3/SB 3/SB 3/NK 8/NK 9/OA 3/OC 9/DM 0/--	_ _ _ case=nom|*=True|num=pl|pers=1 pers=1|num=pl|tense=pres|mood=ind case=acc|gender=neut|num=sg case=acc|gender=neut|num=sg case=acc|gender=neut|num=sg pers=3|num=sg|tense=pres|mood=ind EmoExpression::markable_35::Uncertain=false|EmoExpression::markable_35::Intensity=medium|EmoExpression::markable_35::Sarcasm=false|EmoExpression::markable_35::SubjectiveFact=false|EmoExpression::markable_35::EmoExpression=True|EmoExpression::markable_35::Polarity=positive _
381525568401203200	positive	Ich klöppel uns einen. Für Dich einen mit. %PosSmiley	ich klöppeln wir einen. für du eine mit. %PosSmiley	PPER VVIMP PRF ADJD APPR PPER ART NN ITJ	2/UC 0/-- 4/DA 2/MO 0/-- 5/NK 8/NK 5/OA 0/NK	case=nom|*=True|num=sg|pers=1 pers=1|num=sg|tense=pres|mood=ind case=dat|*=True|num=pl|pers=1 pos=True _ case=acc|*=True|num=sg|pers=2 case=acc|gender=masc|num=sg case=acc|gender=masc|num=sg EmoExpression::markable_36::EmoExpression=True|EmoExpression::markable_36::SubjectiveFact=false|EmoExpression::markable_36::Uncertain=false|EmoExpression::markable_36::Polarity=positive|EmoExpression::markable_36::Sarcasm=false|EmoExpression::markable_36::Intensity=medium
