381764388614836224	positive	@ozerergun09 @spdhh das hoffe ich. dafür haben wir alle ein halbes jahr wahlkampf gemacht :-)	@ozerergun09 @spdhh die hoffen ich. dafür haben wir alle eine halb Jahr wahlkampf machen :-)	CARD NN PDS VVFIN ADJD PAV VAFIN PPER PIS ART ADJA NN ADJD VVPP $(	0/-- 0/-- 4/SB 14/MO 4/MO 4/NK 0/-- 7/SB 8/NK 12/NK 12/NK 14/OA 14/MO 7/OC 14/--	_ _ case=nom|Target::markable_4::Preferred=true|Target::markable_4::Anaphref=empty|gender=neut|Target::markable_4::Target=True|Sentiment::markable_1::Sentiment=True|Sentiment::markable_1::Sarcasm=false|num=sg|Sentiment::markable_1::Polarity=positive|Sentiment::markable_1::Intensity=medium mood=subj|EmoExpression::markable_3::Polarity=positive|EmoExpression::markable_3::SubjectiveFact=false|EmoExpression::markable_3::Sarcasm=false|Sentiment::markable_1::Sentiment=True|pers=3|EmoExpression::markable_3::Intensity=medium|num=sg|tense=pres|EmoExpression::markable_3::Uncertain=false|EmoExpression::markable_3::EmoExpression=True Source::markable_2::Source=True|Source::markable_2::Anaphref=empty|pos=True|Sentiment::markable_1::Sentiment=True _ pers=1|num=pl|tense=pres|mood=ind case=nom|*=True|num=pl|pers=1 case=nom|*=True|num=pl case=acc|gender=neut|num=sg case=acc|gender=neut|num=sg|pos=True case=acc|gender=neut|num=sg pos=True _ EmoExpression::markable_5::Intensity=medium|EmoExpression::markable_5::Sarcasm=false|EmoExpression::markable_5::SubjectiveFact=false|EmoExpression::markable_5::EmoExpression=True|EmoExpression::markable_5::Uncertain=false|EmoExpression::markable_5::Polarity=positive
381548902400274432	mixed	Ach, das ist der #Bond mit diesem tuntigen Killer-Duo :-) @ZDF	Ach, die sein die #Bond mit dies tuntigen Killer-Duo :-) @ZDF	ADJD PDS VAFIN ART NN APPR PDAT ADJA NN $( NE	2/MO 3/SB 0/-- 5/NK 3/PD 5/MNR 9/NK 9/NK 6/NK 9/-- 9/NK	Sentiment::markable_6::Sentiment=True|pos=True case=nom|gender=neut|Sentiment::markable_6::Sentiment=True|num=sg pers=3|Sentiment::markable_6::Sentiment=True|num=sg|tense=pres|mood=ind case=nom|gender=masc|Sentiment::markable_6::Sentiment=True|num=sg case=nom|gender=masc|Sentiment::markable_6::Sentiment=True|num=sg Sentiment::markable_6::Sentiment=True case=dat|num=sg|Target::markable_7::Target=True|Target::markable_7::Preferred=true|gender=masc|Sentiment::markable_6::Sentiment=True|Target::markable_7::Anaphref=empty case=dat|EmoExpression::markable_8::Intensity=medium|EmoExpression::markable_8::Polarity=negative|gender=masc|Sentiment::markable_6::Sentiment=True|Target::markable_7::Target=True|pos=True|EmoExpression::markable_8::SubjectiveFact=false|num=sg|EmoExpression::markable_8::Sarcasm=false|EmoExpression::markable_8::EmoExpression=True|EmoExpression::markable_8::Uncertain=false case=dat|gender=masc|Sentiment::markable_6::Sentiment=True|num=sg|Target::markable_7::Target=True EmoExpression::markable_9::Uncertain=false|EmoExpression::markable_9::Polarity=positive|EmoExpression::markable_9::Sarcasm=false|EmoExpression::markable_9::Intensity=medium|Sentiment::markable_6::Sentiment=True|EmoExpression::markable_9::SubjectiveFact=false|EmoExpression::markable_9::EmoExpression=True _
374261096720637952	positive	RT @alexander_kurz: So, gerade hat die Angie den Peer versenkt ;-) #tvduell #cdu+	RT @alexander_kurz: So, gerade haben die Angie die Peer versenken ;-) #tvduell #cdu+	NE NN NE ADV VAFIN ART NE ART NE VVPP $( NN ADJA	2/AG 0/-- 5/SB 10/MO 0/-- 7/NK 5/SB 9/NK 10/OA 5/OC 10/-- 10/PAR 12/UC	case=nom|gender=neut|num=sg case=nom|gender=neut|num=sg case=nom|*=True|num=sg _ pers=3|num=sg|tense=pres|mood=ind case=acc|gender=fem|num=sg case=acc|gender=fem|num=sg case=acc|gender=masc|num=sg case=acc|gender=masc|num=sg _ EmoExpression::markable_10::Uncertain=false|EmoExpression::markable_10::Polarity=positive|EmoExpression::markable_10::Sarcasm=false|EmoExpression::markable_10::Intensity=medium|EmoExpression::markable_10::EmoExpression=True|EmoExpression::markable_10::SubjectiveFact=false pos=True _
348402833760063488	positive	@monah @ooniboni @bendy_ch Ui! Ist das Heute? ;-) Eine, Spässchen. Alles im grünen Bereich. Freue mich, bis später :-)	@monah @ooniboni @bendy_ch Ui! sein die Heute? ;-) Eine, Spässchen. alle in grün Bereich. freuen mich, bis spät :-)	ADJD NN ADJA NN VAFIN ART NN $( NE NE PIS APPRART ADJA NN VVFIN ADJD KON ADJD $(	0/-- 0/-- 0/-- 0/-- 0/-- 7/NK 5/SB 9/-- 10/PNC 0/-- 0/-- 11/MNR 14/NK 12/NK 0/-- 15/MO 16/CD 17/CJ 18/--	pos=True case=nom|gender=masc|num=sg _ case=nom|gender=fem|num=sg pers=3|num=sg|tense=pres|mood=ind case=nom|gender=neut|num=sg case=nom|gender=neut|num=sg EmoExpression::markable_11::Intensity=medium|EmoExpression::markable_11::Sarcasm=false|EmoExpression::markable_11::SubjectiveFact=false|EmoExpression::markable_11::Polarity=positive|EmoExpression::markable_11::Uncertain=false|EmoExpression::markable_11::EmoExpression=True|*=True EmoExpression::markable_12::Intensity=medium|EmoExpression::markable_12::Polarity=positive|EmoExpression::markable_12::Uncertain=false|EmoExpression::markable_12::Sarcasm=false|EmoExpression::markable_12::SubjectiveFact=false|*=True|EmoExpression::markable_12::EmoExpression=True *=True case=nom|EmoExpression::markable_10409973::SubjectiveFact=false|EmoExpression::markable_10409973::Sarcasm=false|EmoExpression::markable_10409973::Polarity=positive|gender=neut|EmoExpression::markable_10409973::Uncertain=false|num=sg|EmoExpression::markable_10409973::EmoExpression=True|EmoExpression::markable_10409973::Intensity=medium case=dat|gender=masc|num=sg|EmoExpression::markable_10409973::EmoExpression=True case=dat|gender=masc|num=sg|EmoExpression::markable_10409973::EmoExpression=True|pos=True case=dat|gender=masc|num=sg EmoExpression::markable_13::Polarity=positive|EmoExpression::markable_13::EmoExpression=True|EmoExpression::markable_13::Uncertain=false|EmoExpression::markable_13::Intensity=medium|EmoExpression::markable_13::Sarcasm=false|EmoExpression::markable_13::SubjectiveFact=false pos=True _ comp=True EmoExpression::markable_14::Polarity=positive|EmoExpression::markable_14::Sarcasm=false|EmoExpression::markable_14::SubjectiveFact=false|EmoExpression::markable_14::Uncertain=false|EmoExpression::markable_14::Intensity=medium|EmoExpression::markable_14::EmoExpression=True
348128608872710144	negative	Zuviele #csu Tweets! Ich block @Fran_Muc mal für 24h! #bwmisc Feeling :)	zuviele #csu Tweets! ich blocken @Fran_Muc mal für 24h! #bwmisc Feeling :)	PIS NN VVFIN PPER VVIMP ADV ADV APPR ADJA NN NN ADJA	3/SB 1/AG 0/-- 6/SB 0/-- 5/MO 8/MO 0/-- 8/NK 0/-- 10/NK 10/MO	case=nom|EmoExpression::markable_18::SubjectiveFact=false|Sentiment::markable_16::Intensity=medium|*=True|Sentiment::markable_16::Sentiment=True|EmoExpression::markable_18::Intensity=medium|Sentiment::markable_16::Sarcasm=false|num=pl|EmoExpression::markable_18::EmoExpression=True|EmoExpression::markable_18::Uncertain=false|Sentiment::markable_16::Polarity=negative|EmoExpression::markable_18::Polarity=negative|EmoExpression::markable_18::Sarcasm=false case=nom|num=pl|Target::markable_17::Preferred=true|Target::markable_17::Target=True|*=True|Sentiment::markable_16::Sentiment=True|Target::markable_17::Anaphref=empty pers=3|Sentiment::markable_16::Sentiment=True|num=sg|tense=past|mood=ind case=nom|*=True|num=sg|pers=1 pers=1|num=sg|tense=pres|mood=ind _ _ _ _ case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg case=nom|EmoExpression::markable_15::Intensity=medium|EmoExpression::markable_15::SubjectiveFact=false|gender=masc|EmoExpression::markable_15::Uncertain=false|EmoExpression::markable_15::Polarity=positive|num=sg|EmoExpression::markable_15::EmoExpression=True|comp=True|EmoExpression::markable_15::Sarcasm=false
383593060690829312	positive	Hier wurde gerade ein Plakat von der #FDP abgehangen und da meinte so ein alter Mann: "Ja der lacht jetzt nicht mehr so wie auf dem Bild" :-)	hier werden gerade eine Plakat von die #FDP abhängen und da meinen so eine alt Mann: "Ja die lachen jetzt nicht mehr so wie auf die Bild" :-)	ADV VAFIN ADV ART NN APPR ART NN VVPP KON ADV VVFIN ADV ART ADJA NN NN ART VVFIN ADV PTKNEG ADV ADV KOKOM APPR ART NN $(	9/MO 0/-- 9/MO 5/NK 2/SB 9/SBP 8/NK 6/NK 2/OC 2/CD 12/MO 10/CJ 12/MO 16/NK 16/NK 12/SB 16/NK 19/NK 12/CJ 19/MO 19/NG 21/MO 19/MO 25/CM 19/MO 27/NK 25/NK 27/--	_ pers=3|num=sg|tense=past|mood=ind _ case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg _ case=dat|gender=fem|num=sg case=dat|gender=fem|num=sg _ _ Sentiment::markable_19::Polarity=positive|Sentiment::markable_19::Intensity=medium|Sentiment::markable_19::Sarcasm=false|Sentiment::markable_19::Sentiment=True Target::markable_20::Target=True|mood=ind|pers=3|num=sg|tense=past|Sentiment::markable_19::Sentiment=True|Target::markable_20::Anaphref=empty|Target::markable_20::Preferred=true Target::markable_20::Target=True|Sentiment::markable_19::Sentiment=True case=nom|gender=masc|num=sg|Sentiment::markable_19::Sentiment=True|Target::markable_20::Target=True case=nom|Target::markable_20::Target=True|num=sg|Sentiment::markable_19::Sentiment=True|gender=masc|pos=True case=nom|gender=masc|num=sg|Sentiment::markable_19::Sentiment=True|Target::markable_20::Target=True case=nom|gender=masc|num=sg|Sentiment::markable_19::Sentiment=True|Target::markable_20::Target=True case=nom|gender=masc|num=sg|Sentiment::markable_19::Sentiment=True|Target::markable_20::Target=True Target::markable_20::Target=True|mood=ind|EmoExpression::markable_10409974::EmoExpression=True|EmoExpression::markable_10409974::Intensity=medium|EmoExpression::markable_10409974::Sarcasm=false|EmoExpression::markable_10409974::SubjectiveFact=false|pers=3|EmoExpression::markable_10409974::Polarity=positive|num=sg|tense=pres|Sentiment::markable_19::Sentiment=True|EmoExpression::markable_10409974::Uncertain=false Target::markable_20::Target=True|Sentiment::markable_19::Sentiment=True Target::markable_20::Target=True|Sentiment::markable_19::Sentiment=True Target::markable_20::Target=True|Sentiment::markable_19::Sentiment=True Target::markable_20::Target=True|Sentiment::markable_19::Sentiment=True Target::markable_20::Target=True|Sentiment::markable_19::Sentiment=True Target::markable_20::Target=True|Sentiment::markable_19::Sentiment=True case=dat|gender=masc|num=sg|Sentiment::markable_19::Sentiment=True|Target::markable_20::Target=True case=dat|gender=masc|num=sg|Sentiment::markable_19::Sentiment=True Sentiment::markable_19::Sentiment=True|EmoExpression::markable_21::EmoExpression=True|EmoExpression::markable_21::Uncertain=false|EmoExpression::markable_21::SubjectiveFact=false|EmoExpression::markable_21::Polarity=positive|EmoExpression::markable_21::Sarcasm=false|EmoExpression::markable_21::Intensity=medium
375009149958250496	positive	@Linke__Burb_Alt @GregorGysi ja un ich bin dabei morgens aufbau total freue :-)))	@Linke__Burb_Alt @GregorGysi ja un ich sein dabei morgens Aufbau total freuen :-)))	ADJA NN ADV NE PPER VAFIN PAV ADV NN ADJD VVFIN ADJA	0/-- 0/-- 4/MO 6/PD 6/SB 0/-- 9/NK 6/MO 6/PD 11/MO 9/OC 6/MO	_ case=nom|gender=fem|num=sg _ _ case=nom|*=True|num=sg|pers=1 pers=1|num=sg|tense=pres|mood=ind _ _ case=acc|gender=masc|num=sg Intensifier::markable_23::Intensifier=True|Intensifier::markable_23::Degree=medium|pos=True|Intensifier::markable_23::EmoExpressionRef=emo-expression:markable_22 EmoExpression::markable_22::Uncertain=false|EmoExpression::markable_22::Intensity=medium|EmoExpression::markable_22::Sarcasm=false|EmoExpression::markable_22::SubjectiveFact=false|EmoExpression::markable_22::EmoExpression=True|EmoExpression::markable_22::Polarity=positive EmoExpression::markable_24::Intensity=medium|EmoExpression::markable_24::Sarcasm=false|EmoExpression::markable_24::Uncertain=false|EmoExpression::markable_24::Polarity=positive|EmoExpression::markable_24::EmoExpression=True|EmoExpression::markable_24::SubjectiveFact=false
375642330562191362	positive	RT @danielmack: DANKE für 12K. Verlose unter allen RT zwei GRÜNE Shirts für den WECHSEL in Hessen. Mit @talwazir Signatur! :-) http://t.co/...	RT @danielmack: danken für 12K. Verlose unter alle RT zwei grün Shirt für die wechseln in Hessen. mit @talwazir Signatur! :-) http://t.co/...	NE NN VVFIN APPR ADJA NN APPR PIAT NE CARD ADJA NN APPR ART VVIMP APPR NE APPR NN ADJA $( NN	2/AG 0/-- 0/-- 3/MO 6/NK 4/NK 6/MNR 9/NK 7/NK 12/NK 12/NK 3/OA 12/MNR 13/NK 14/NK 14/MNR 16/NK 0/-- 18/NK 0/-- 22/-- 0/--	case=nom|gender=neut|num=sg case=nom|gender=neut|num=sg|Sentiment::markable_26::Sentiment=True EmoExpression::markable_28::Sarcasm=false|EmoExpression::markable_28::SubjectiveFact=false|mood=ind|EmoExpression::markable_28::EmoExpression=True|EmoExpression::markable_28::Uncertain=false|pers=3|EmoExpression::markable_28::Intensity=medium|num=sg|tense=past|EmoExpression::markable_28::Polarity=positive|Sentiment::markable_26::Sentiment=True Sentiment::markable_26::Sentiment=True case=acc|*=True|num=pl|Sentiment::markable_26::Sentiment=True|pos=True case=acc|*=True|num=pl _ case=dat|gender=fem|num=pl case=dat|gender=fem|num=pl _ case=gen|gender=neut|num=sg|pos=True case=gen|gender=neut|num=sg _ case=acc|gender=masc|num=sg case=acc|gender=masc|num=sg _ case=dat|gender=neut|num=sg _ case=dat|gender=fem|num=sg _ EmoExpression::markable_25::Intensity=medium|EmoExpression::markable_25::Polarity=positive|EmoExpression::markable_25::Sarcasm=false|EmoExpression::markable_25::SubjectiveFact=false|EmoExpression::markable_25::Uncertain=false|EmoExpression::markable_25::EmoExpression=True _
365076305164763136	positive	@das_Ruhrgebiet @alios Ich stimme dir zu. Die FDP ist.... *prust* Naja lassen wir das. :-)	@das_Ruhrgebiet @alios ich stimmen du zu. die FDP ist.... *prust* Naja lassen wir das. :-)	NN NE PPER VVFIN PRF NE ART NE NE ADJA NN VVFIN PPER ADJA $(	0/-- 0/-- 4/SB 0/-- 4/DA 4/OA 9/NK 9/PNC 0/-- 11/NK 12/SB 0/-- 12/SB 12/MO 0/--	case=nom|gender=neut|num=sg pos=True case=nom|Sentiment::markable_30::Intensity=medium|Sentiment::markable_30::Sentiment=True|Sentiment::markable_30::Sarcasm=false|*=True|Source::markable_31::Source=True|pers=1|num=sg|Source::markable_31::Anaphref=empty|Sentiment::markable_30::Polarity=positive Sentiment::markable_30::Sentiment=True|mood=ind|EmoExpression::markable_32::Polarity=positive|EmoExpression::markable_32::Sarcasm=false|EmoExpression::markable_32::EmoExpression=True|pers=1|EmoExpression::markable_32::Intensity=medium|num=sg|tense=pres|EmoExpression::markable_32::SubjectiveFact=false|EmoExpression::markable_32::Uncertain=false case=dat|Sentiment::markable_30::Sentiment=True|*=True|pers=2|Target::markable_33::Preferred=true|num=sg|Target::markable_33::Anaphref=empty|Target::markable_33::Target=True _ case=nom|gender=fem|num=sg case=nom|gender=fem|num=sg case=nom|gender=fem|num=sg _ _ pers=1|num=pl|tense=pres|mood=ind case=nom|*=True|num=pl|pers=1 case=acc|*=True|num=sg EmoExpression::markable_34::SubjectiveFact=false|EmoExpression::markable_34::Intensity=medium|EmoExpression::markable_34::EmoExpression=True|EmoExpression::markable_34::Polarity=positive|EmoExpression::markable_34::Uncertain=false|EmoExpression::markable_34::Sarcasm=false
360854777636208641	positive	@RobertPorten Weiter so! twittern wir mal, was das Zeug hält! :-) #AfD	@RobertPorten weiter so! twittern wir mal, was die Zeug hält! :-) #AfD	NN ADV ADJD VVFIN PPER NE PIS ART NN VVFIN $( ADJD	0/-- 3/MO 0/-- 0/-- 4/SB 4/SB 4/NK 9/NK 10/OA 4/OC 12/-- 0/--	_ _ _ _ case=nom|*=True|num=pl|pers=1 pers=1|num=pl|tense=pres|mood=ind case=acc|gender=neut|num=sg case=acc|gender=neut|num=sg case=acc|gender=neut|num=sg pers=3|num=sg|tense=pres|mood=ind EmoExpression::markable_35::Uncertain=false|EmoExpression::markable_35::Intensity=medium|EmoExpression::markable_35::Sarcasm=false|EmoExpression::markable_35::SubjectiveFact=false|EmoExpression::markable_35::EmoExpression=True|EmoExpression::markable_35::Polarity=positive pos=True
381525568401203200	positive	@thelifeasannika Ich klöppel uns einen. Für Dich einen mit. :)	@thelifeasannika ich klöppeln wir einen. für du eine mit. :)	NN PPER VVIMP PRF ADJD APPR PPER ART NN ADJA	0/-- 3/UC 0/-- 5/DA 3/MO 0/-- 6/NK 9/NK 6/OA 0/--	case=nom|gender=fem|num=sg case=nom|*=True|num=sg|pers=1 pers=1|num=sg|tense=pres|mood=ind case=dat|*=True|num=pl|pers=1 pos=True _ case=acc|*=True|num=sg|pers=2 case=acc|gender=masc|num=sg case=acc|gender=masc|num=sg EmoExpression::markable_36::EmoExpression=True|EmoExpression::markable_36::SubjectiveFact=false|EmoExpression::markable_36::Uncertain=false|EmoExpression::markable_36::Polarity=positive|EmoExpression::markable_36::Sarcasm=false|EmoExpression::markable_36::Intensity=medium
