311919759388192769	positive	@christopherkohn Zum Glüch wurde der neue Papst heute gekürt ;-)	@christopherkohn zu Glüch werden die neu Papst heute küren ;-)	NN APPRART NN VAFIN ART ADJA NN ADV VVPP $(	0/-- 9/MO 2/NK 0/-- 7/NK 7/NK 4/SB 9/MO 4/OC 9/--	case=nom|gender=masc|num=sg case=dat|Sentiment::markable_1::Sarcasm=false|EmoExpression::markable_2::SubjectiveFact=false|EmoExpression::markable_2::Polarity=positive|gender=neut|Sentiment::markable_1::Sentiment=True|EmoExpression::markable_2::Uncertain=false|EmoExpression::markable_2::Intensity=medium|num=sg|EmoExpression::markable_2::Sarcasm=false|Sentiment::markable_1::Polarity=positive|Sentiment::markable_1::Intensity=medium|EmoExpression::markable_2::EmoExpression=True case=dat|gender=neut|num=sg|EmoExpression::markable_2::EmoExpression=True|Sentiment::markable_1::Sentiment=True mood=ind|Target::markable_3::Anaphref=empty|Target::markable_3::Preferred=true|Target::markable_3::Target=True|Sentiment::markable_1::Sentiment=True|pers=3|num=sg|tense=past case=nom|gender=masc|num=sg|Target::markable_3::Target=True|Sentiment::markable_1::Sentiment=True case=nom|num=sg|Target::markable_3::Target=True|gender=masc|pos=True|Sentiment::markable_1::Sentiment=True case=nom|gender=masc|num=sg|Target::markable_3::Target=True|Sentiment::markable_1::Sentiment=True Target::markable_3::Target=True|Sentiment::markable_1::Sentiment=True Target::markable_3::Target=True|Sentiment::markable_1::Sentiment=True EmoExpression::markable_4::SubjectiveFact=false|EmoExpression::markable_4::Uncertain=false|EmoExpression::markable_4::Sarcasm=false|EmoExpression::markable_4::Intensity=medium|EmoExpression::markable_4::EmoExpression=True|EmoExpression::markable_4::Polarity=positive|Sentiment::markable_1::Sentiment=True
311906517546856450	positive	Is’ echt so! :-) RT @ILADYI: Mir scheissegal, wieviel Papstwitze hier kursieren. Mich bewegt das. Trotz allem. #Papst #Konklave	Is’ echt so! :-) RT @ILADYI: ich scheissegal, wieviele Papstwitz hier kursieren. ich bewegen das. trotz allem. #Papst #Konklave	ADJD ADJD ADJA $( NE VVFIN PPER NE PWAV NN ADV NE PPER VVFIN ADJD APPR NE NN NN	2/MO 3/MO 0/-- 5/-- 6/SB 0/-- 10/NK 10/PNC 10/NK 0/-- 12/MO 10/AG 14/SB 0/-- 14/MO 0/-- 16/NK 0/-- 18/NK	pos=True pos=True _ EmoExpression::markable_5::Intensity=medium|EmoExpression::markable_5::Sarcasm=false|EmoExpression::markable_5::SubjectiveFact=false|EmoExpression::markable_5::EmoExpression=True|EmoExpression::markable_5::Uncertain=false|EmoExpression::markable_5::Polarity=positive case=nom|*=True|num=sg pers=3|Sentiment::markable_6::Sentiment=True|num=sg|tense=past|mood=ind case=dat|pers=1|num=sg|Source::markable_7::Source=True|Source::markable_7::Anaphref=empty|Sentiment::markable_6::Sentiment=True|*=True case=nom|*=True|Sentiment::markable_6::Sentiment=True|num=sg Target::markable_9::Anaphref=empty|Sentiment::markable_6::Sentiment=True|*=True|Target::markable_9::Target=True|Target::markable_9::Preferred=true case=acc|gender=masc|Sentiment::markable_6::Sentiment=True|num=pl|Target::markable_9::Target=True Sentiment::markable_6::Sentiment=True|Target::markable_9::Target=True case=gen|*=True|num=sg case=acc|Source::markable_12::Anaphref=markable_10|Source::markable_12::Source=True|*=True|pers=1|Sentiment::markable_11::Polarity=positive|num=sg|Sentiment::markable_11::Intensity=medium|Sentiment::markable_11::Sentiment=True|Sentiment::markable_11::Sarcasm=false mood=ind|EmoExpression::markable_13::EmoExpression=True|EmoExpression::markable_13::SubjectiveFact=false|pers=3|num=sg|tense=pres|EmoExpression::markable_13::Polarity=positive|EmoExpression::markable_13::Uncertain=false|EmoExpression::markable_13::Intensity=medium|EmoExpression::markable_13::Sarcasm=false|Sentiment::markable_11::Sentiment=True pos=True|Sentiment::markable_11::Sentiment=True _ case=dat|gender=neut|num=sg case=nom|gender=neut|num=pl case=nom|gender=neut|num=pl
311929520116617216	positive	@DeinSkySport @SkyDeutschland als ich hörte der neue papst ist ein argentinier dachte ich an Lionel Messi der 1. :) @fussballzimmer	@DeinSkySport @SkyDeutschland als ich hören die neu Papst sein eine Argentinier denken ich an Lionel Messi die 1. :) @fussballzimmer	NN NN KOKOM PPER VVFIN ART ADJA NN VAFIN ART NN VVFIN PPER APPR NE NN ART ADJA ADJA NN	0/-- 0/-- 4/CM 5/SB 0/-- 8/NK 8/NK 9/SB 5/OC 11/NK 9/SB 5/CJ 12/SB 12/MO 14/NK 12/OA 20/NK 20/NK 20/NK 16/AG	_ case=nom|gender=neut|num=sg _ case=nom|*=True|num=sg|pers=1 pers=1|num=sg|tense=past|mood=ind case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg|pos=True case=nom|gender=masc|num=sg pers=3|num=sg|tense=pres|mood=ind case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg pers=1|num=sg|tense=past|mood=ind case=nom|*=True|num=sg|pers=1 _ case=acc|*=True|num=sg gender=fem|*=True|num=sg case=gen|gender=fem|num=sg *=True|pos=True case=gen|EmoExpression::markable_15::Intensity=medium|EmoExpression::markable_15::SubjectiveFact=false|gender=fem|EmoExpression::markable_15::Uncertain=false|EmoExpression::markable_15::Polarity=positive|num=sg|EmoExpression::markable_15::EmoExpression=True|EmoExpression::markable_15::Sarcasm=false case=gen|gender=fem|num=sg
311927121712922624	positive	Wer ist der neue Papst? ;-) http://t.co/lAYkxLc2nS	wer sein die neu Papst? ;-) http://t.co/lAYkxLc2nS	PWS VAFIN ART ADJA NN $( NN	2/SB 0/-- 5/NK 5/NK 2/PD 7/-- 0/--	case=nom|gender=masc|num=sg pers=3|num=sg|tense=pres|mood=ind case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg|pos=True case=nom|gender=masc|num=sg EmoExpression::markable_16::Polarity=positive|EmoExpression::markable_16::Sarcasm=false|EmoExpression::markable_16::EmoExpression=True|EmoExpression::markable_16::SubjectiveFact=false|EmoExpression::markable_16::Uncertain=false|EmoExpression::markable_16::Intensity=medium case=nom|gender=fem|num=sg
311922836941963264	positive	Der neue #Papst löst in mir so ein wunderschönes Gefühl aus. ♥ I feel #blessed :)	die neu #Papst lösen in ich so eine wunderschön Gefühl aus. ♥ I feel #blessed :)	ART ADJA NN VVFIN APPR PPER ADV ART ADJA NN ADJA ADJA NN ADJA NN ADJA	3/NK 3/NK 4/SB 0/-- 4/MO 5/NK 10/MO 10/NK 10/NK 4/OA 7/UC 13/NK 16/MO 15/NK 13/NK 0/--	case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg|pos=True case=nom|gender=masc|num=sg pers=3|num=sg|tense=pres|mood=ind _ case=dat|*=True|num=sg|pers=1 _ case=nom|gender=neut|num=sg case=nom|EmoExpression::markable_104012636::Sarcasm=false|EmoExpression::markable_104012636::Polarity=positive|gender=neut|EmoExpression::markable_104012636::Uncertain=false|pos=True|EmoExpression::markable_104012636::Intensity=strong|num=sg|EmoExpression::markable_104012636::EmoExpression=True|EmoExpression::markable_104012636::SubjectiveFact=false case=nom|gender=neut|num=sg case=nom|gender=neut|num=sg|pos=True _ case=nom|gender=neut|num=sg case=nom|gender=neut|num=sg|pos=True case=nom|EmoExpression::markable_104012637::EmoExpression=True|gender=neut|EmoExpression::markable_104012637::SubjectiveFact=false|num=sg|EmoExpression::markable_104012637::Polarity=positive|EmoExpression::markable_104012637::Sarcasm=false|EmoExpression::markable_104012637::Uncertain=false|EmoExpression::markable_104012637::Intensity=strong case=nom|gender=neut|num=sg|pos=True
311907822730366976	positive	:-) jetzt bin ich aber Gespannt wer der Neue Papst ist.	:-) jetzt sein ich aber spannen wer die neu Papst ist.	$( ADV VAFIN PPER ADV VVPP PWS ART ADJA NN NE	2/-- 3/MO 0/-- 3/SB 3/MO 3/PD 6/OA 10/NK 10/NK 7/PAR 10/NK	EmoExpression::markable_17::SubjectiveFact=false|EmoExpression::markable_17::Polarity=positive|EmoExpression::markable_17::EmoExpression=True|EmoExpression::markable_17::Sarcasm=false|EmoExpression::markable_17::Uncertain=false|EmoExpression::markable_17::Intensity=medium _ pers=1|num=sg|tense=pres|mood=ind case=nom|*=True|num=sg|pers=1 _ case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg|pos=True case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg
311981791202377728	positive	Jetzt gar keine mehr :-) "@PBroennimann: Der neue Papst @JMBergoglio: Vor 2 Minuten noch 25'000 Twitter-Follower, jetzt schon 56'000!"	jetzt gar keine mehr :-) "@PBroennimann: die neu Papst @JMBergoglio: vor 2 Minute noch 25'000 Twitter-Follower, jetzt schon 56'000!"	ADV ADV PIAT PIAT $( NN ART ADJA NN ADJD APPR CARD NN ADV CARD NN ADV ADV ADJA	6/MO 3/MO 6/NK 6/NK 4/-- 0/-- 9/NK 9/NK 0/-- 9/PD 16/MO 13/NK 11/NK 16/MO 16/NK 0/-- 16/MNR 19/MO 16/PD	_ _ case=nom|gender=fem|num=sg *=True case=nom|EmoExpression::markable_18::EmoExpression=True|*=True|EmoExpression::markable_18::Intensity=medium|num=sg|EmoExpression::markable_18::SubjectiveFact=false|EmoExpression::markable_18::Uncertain=false|EmoExpression::markable_18::Polarity=positive|EmoExpression::markable_18::Sarcasm=false case=acc|gender=masc|num=sg case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg|pos=True case=nom|gender=masc|num=sg pos=True _ _ case=dat|gender=fem|num=pl _ _ case=nom|gender=fem|num=pl _ _ case=dat|gender=neut|num=pl|comp=True
312099418033758208	positive	;-)) RT @gestalterhuette: Der neue #Papst schafft den #Google Reader ab. Das haben wir nun davon.	;-)) RT @gestalterhuette: die neu #Papst schaffen die #Google Reader ab. die haben wir nun davon.	NN NE NN ART ADJA NN VVFIN ART NN NN NN PDS VAFIN PPER ADV ADJD	0/-- 3/PNC 1/NK 6/NK 6/NK 7/SB 0/-- 9/NK 7/OA 9/NK 7/OA 16/OA 0/-- 13/SB 13/MO 13/MO	case=nom|EmoExpression::markable_19::Uncertain=false|gender=masc|EmoExpression::markable_19::Sarcasm=false|EmoExpression::markable_19::EmoExpression=True|num=sg|EmoExpression::markable_19::Intensity=medium|EmoExpression::markable_19::SubjectiveFact=false|EmoExpression::markable_19::Polarity=positive case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg|pos=True case=nom|gender=masc|num=sg pers=3|num=sg|tense=pres|mood=ind case=acc|gender=masc|num=sg case=acc|gender=masc|num=sg case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg case=acc|gender=neut|num=sg pers=1|num=pl|tense=pres|mood=ind case=nom|*=True|num=pl|pers=1 _ pos=True
311919039930851328	mixed	oh - massive Ton- und Bildaussetzer bei #Rizzoli und #Isles :-( Hallo, #Papst (@pontifex ), mach das mal heile! Danke!	oh - massiv Ton- und Bildaussetzer bei #Rizzoli und #Isles :-( Hallo, #Papst (@pontifex ), machen die mal heile! Danke!	ITJ $( ADJA TRUNC KON NN APPR NN KON NN $( NE NN NN NN VVIMP ART ADV ADJA NN	6/NK 1/-- 6/NK 5/CJ 6/CD 0/-- 6/MNR 7/NK 8/CD 9/CJ 10/-- 8/NK 8/CJ 13/NK 16/PD 0/-- 16/OA 19/MO 16/NK 0/--	_ _ case=acc|gender=fem|num=pl|pos=True _ _ case=nom|gender=masc|num=pl _ case=dat|gender=masc|num=sg _ case=dat|gender=masc|num=sg case=dat|EmoExpression::markable_20::Uncertain=false|gender=masc|EmoExpression::markable_20::Sarcasm=false|pos=True|EmoExpression::markable_20::EmoExpression=True|num=sg|EmoExpression::markable_20::Intensity=medium|EmoExpression::markable_20::SubjectiveFact=false|EmoExpression::markable_20::Polarity=negative case=dat|gender=masc|num=sg case=dat|gender=masc|num=sg case=dat|gender=masc|num=sg case=nom|gender=masc|num=sg pers=3|num=sg|tense=pres|mood=ind case=acc|gender=neut|num=sg _ EmoExpression::markable_21::EmoExpression=True|EmoExpression::markable_21::SubjectiveFact=false|EmoExpression::markable_21::Uncertain=false|EmoExpression::markable_21::Polarity=positive|EmoExpression::markable_21::Sarcasm=false|EmoExpression::markable_21::Intensity=medium case=nom|gender=masc|num=sg
311825751311798272	positive	@goldpilz was würde da der #Papst dazu sagen? Ich hoffe, das versetzt ihn nicht gleich in die #Wechseljahre? :-) MM	@goldpilz was werden da die #Papst dazu sagen? ich hoffe, die versetzen er nicht gleich in die #Wechseljahre? :-) mm	NN PIS VAFIN ADV ART NN PAV VVFIN PPER NE ART VVFIN PPER PTKNEG ADJD APPR ART ADJA $( NN	0/-- 3/SB 0/-- 8/MO 6/NK 8/SB 6/NK 3/OC 12/SB 11/AG 9/NK 0/-- 12/OA 12/NG 16/MO 12/MO 18/NK 16/NK 20/-- 0/--	case=nom|gender=neut|num=sg case=nom|gender=neut|num=sg pers=3|num=sg|tense=past|mood=subj _ case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg _ pers=3|num=sg|tense=past|mood=ind case=nom|*=True|num=sg|pers=1 pers=1|num=sg|tense=pres|mood=ind case=acc|gender=neut|num=sg pers=3|num=sg|tense=pres|mood=ind case=acc|gender=masc|num=sg|pers=3 _ pos=True _ case=acc|gender=fem|num=sg case=acc|gender=fem|num=sg|pos=True EmoExpression::markable_22::Uncertain=false|EmoExpression::markable_22::Intensity=medium|EmoExpression::markable_22::Sarcasm=false|EmoExpression::markable_22::SubjectiveFact=false|EmoExpression::markable_22::EmoExpression=True|EmoExpression::markable_22::Polarity=positive case=nom|gender=fem|num=sg
311912675242278912	positive	@ImNiallshamrock sorry würde dir ja schreiben schaue aber gerade die papst wahl an und wer der neue papst ist !! :)	@ImNiallshamrock sorry werden du ja schreiben schauen aber gerade die papst Wahl an und wer die neu Papst sein !! :)	NN NE VAFIN PPER ADV VVINF VVFIN ADV ADV ART ADJA NN PTKVZ KON PWS ART ADJA NN VAFIN ADJD ADJA	0/-- 3/SB 0/-- 6/DA 6/MO 3/OC 6/OC 7/MO 7/MO 12/NK 12/NK 7/OA 7/SVP 7/CD 19/SB 18/NK 18/NK 19/SB 14/CJ 19/PD 0/--	case=nom|gender=masc|num=sg _ pers=3|num=sg|tense=past|mood=subj case=dat|*=True|num=sg|pers=2 _ _ pers=3|num=sg|tense=pres|mood=subj _ _ case=acc|gender=fem|num=sg case=acc|gender=fem|num=sg|pos=True case=acc|gender=fem|num=sg _ _ case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg|pos=True case=nom|gender=masc|num=sg pers=3|num=sg|tense=pres|mood=ind pos=True EmoExpression::markable_23::SubjectiveFact=false|EmoExpression::markable_23::Intensity=medium|EmoExpression::markable_23::EmoExpression=True|EmoExpression::markable_23::Polarity=positive|EmoExpression::markable_23::Uncertain=false|EmoExpression::markable_23::Sarcasm=false
