328854379425853441	positive	Gleich in Braunschweig mit Kamaraden Treffen :)	gleich in Braunschweig mit Kamaraden Treffen :)	ADJD APPR NE APPR ADJA NN ADJD	0/-- 1/MO 2/NK 7/MO 6/NK 4/NK 1/PD	Sentiment::markable_208::Intensity=medium|Target::markable_209::Anaphref=empty|Sentiment::markable_208::Sarcasm=false|Sentiment::markable_208::Polarity=positive|Sentiment::markable_208::Sentiment=True|Target::markable_209::Preferred=true|Target::markable_209::Target=True Sentiment::markable_208::Sentiment=True|Target::markable_209::Target=True case=dat|gender=neut|num=sg|Sentiment::markable_208::Sentiment=True|Target::markable_209::Target=True Sentiment::markable_208::Sentiment=True|Target::markable_209::Target=True case=dat|num=pl|Target::markable_209::Target=True|gender=fem|Sentiment::markable_208::Sentiment=True|pos=True case=dat|gender=fem|num=pl|Sentiment::markable_208::Sentiment=True|Target::markable_209::Target=True EmoExpression::markable_1::Sarcasm=false|EmoExpression::markable_1::SubjectiveFact=false|EmoExpression::markable_1::EmoExpression=True|EmoExpression::markable_1::Uncertain=false|EmoExpression::markable_1::Polarity=positive|Sentiment::markable_208::Sentiment=True|EmoExpression::markable_1::Intensity=medium
322069357201072129	mixed	@graulich12 Das geht ja gar nicht! Wo kommen wir denn da hin? Uns hätte man die Bücher auf den Kopf gehauen, bis das Familienlevel stimmt:-)	@graulich12 die gehen ja gar nicht! wo kommen wir denn da hin? wir haben man die Buch auf die Kopf gehauen, bis die Familienlevel stimmt:-)	NN PDS VVFIN ADV ADV ADJA PWAV VVFIN PPER ADV ADV VVFIN PPER VAFIN PIS ART NN APPR ART NN NE APPR ART NN $(	0/-- 3/SB 0/-- 3/MO 6/MO 3/MO 8/MO 12/OC 8/SB 8/MO 8/MO 0/-- 14/SB 0/-- 14/SB 17/NK 14/OA 17/MNR 20/NK 18/NK 20/NK 20/MNR 24/NK 22/NK 24/--	case=nom|gender=masc|num=sg case=nom|EmoExpression::markable_149::Uncertain=false|EmoExpression::markable_149::Polarity=negative|gender=neut|EmoExpression::markable_149::SubjectiveFact=false|EmoExpression::markable_149::Sarcasm=false|num=sg|EmoExpression::markable_149::EmoExpression=True|EmoExpression::markable_149::Intensity=strong pers=3|num=sg|tense=pres|mood=ind|EmoExpression::markable_149::EmoExpression=True EmoExpression::markable_149::EmoExpression=True EmoExpression::markable_149::EmoExpression=True EmoExpression::markable_149::EmoExpression=True EmoExpression::markable_104012277::Sarcasm=false|EmoExpression::markable_104012277::Uncertain=false|EmoExpression::markable_104012277::Intensity=medium|EmoExpression::markable_104012277::SubjectiveFact=false|EmoExpression::markable_104012277::Polarity=negative|EmoExpression::markable_104012277::EmoExpression=True pers=1|EmoExpression::markable_104012277::EmoExpression=True|num=pl|tense=pres|mood=ind case=nom|*=True|EmoExpression::markable_104012277::EmoExpression=True|num=pl|pers=1 EmoExpression::markable_104012277::EmoExpression=True EmoExpression::markable_104012277::EmoExpression=True pers=3|num=sg|tense=past|mood=ind case=dat|*=True|num=pl|pers=1 pers=3|num=sg|tense=past|mood=subj case=nom|*=True|num=sg case=acc|gender=masc|num=pl case=acc|gender=masc|num=pl EmoExpression::markable_210::Sarcasm=false|EmoExpression::markable_210::Uncertain=false|EmoExpression::markable_210::Polarity=negative|EmoExpression::markable_210::SubjectiveFact=false|EmoExpression::markable_210::EmoExpression=True|EmoExpression::markable_210::Intensity=medium case=acc|gender=masc|num=sg|EmoExpression::markable_210::EmoExpression=True case=acc|gender=masc|num=sg|EmoExpression::markable_210::EmoExpression=True _ _ case=acc|gender=neut|num=sg case=acc|gender=neut|num=sg EmoExpression::markable_2::Uncertain=false|EmoExpression::markable_2::Intensity=medium|EmoExpression::markable_2::Sarcasm=false|EmoExpression::markable_2::SubjectiveFact=false|EmoExpression::markable_2::Polarity=positive|EmoExpression::markable_2::EmoExpression=True
323433156667654147	positive	Will jetz Radle fahren oder Inliner :(	wollen jetz radeln fahren oder Inliner :(	VMFIN ADJD VVFIN VVFIN KON NN ADJA	0/-- 1/MO 4/MO 1/OC 4/CD 7/OA 5/CJ	Sentiment::markable_150::Sentiment=True|EmoExpression::markable_151::Polarity=positive|EmoExpression::markable_151::Sarcasm=false|mood=ind|Sentiment::markable_150::Intensity=medium|Sentiment::markable_150::Sarcasm=false|EmoExpression::markable_151::SubjectiveFact=false|pers=3|num=sg|tense=pres|Sentiment::markable_150::Polarity=positive|EmoExpression::markable_151::Uncertain=false|EmoExpression::markable_151::EmoExpression=True|EmoExpression::markable_151::Intensity=medium Sentiment::markable_150::Sentiment=True|pos=True Sentiment::markable_150::Sentiment=True|Target::markable_152::Target=True|mood=subj|Target::markable_152::Preferred=true|pers=3|num=sg|tense=pres|Target::markable_152::Anaphref=empty Sentiment::markable_150::Sentiment=True|Target::markable_152::Target=True Sentiment::markable_150::Sentiment=True|Target::markable_152::Target=True case=nom|gender=masc|Sentiment::markable_150::Sentiment=True|num=sg|Target::markable_152::Target=True case=nom|EmoExpression::markable_3::EmoExpression=True|gender=masc|EmoExpression::markable_3::SubjectiveFact=false|pos=True|EmoExpression::markable_3::Sarcasm=false|Sentiment::markable_150::Sentiment=True|EmoExpression::markable_3::Intensity=medium|num=sg|EmoExpression::markable_3::Polarity=negative|EmoExpression::markable_3::Uncertain=false
320319919545790464	neutral	SoWi Denkweisen den eine anliyorsunuz arkadaslar:)?	SoWi Denkweise die eine anliyorsunuz arkadaslar:)?	NE NN ART ART NE ADJA	2/PNC 0/-- 6/NK 5/NK 6/OA 2/PD	case=nom|*=True|num=sg case=nom|*=True|num=sg case=acc|gender=masc|num=sg case=acc|gender=fem|num=sg case=acc|gender=fem|num=sg case=acc|gender=fem|num=sg|pos=True
319088835927609344	positive	@isipisi5 Ich schau's mir später an , bin gerade mit meiner BFF shoppen :-)	@isipisi5 ich schau's ich spät an , sein gerade mit mein BFF shoppen :-)	NN PPER VVFIN PPER ADJD PTKVZ $, VAFIN ADV APPR PPOSAT NN NN $(	0/-- 3/SB 0/-- 3/DA 3/MO 3/SVP 6/-- 3/CJ 8/MO 8/MO 12/NK 10/NK 12/NK 13/--	case=nom|gender=fem|num=sg case=nom|*=True|num=sg|pers=1 pers=1|num=sg|tense=pres|mood=ind case=dat|pers=1|num=sg comp=True _ _ pers=1|num=sg|tense=pres|mood=ind _ _ case=dat|gender=fem|num=sg case=dat|EmoExpression::markable_211::Intensity=medium|EmoExpression::markable_211::Polarity=positive|EmoExpression::markable_211::Uncertain=false|gender=fem|EmoExpression::markable_211::SubjectiveFact=false|num=sg|EmoExpression::markable_211::Sarcasm=false|EmoExpression::markable_211::EmoExpression=True case=nom|gender=fem|num=pl EmoExpression::markable_5::Intensity=medium|EmoExpression::markable_5::Sarcasm=false|EmoExpression::markable_5::SubjectiveFact=false|EmoExpression::markable_5::EmoExpression=True|EmoExpression::markable_5::Uncertain=false|EmoExpression::markable_5::Polarity=positive
324216397624385536	mixed	@smu1401 Oh,dacht schon Du rätst mir zu einer Diät, weil 65kg/165cm evtl dick sei;) Werde alle abfüllen,ja! Obwohl einer reicht für den Anfang:)	@smu1401 Oh,dacht schon du raten ich zu eine Diät, weil 65kg/165cm evtl dick sei;) werden alle abfüllen,ja! obwohl eine reichen für die Anfang:)	CARD NN ADV PPER VVFIN PPER APPR ART TRUNC KOUS NE NE ADJD ADJA VAFIN PIAT TRUNC KOUS PIS VVFIN APPR ART NN	0/-- 4/CC 4/MO 5/SB 0/-- 5/DA 5/OP 9/NK 7/NK 15/CP 12/PNC 15/SB 14/MO 12/PNC 5/MO 17/NK 15/PD 20/CP 20/SB 0/-- 20/MO 23/NK 21/NK	_ case=nom|gender=fem|num=sg _ case=nom|*=True|num=sg|pers=2 pers=2|num=sg|tense=pres|mood=ind case=dat|*=True|num=sg|pers=1 _ case=dat|gender=fem|num=sg case=dat|gender=fem|num=sg _ case=nom|*=True|num=sg case=nom|*=True|num=sg EmoExpression::markable_104012279::SubjectiveFact=false|EmoExpression::markable_104012279::Intensity=medium|EmoExpression::markable_104012279::Polarity=negative|EmoExpression::markable_104012279::Sarcasm=false|EmoExpression::markable_104012279::EmoExpression=True|EmoExpression::markable_104012279::Uncertain=false|pos=True case=acc|gender=masc|EmoExpression::markable_6::SubjectiveFact=false|pos=True|EmoExpression::markable_6::Sarcasm=false|num=pl|EmoExpression::markable_6::Uncertain=false|EmoExpression::markable_6::Intensity=medium|EmoExpression::markable_6::EmoExpression=True|EmoExpression::markable_6::Polarity=positive pers=3|num=sg|tense=pres|mood=subj case=acc|*=True|num=pl _ _ case=nom|gender=masc|num=sg pers=3|num=sg|tense=pres|mood=ind _ case=acc|gender=masc|num=sg case=acc|EmoExpression::markable_7::EmoExpression=True|EmoExpression::markable_7::Uncertain=false|EmoExpression::markable_7::Intensity=medium|EmoExpression::markable_7::SubjectiveFact=false|gender=masc|EmoExpression::markable_7::Sarcasm=false|EmoExpression::markable_7::Polarity=positive|num=sg
319918922482728962	positive	RT @einsilbig: @Oklara komm her, wir machen löcher in den käse und brüten in den alpen wolken aus. dazu schokol ade winken wir allen :)	RT @einsilbig: @Oklara kommen her, wir machen löchern in die Käse und brüten in die <UNKNOWN> Wolke aus. dazu schokol ade winken wir alle :)	NE ADJA NN VVIMP NE PPER VVFIN VVIMP APPR ART NN KON VVFIN APPR ART ADJA NN VVFIN PAV ADJD ITJ VVFIN PPER PIAT NN	0/-- 1/UC 0/-- 7/CJ 4/UC 7/SB 0/-- 7/MO 7/MO 11/NK 9/NK 7/CD 12/CJ 18/MO 17/NK 17/NK 14/NK 13/OC 25/NK 22/MO 23/NK 25/CJ 22/SB 25/NK 18/OA	case=nom|*=True|num=sg case=nom|*=True|num=sg _ pers=2|num=sg|mood=imp pers=1|num=pl|tense=pres|mood=ind case=nom|*=True|num=pl|pers=1 pers=1|num=pl|tense=pres|mood=ind case=gen|gender=fem|num=pl|pos=True _ case=acc|gender=masc|num=sg case=acc|gender=masc|num=sg _ pers=3|num=pl|tense=pres|mood=ind _ case=dat|gender=fem|num=pl case=dat|gender=fem|num=pl|pos=True case=dat|gender=fem|num=pl pers=3|num=sg|tense=pres|mood=subj _ pos=True _ pers=1|num=pl|tense=pres|mood=ind case=nom|*=True|num=pl|pers=1 case=dat|gender=fem|num=pl case=acc|EmoExpression::markable_8::Intensity=medium|EmoExpression::markable_8::Polarity=positive|gender=fem|EmoExpression::markable_8::Uncertain=false|EmoExpression::markable_8::SubjectiveFact=false|num=sg|EmoExpression::markable_8::Sarcasm=false|EmoExpression::markable_8::EmoExpression=True
319476130514083840	positive	@uschramm1 @ChemieEmma aber sie können doch alles ausser Hochdeutsch!!!! :-)	@uschramm1 @ChemieEmma aber sie können doch alle außer Hochdeutsch!!!! :-)	CARD NN ADV PPER VMFIN ADV PIS APPR ADJA $(	0/-- 0/-- 4/MO 5/SB 0/-- 5/MO 9/OA 9/MO 5/OC 0/--	_ case=nom|gender=fem|num=sg _ case=nom|*=True|num=pl|pers=3 pers=3|num=pl|tense=pres|mood=ind _ case=acc|gender=neut|num=sg _ case=dat|gender=masc|num=pl|pos=True EmoExpression::markable_9::Uncertain=false|EmoExpression::markable_9::Polarity=positive|EmoExpression::markable_9::Sarcasm=false|EmoExpression::markable_9::Intensity=medium|EmoExpression::markable_9::SubjectiveFact=false|EmoExpression::markable_9::EmoExpression=True
329149707823747072	positive	@AsarFeride dann hab ich js das brste bekommen ;-)	@AsarFeride dann haben ich js die brste bekommen ;-)	NN ADV VAIMP PPER NE ART NN VVINF $(	0/-- 8/MO 5/NK 5/SB 8/DA 7/NK 8/OA 0/-- 8/--	case=nom|gender=fem|num=sg Sentiment::markable_100500274::Sentiment=True|Sentiment::markable_100500274::Polarity=positive|Sentiment::markable_100500274::Sarcasm=false|Sentiment::markable_100500274::Intensity=medium pers=1|Sentiment::markable_100500274::Sentiment=True|num=sg|tense=pres|mood=ind case=nom|pers=1|Source::markable_12::Anaphref=empty|num=sg|Sentiment::markable_100500274::Sentiment=True|*=True|Source::markable_12::Source=True pers=1|Sentiment::markable_100500274::Sentiment=True|num=sg|tense=past|mood=ind case=acc|Target::markable_11::Anaphref=empty|num=sg|Target::markable_11::Preferred=true|Target::markable_11::Target=True|gender=neut|Sentiment::markable_100500274::Sentiment=True case=acc|gender=neut|Sentiment::markable_100500274::Sentiment=True|num=sg|Target::markable_11::Target=True Sentiment::markable_100500274::Sentiment=True EmoExpression::markable_13::Intensity=medium|EmoExpression::markable_13::Polarity=positive|EmoExpression::markable_13::EmoExpression=True|EmoExpression::markable_13::Uncertain=false|Sentiment::markable_100500274::Sentiment=True|EmoExpression::markable_13::Sarcasm=false|EmoExpression::markable_13::SubjectiveFact=false
323822311650234369	mixed	spätestens jetzt komm ich aus der Nummer nicht mehr raus :-) http://t.co/DVAwJHLVHD	spätestens jetzt kommen ich aus die Nummer nicht mehr raus :-) http://t.co/DVAwJHLVHD	ADV ADV VVIMP PPER APPR ART NN PTKNEG ADV ADV $( NN	2/MO 3/MO 0/-- 12/SB 4/MNR 7/NK 5/NK 10/NG 8/MO 12/NK 10/-- 3/OA	_ _ EmoExpression::markable_104012280::Intensity=medium|mood=ind|EmoExpression::markable_104012280::SubjectiveFact=false|EmoExpression::markable_104012280::Sarcasm=false|pers=1|num=sg|tense=past|EmoExpression::markable_104012280::Polarity=negative|EmoExpression::markable_104012280::EmoExpression=True|EmoExpression::markable_104012280::Uncertain=false case=nom|*=True|num=sg|EmoExpression::markable_104012280::EmoExpression=True|pers=1 EmoExpression::markable_104012280::EmoExpression=True case=dat|gender=fem|num=sg|EmoExpression::markable_104012280::EmoExpression=True case=dat|gender=fem|num=sg|EmoExpression::markable_104012280::EmoExpression=True EmoExpression::markable_104012280::EmoExpression=True EmoExpression::markable_104012280::EmoExpression=True EmoExpression::markable_104012280::EmoExpression=True EmoExpression::markable_14::Polarity=positive|EmoExpression::markable_14::Sarcasm=false|EmoExpression::markable_14::SubjectiveFact=false|EmoExpression::markable_14::Uncertain=false|EmoExpression::markable_14::Intensity=medium|EmoExpression::markable_14::EmoExpression=True _
322959630252793856	positive	@UlrichKelber Visum schon gestellt für die Einreise nach Bayern :-)	@UlrichKelber Visum schon stellen für die Einreise nach Bayern :-)	ADJA NN ADV VVPP APPR ART NN APPR NE $(	0/-- 0/-- 4/MO 2/MNR 4/MO 7/NK 5/NK 7/MNR 8/NK 9/--	_ case=nom|Sentiment::markable_15::Intensity=medium|Sentiment::markable_15::Sarcasm=false|Target::markable_17::Target=True|Target::markable_17::Preferred=true|gender=masc|Target::markable_17::Anaphref=empty|num=sg|Sentiment::markable_15::Polarity=positive|Sentiment::markable_15::Sentiment=True Sentiment::markable_15::Sentiment=True|Target::markable_17::Target=True Sentiment::markable_15::Sentiment=True|Target::markable_17::Target=True Sentiment::markable_15::Sentiment=True|Target::markable_17::Target=True case=acc|gender=fem|num=sg|Target::markable_17::Target=True|Sentiment::markable_15::Sentiment=True case=acc|gender=fem|num=sg|Target::markable_17::Target=True|Sentiment::markable_15::Sentiment=True Sentiment::markable_15::Sentiment=True|Target::markable_17::Target=True case=dat|gender=neut|num=sg|Target::markable_17::Target=True|Sentiment::markable_15::Sentiment=True EmoExpression::markable_16::Polarity=positive|EmoExpression::markable_16::Sarcasm=false|EmoExpression::markable_16::EmoExpression=True|Sentiment::markable_15::Sentiment=True|EmoExpression::markable_16::Uncertain=false|EmoExpression::markable_16::Intensity=medium|EmoExpression::markable_16::SubjectiveFact=false
