334042502166347776	positive	Obama's "red line" und #Syrien - Ein Kommentar von John Stewart - https://t.co/9GpMvlwTsf :-)	Obama's "red line" und #Syrien - eine Kommentar von John Stewart - https://t.co/9GpMvlwTsf :-)	NN NE ADJD KON ADJD $( ART NN APPR NE NE $( NE $(	2/PNC 0/-- 2/PD 3/CD 4/CJ 7/-- 8/NK 0/-- 8/PG 11/PNC 9/NK 11/-- 11/PAR 13/--	*=True case=nom|*=True|num=sg pos=True _ pos=True _ case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg _ case=nom|gender=masc|num=sg case=dat|gender=masc|num=sg _ case=nom|gender=masc|num=sg case=dat|EmoExpression::markable_100500155::EmoExpression=True|gender=masc|EmoExpression::markable_100500155::Polarity=positive|EmoExpression::markable_100500155::Sarcasm=false|num=sg|EmoExpression::markable_100500155::SubjectiveFact=false|EmoExpression::markable_100500155::Uncertain=false|EmoExpression::markable_100500155::Intensity=medium
326066640712253440	positive	Bald kommt raus: Hoeness hat das Geld dort nur für Peer Steinbrück verwaltet. ;-) #jauch	bald kommen raus: Hoeness haben die Geld dort nur für Peer Steinbrück verwaltet. ;-) #jauch	ADV VVFIN ADJA NN VAFIN ART NN ADV ADV APPR NE NN NE $( NN	2/MO 0/-- 4/NK 2/SB 2/CJ 7/NK 5/SB 5/MO 10/MO 5/MO 10/NK 5/OA 12/NK 15/-- 0/--	_ pers=3|num=sg|tense=pres|mood=ind case=nom|gender=fem|num=sg|pers=3 case=acc|gender=neut|num=sg pers=3|num=sg|tense=pres|mood=ind case=nom|gender=neut|num=sg case=nom|gender=neut|num=sg _ _ _ case=acc|gender=neut|num=sg case=acc|gender=neut|num=sg case=nom|*=True|num=sg EmoExpression::markable_1::SubjectiveFact=false|EmoExpression::markable_1::EmoExpression=True|EmoExpression::markable_1::Uncertain=false|EmoExpression::markable_1::Polarity=positive|EmoExpression::markable_1::Sarcasm=false|EmoExpression::markable_1::Intensity=medium case=nom|gender=masc|num=sg
337322700542443521	negative	! @borderline44 #LiNKE -u Menschen w @PolitikcalCats prostituiere s für #Merkel&amp;Co weil s EINF NITs CHECKEN! ZU GEHIRNGEWASCH in KINDHEIT :-(	! @borderline44 #LiNKE -u Mensch w @PolitikcalCats prostituieren s für #Merkel&amp;Co weil s EINF NITs CHECKEN! zu GEHIRNGEWASCH in Kindheit :-(	$. CARD NN NE NN ADJA NN VVFIN NN APPR NN KOUS NN NE NE NE APPR NN APPR NN $(	0/-- 0/-- 6/SB 5/PNC 3/NK 0/-- 6/OA 0/-- 8/SB 9/MNR 10/NK 16/CP 16/PNC 16/PNC 16/PNC 8/MO 0/-- 17/NK 18/MNR 19/NK 20/--	_ _ case=nom|gender=fem|num=sg case=nom|gender=fem|num=sg case=nom|gender=masc|num=pl _ case=gen|gender=neut|num=sg EmoExpression::markable_2::Uncertain=false|mood=subj|EmoExpression::markable_2::SubjectiveFact=false|EmoExpression::markable_2::Polarity=negative|pers=3|EmoExpression::markable_2::Intensity=medium|num=sg|tense=pres|EmoExpression::markable_2::Sarcasm=false|EmoExpression::markable_2::EmoExpression=True case=nom|gender=neut|num=sg|pers=3 _ case=acc|gender=neut|num=sg _ case=nom|gender=neut|num=sg|pers=3 *=True *=True *=True _ case=dat|gender=neut|num=sg _ case=dat|gender=neut|num=sg _
338075896986619904	positive	Noch 19 stunden und 09 Minuten! Fällt mir gerade so auf :O gruslig.... #ucl #finale #wembley #schwarzGelb gegen #schwarzGeld :P :)) *-*	noch 19 stunden und @card@ Minuten! fallen|fällen ich gerade so auf :O gruslig.... #ucl #finale #wembley #schwarzGelb gegen #schwarzGeld :P :)) *-*	ADV CARD VVINF KON CARD NN VVFIN PPER ADV ADV APPR NE ADJA NN NN NE NN APPR NN NN ADJA XY	2/MO 3/MO 0/-- 3/CD 6/NK 4/CJ 0/-- 7/DA 7/MO 7/MO 7/MO 11/NK 12/UC 21/MO 16/PNC 17/NK 14/NK 17/MNR 18/NK 19/NK 0/-- 0/--	Sentiment::markable_3::Sentiment=True|EmoExpression::markable_6::SubjectiveFact=false|EmoExpression::markable_6::Sarcasm=false|Sentiment::markable_3::Sarcasm=false|EmoExpression::markable_6::Uncertain=false|Sentiment::markable_3::Polarity=positive|EmoExpression::markable_6::Intensity=medium|EmoExpression::markable_6::EmoExpression=True|EmoExpression::markable_6::Polarity=positive|Sentiment::markable_3::Intensity=strong Sentiment::markable_3::Sentiment=True|EmoExpression::markable_6::EmoExpression=True Sentiment::markable_3::Sentiment=True|EmoExpression::markable_6::EmoExpression=True Sentiment::markable_3::Sentiment=True|EmoExpression::markable_6::EmoExpression=True Sentiment::markable_3::Sentiment=True|EmoExpression::markable_6::EmoExpression=True case=dat|pers=1|num=sg|Sentiment::markable_3::Sentiment=True|EmoExpression::markable_6::EmoExpression=True|*=True pers=3|Sentiment::markable_3::Sentiment=True|num=sg|tense=pres|mood=ind case=dat|*=True|Sentiment::markable_3::Sentiment=True|num=sg|pers=1 Sentiment::markable_3::Sentiment=True Sentiment::markable_3::Sentiment=True Sentiment::markable_3::Sentiment=True EmoExpression::markable_5::Intensity=medium|EmoExpression::markable_5::SubjectiveFact=false|EmoExpression::markable_5::Sarcasm=false|Sentiment::markable_3::Sentiment=True|EmoExpression::markable_5::EmoExpression=True|EmoExpression::markable_5::Uncertain=false|EmoExpression::markable_5::Polarity=positive case=dat|gender=neut|Sentiment::markable_3::Sentiment=True|num=pl|comp=True Target::markable_4::Preferred=true|Target::markable_4::Target=True|Target::markable_4::Anaphref=empty|Sentiment::markable_3::Sentiment=True case=nom|*=True|num=pl|Target::markable_4::Target=True|Sentiment::markable_3::Sentiment=True case=nom|*=True|num=pl|Sentiment::markable_3::Sentiment=True case=nom|*=True|num=pl|Sentiment::markable_3::Sentiment=True Sentiment::markable_3::Sentiment=True case=acc|gender=masc|EmoExpression::markable_100500214::SubjectiveFact=true|EmoExpression::markable_100500214::Sarcasm=false|num=sg|EmoExpression::markable_100500214::Polarity=negative|Sentiment::markable_3::Sentiment=True|EmoExpression::markable_100500214::Uncertain=true|EmoExpression::markable_100500214::Intensity=medium|EmoExpression::markable_100500214::EmoExpression=True case=acc|EmoExpression::markable_8::Intensity=medium|EmoExpression::markable_8::Polarity=positive|gender=masc|EmoExpression::markable_8::Uncertain=false|EmoExpression::markable_8::SubjectiveFact=false|num=sg|EmoExpression::markable_8::Sarcasm=false|EmoExpression::markable_8::EmoExpression=True|Sentiment::markable_3::Sentiment=True case=acc|EmoExpression::markable_7::EmoExpression=True|EmoExpression::markable_7::Uncertain=false|EmoExpression::markable_7::Intensity=medium|EmoExpression::markable_7::SubjectiveFact=false|gender=masc|EmoExpression::markable_7::Sarcasm=false|pos=True|EmoExpression::markable_7::Polarity=positive|num=sg|Sentiment::markable_3::Sentiment=True case=acc|EmoExpression::markable_9::Uncertain=false|EmoExpression::markable_9::Polarity=positive|EmoExpression::markable_9::Sarcasm=false|gender=masc|EmoExpression::markable_9::SubjectiveFact=false|num=sg|EmoExpression::markable_9::Intensity=medium|Sentiment::markable_3::Sentiment=True|EmoExpression::markable_9::EmoExpression=True
322812531347431425	positive	@cologne360 finde ich auch :) eine, ich wohn ja in österreich und in meinem Bundesland gibt es noch keine Regelung, wenigstens was!	@cologne360 finden ich auch :) eine, ich wohnen ja in österreich und in mein Bundesland geben es noch keine Regelung, wenigstens was!	NN VVFIN PPER ADV ADJD VVFIN PPER VVIMP ADV APPR ADJD KON APPR PPOSAT NN VVFIN PPER ADV PIAT NN ADV ADJA	0/-- 6/MO 2/SB 5/MO 2/MO 0/-- 6/SB 6/OC 6/MO 6/MO 10/NK 6/CD 16/MO 15/NK 13/NK 12/CJ 16/EP 20/MO 20/NK 16/OA 22/MO 16/MO	_ pers=1|num=sg|tense=pres|mood=ind case=nom|*=True|num=sg|pers=1 _ EmoExpression::markable_10::Uncertain=false|EmoExpression::markable_10::Polarity=positive|EmoExpression::markable_10::Sarcasm=false|EmoExpression::markable_10::Intensity=medium|EmoExpression::markable_10::EmoExpression=True|pos=True|EmoExpression::markable_10::SubjectiveFact=false pers=1|num=sg|tense=pres|mood=ind case=nom|*=True|num=sg|pers=1 pers=1|num=sg|tense=pres|mood=ind _ _ pos=True _ _ case=dat|gender=neut|num=sg case=dat|gender=neut|num=sg pers=3|num=sg|tense=pres|mood=ind case=nom|gender=neut|num=sg|pers=3 _ case=acc|gender=fem|num=sg case=acc|gender=fem|num=sg _ gender=masc|*=True
318149933045780480	negative	Ich warte nur noch darauf, dass sich irgendein FDP-Hansel über Intransparenz im Piratenvorstand mokiert. :-(	ich warten nur noch darauf, dass sich irgendeine FDP-Hansel über Intransparenz in Piratenvorstand mokiert. :-(	PPER VVFIN ADV ADV VVFIN KOUS PRF PIAT NE APPR NN APPRART NN NE $(	2/SB 0/-- 5/MO 3/MO 2/OC 9/CP 9/OA 9/NK 5/SB 5/MO 10/NK 11/MNR 12/NK 13/NK 0/--	case=nom|Source::markable_100500157::Source=True|Sentiment::markable_100500156::Polarity=negative|Sentiment::markable_100500156::Intensity=weak|Sentiment::markable_100500156::Sarcasm=true|*=True|Sentiment::markable_100500156::Sentiment=True|pers=1|num=sg|Source::markable_100500157::Anaphref=empty mood=ind|EmoExpression::markable_100500158::Polarity=positive|EmoExpression::markable_100500158::SubjectiveFact=false|Sentiment::markable_100500156::Sentiment=True|pers=1|num=sg|tense=pres|EmoExpression::markable_100500158::Uncertain=false|EmoExpression::markable_100500158::Intensity=medium|EmoExpression::markable_100500158::EmoExpression=True|EmoExpression::markable_100500158::Sarcasm=false Sentiment::markable_100500156::Sentiment=True Sentiment::markable_100500156::Sentiment=True pers=3|num=sg|tense=past|mood=ind|Sentiment::markable_100500156::Sentiment=True Sentiment::markable_100500156::Sentiment=True case=acc|pers=3|Target::markable_100500160::Preferred=true|num=sg|Target::markable_100500160::Anaphref=empty|Target::markable_100500160::Target=True|Sentiment::markable_100500156::Sentiment=True case=nom|gender=neut|num=sg|Sentiment::markable_100500156::Sentiment=True|Target::markable_100500160::Target=True case=nom|gender=neut|num=sg|Sentiment::markable_100500156::Sentiment=True|Target::markable_100500160::Target=True Target::markable_100500160::Target=True|Sentiment::markable_100500156::Sentiment=True case=acc|gender=fem|num=sg|Sentiment::markable_100500156::Sentiment=True|Target::markable_100500160::Target=True case=dat|gender=neut|num=sg|Sentiment::markable_100500156::Sentiment=True|Target::markable_100500160::Target=True case=dat|gender=masc|num=sg|Sentiment::markable_100500156::Sentiment=True|Target::markable_100500160::Target=True case=nom|*=True|num=sg|Sentiment::markable_100500156::Sentiment=True EmoExpression::markable_14::Polarity=negative|EmoExpression::markable_14::Sarcasm=false|EmoExpression::markable_14::SubjectiveFact=false|EmoExpression::markable_14::Uncertain=false|EmoExpression::markable_14::Intensity=medium|EmoExpression::markable_14::EmoExpression=True|Sentiment::markable_100500156::Sentiment=True
337296397739110400	negative	#Merkel hat Deutschland ausgedient, werft sie auf die Müllhalde der Geschichte! :(	#Merkel haben Deutschland ausgedient, werfen sie auf die Müllhalde die Geschichte! :(	NN VAFIN NE NE VVFIN PPER APPR ART NN ART NN ADJA	2/SB 0/-- 2/SB 5/OA 2/OC 5/SB 5/MO 9/NK 7/NK 11/NK 9/AG 0/--	case=nom|Sentiment::markable_15::Intensity=medium|Sentiment::markable_15::Sarcasm=false|Target::markable_17::Target=True|Target::markable_17::Preferred=true|*=True|num=sg|Sentiment::markable_15::Polarity=negative|Sentiment::markable_15::Sentiment=True|Target::markable_17::Anaphref=empty pers=3|Sentiment::markable_15::Sentiment=True|num=sg|tense=pres|mood=ind case=acc|gender=neut|num=sg|Sentiment::markable_15::Sentiment=True case=acc|gender=neut|num=sg|Sentiment::markable_15::Sentiment=True pers=3|Sentiment::markable_15::Sentiment=True|num=sg|tense=pres|mood=ind case=nom|gender=fem|Sentiment::markable_15::Sentiment=True|num=sg|pers=3 Sentiment::markable_15::Sentiment=True case=acc|gender=fem|num=sg|Sentiment::markable_15::Sentiment=True case=acc|gender=fem|num=sg|Sentiment::markable_15::Sentiment=True case=gen|gender=fem|num=sg|Sentiment::markable_15::Sentiment=True case=gen|gender=fem|num=sg|Sentiment::markable_15::Sentiment=True EmoExpression::markable_20::EmoExpression=True|EmoExpression::markable_20::Uncertain=false|EmoExpression::markable_20::Intensity=medium|Sentiment::markable_15::Sentiment=True|EmoExpression::markable_20::Sarcasm=false|EmoExpression::markable_20::SubjectiveFact=false|EmoExpression::markable_20::Polarity=negative
333380753553489920	positive	RT @PASports45: Frage: Warum gibt es von Angela Merkel keine Briefmarke? Antwort: Weil sie keiner lecken will ;-)	RT @PASports45: Frage: warum geben es von Angela Merkel keine Briefmarke? Antwort: weil sie keine lecken wollen ;-)	NE ADJA NN PWAV VVFIN PPER APPR NE NE PIAT NN NN KOUS PPER PIS VVINF VMFIN $(	0/-- 1/UC 5/OA2 5/MO 0/-- 5/EP 5/MO 9/PNC 7/NK 11/NK 5/OA 0/-- 17/CP 17/SB 16/OA 17/OC 12/OC 17/--	case=nom|*=True|num=sg case=nom|*=True|num=sg case=nom|gender=masc|num=sg _ pers=3|num=sg|tense=pres|mood=ind case=nom|gender=neut|num=sg|pers=3 _ case=dat|num=sg|Target::markable_24::Target=True|gender=neut|Target::markable_24::Preferred=true|Target::markable_24::Anaphref=empty case=dat|gender=neut|num=sg|Target::markable_24::Target=True case=nom|gender=fem|num=sg case=nom|gender=fem|num=sg case=nom|gender=fem|num=sg _ case=nom|*=True|num=pl|pers=3 case=gen|gender=fem|num=pl|pos=True _ pers=3|num=sg|tense=pres|mood=ind EmoExpression::markable_27::EmoExpression=True|EmoExpression::markable_27::Uncertain=false|EmoExpression::markable_27::Intensity=medium|EmoExpression::markable_27::SubjectiveFact=false|EmoExpression::markable_27::Polarity=positive|EmoExpression::markable_27::Sarcasm=false
337653831502528512	positive	Lassalle forderte schon einen Mindestlohn. Nach der letzten SPD-Regierung fordert man das immer noch ;-) #150JahreSPD	Lassalle fordern schon eine Mindestlohn. nach die letzt SPD-Regierung fordern man die immer noch ;-) #150JahreSPD	NN VVFIN ADV ART NE APPR ART ADJA NN VVFIN PIS PDS ADV ADV $( ADJD	2/SB 0/-- 2/MO 5/NK 2/OA 10/MO 9/NK 9/NK 6/NK 0/-- 10/SB 10/OA 14/MO 10/MO 14/-- 10/MO	case=nom|*=True|num=sg pers=3|num=sg|tense=past|mood=ind _ case=acc|gender=masc|num=sg case=acc|gender=masc|num=sg _ case=dat|gender=fem|num=sg case=dat|gender=fem|num=sg|pos=True case=dat|gender=fem|num=sg pers=3|num=sg|tense=pres|mood=ind case=nom|*=True|num=sg case=acc|gender=neut|num=sg _ _ EmoExpression::markable_28::Intensity=medium|EmoExpression::markable_28::Sarcasm=false|EmoExpression::markable_28::SubjectiveFact=false|EmoExpression::markable_28::Polarity=positive|EmoExpression::markable_28::EmoExpression=True|EmoExpression::markable_28::Uncertain=false pos=True
335179975982465024	positive	@Senfberg @piejae welcher Wahl? Nach deer Wahl ist vor der Wahl :)	@Senfberg @piejae welche Wahl? nach deer Wahl sein vor die Wahl :)	NN NN PIS NN APPR ADJA NN VAFIN APPR ART NN ADJA	0/-- 0/-- 4/NK 0/-- 8/MO 7/NK 5/NK 0/-- 12/MO 11/NK 9/NK 8/SB	case=nom|gender=neut|num=sg case=nom|gender=fem|num=sg case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg _ case=dat|gender=fem|num=sg|pos=True case=dat|gender=fem|num=sg pers=3|num=sg|tense=pres|mood=ind _ case=dat|gender=fem|num=sg case=dat|gender=fem|num=sg case=gen|EmoExpression::markable_29::Intensity=medium|gender=masc|pos=True|EmoExpression::markable_29::EmoExpression=True|EmoExpression::markable_29::Uncertain=false|num=pl|EmoExpression::markable_29::Polarity=positive|EmoExpression::markable_29::Sarcasm=false|EmoExpression::markable_29::SubjectiveFact=false
333088461160587264	positive	RT @boomel: Wochenende, endlich früher aufstehen und noch mehr Zeit in die #piratenpartei stecken :) #ichbinmotiviert #frapira #bpt131	RT @boomel: Wochenende, endlich früh aufstehen und noch mehr Zeit in die #piratenpartei stecken :) #ichbinmotiviert #frapira #bpt131	NE NN NE ADV ADJD VVINF KON ADV PIAT NN APPR ART NN VVFIN ADJA NN NE CARD	2/AG 0/-- 6/OA 6/MO 6/MO 0/-- 6/CD 9/MO 10/NK 14/OA 10/MNR 13/NK 11/NK 7/CJ 16/NK 14/SB 16/NK 14/OA	case=nom|gender=neut|num=sg case=nom|Target::markable_31::Target=True|Target::markable_31::Preferred=true|Sentiment::markable_30::Sarcasm=false|gender=neut|Target::markable_31::Anaphref=empty|Sentiment::markable_30::Intensity=medium|num=sg|Sentiment::markable_30::Sentiment=True|Sentiment::markable_30::Polarity=positive case=nom|gender=neut|num=sg|Sentiment::markable_30::Sentiment=True EmoExpression::markable_100500164::Uncertain=false|EmoExpression::markable_100500164::Polarity=positive|EmoExpression::markable_100500164::Sarcasm=false|EmoExpression::markable_100500164::Intensity=medium|Sentiment::markable_30::Sentiment=True|EmoExpression::markable_100500164::SubjectiveFact=false|EmoExpression::markable_100500164::EmoExpression=True comp=True|Sentiment::markable_30::Sentiment=True Sentiment::markable_30::Sentiment=True Sentiment::markable_30::Sentiment=True Sentiment::markable_30::Sentiment=True *=True|Sentiment::markable_30::Sentiment=True case=acc|gender=fem|num=sg|Sentiment::markable_30::Sentiment=True Sentiment::markable_30::Sentiment=True case=acc|gender=fem|num=sg|Sentiment::markable_30::Sentiment=True case=acc|gender=fem|num=sg|Sentiment::markable_30::Sentiment=True Sentiment::markable_30::Sentiment=True case=acc|Sentiment::markable_30::Sentiment=True|EmoExpression::markable_32::Polarity=positive|gender=fem|pos=True|EmoExpression::markable_32::EmoExpression=True|EmoExpression::markable_32::Intensity=medium|num=sg|EmoExpression::markable_32::Sarcasm=false|EmoExpression::markable_32::SubjectiveFact=false|EmoExpression::markable_32::Uncertain=false case=acc|gender=fem|num=sg case=nom|gender=neut|num=sg _
