383645778335789056	positive	@wom_75 @ProSieben Geil!!! Ist so die Geile Serie!! :)	@wom_75 @ProSieben Geil!!! sein so die geil Serie!! :)	CARD ADJA NN VAFIN ADV ART ADJA NN ADJA	0/-- 0/-- 0/-- 0/-- 4/MO 8/NK 8/NK 4/PD 0/--	_ _ case=nom|gender=masc|num=sg|Sentiment::markable_1::Sentiment=True pers=3|num=sg|tense=pres|mood=ind|Sentiment::markable_1::Sentiment=True Sentiment::markable_1::Sentiment=True case=nom|Target::markable_4::Preferred=true|num=sg|Target::markable_4::Anaphref=empty|gender=fem|Target::markable_4::Target=True|Sentiment::markable_1::Sentiment=True case=nom|EmoExpression::markable_3::EmoExpression=True|gender=fem|Target::markable_4::Target=True|EmoExpression::markable_3::SubjectiveFact=false|pos=True|EmoExpression::markable_3::Sarcasm=false|Sentiment::markable_1::Sentiment=True|EmoExpression::markable_3::Intensity=strong|num=sg|EmoExpression::markable_3::Polarity=positive|EmoExpression::markable_3::Uncertain=false case=nom|gender=fem|num=sg|Sentiment::markable_1::Sentiment=True EmoExpression::markable_5::Intensity=medium|EmoExpression::markable_5::Sarcasm=false|EmoExpression::markable_5::SubjectiveFact=false|EmoExpression::markable_5::EmoExpression=True|EmoExpression::markable_5::Polarity=positive|EmoExpression::markable_5::Uncertain=false|Sentiment::markable_1::Sentiment=True
383282621079621632	positive	Jetzt: #Piraten Treff Bad #Vilbel @ Gaststätte Niddafeld - nach der Wahl ist vor der Wahl ;-)	Jetzt: #Piraten Treff Bad #Vilbel @ Gaststätte Niddafeld - nach die Wahl sein vor die Wahl ;-)	ADJA NN NN NE NN XY NN NN $( APPR ART NN VAFIN APPR ART NN $(	2/NK 13/CJ 2/NK 5/PNC 13/SB 7/NK 5/MNR 7/NK 8/-- 5/MNR 12/NK 10/NK 0/-- 13/MO 16/NK 14/NK 16/--	_ case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg gender=neut|*=True case=acc|gender=neut|num=sg case=acc|gender=neut|num=sg case=nom|gender=fem|num=sg case=nom|gender=fem|num=sg _ _ case=dat|gender=fem|num=sg case=dat|gender=fem|num=sg pers=3|num=sg|tense=pres|mood=ind _ case=dat|gender=fem|num=sg case=dat|gender=fem|num=sg EmoExpression::markable_6::Sarcasm=false|EmoExpression::markable_6::Uncertain=false|EmoExpression::markable_6::Intensity=medium|EmoExpression::markable_6::SubjectiveFact=false|EmoExpression::markable_6::Polarity=positive|EmoExpression::markable_6::EmoExpression=True
374087727769468928	positive	@ZDF Mögt ihr heute Abend nicht vielleicht doch auch schon um 20:15 mit der Vorberichterstattung anfangen? Kinners, die Quoten! :) (cc @DWDL )	@ZDF mögen ihr heute abend nicht vielleicht doch auch schon um @card@ mit die Vorberichterstattung anfangen? Kinners, die Quoten! :) (cc @DWDL )	NN VMFIN PPER ADV ADV PTKNEG ADV ADV ADV ADV APPR CARD APPR ART NN VVFIN NE ART NN ADJA NN NN $(	0/-- 0/-- 2/SB 2/MO 2/MO 2/NG 2/MO 2/MO 16/MO 11/MO 16/MO 11/NK 16/MO 15/NK 13/NK 2/MO 19/SB 19/NK 0/-- 21/NK 0/-- 21/NK 0/--	case=nom|gender=fem|num=sg pers=3|num=sg|tense=pres|mood=ind case=nom|gender=neut|num=sg _ case=acc|gender=masc|num=sg _ _ _ _ _ _ _ _ case=dat|gender=fem|num=sg case=dat|gender=fem|num=sg pers=3|num=sg|tense=past|mood=ind case=nom|*=True|num=sg case=acc|gender=fem|num=sg case=acc|gender=fem|num=sg EmoExpression::markable_7::EmoExpression=True|EmoExpression::markable_7::Uncertain=false|EmoExpression::markable_7::Intensity=medium|EmoExpression::markable_7::SubjectiveFact=false|EmoExpression::markable_7::Sarcasm=false|EmoExpression::markable_7::Polarity=positive case=nom|gender=neut|num=sg case=nom|gender=neut|num=sg _
367551541411999744	positive	RT @TobiasHuch: Das beste Wahlplakat bisher: "Religion privatisieren!" von den #Piraten. Dennoch habe ich natürlich #FDP gewählt ;-)	RT @TobiasHuch: die gut Wahlplakat bisher: "Religion privatisieren!" von die #Piraten. dennoch haben ich natürlich #FDP wählen ;-)	NE NN ART ADJA NN ADJA NN VVFIN APPR ART NN ADV VAFIN PPER ADV NN VVPP $(	2/AG 0/-- 7/NK 5/NK 6/MO 7/NK 8/SB 0/-- 0/-- 11/NK 9/NK 17/MO 0/-- 13/SB 17/MO 17/OA 13/OC 17/--	case=nom|num=sg|Sentiment::markable_8::Intensity=strong|gender=neut|Sentiment::markable_8::Sentiment=True|Sentiment::markable_8::Polarity=positive|Sentiment::markable_8::Sarcasm=false case=nom|gender=neut|num=sg|Sentiment::markable_8::Sentiment=True case=nom|Target::markable_10::Anaphref=empty|num=sg|Target::markable_10::Preferred=true|gender=neut|Target::markable_10::Target=True|Sentiment::markable_8::Sentiment=True case=nom|EmoExpression::markable_11::Sarcasm=false|EmoExpression::markable_11::SubjectiveFact=false|gender=neut|Target::markable_10::Target=True|Sentiment::markable_8::Sentiment=True|EmoExpression::markable_11::EmoExpression=True|EmoExpression::markable_11::Intensity=strong|num=sg|EmoExpression::markable_11::Polarity=positive|sup=True|EmoExpression::markable_11::Uncertain=false case=nom|gender=neut|num=sg|Target::markable_10::Target=True|Sentiment::markable_8::Sentiment=True case=nom|num=sg|gender=neut|Target::markable_10::Target=True|pos=True|Sentiment::markable_8::Sentiment=True case=nom|gender=neut|num=sg|Target::markable_10::Target=True|Sentiment::markable_8::Sentiment=True pers=3|num=sg|tense=pres|mood=subj|Sentiment::markable_8::Sentiment=True|Target::markable_10::Target=True Sentiment::markable_8::Sentiment=True case=dat|*=True|num=pl|Sentiment::markable_8::Sentiment=True case=dat|*=True|num=pl|Sentiment::markable_8::Sentiment=True Sentiment::markable_12::Sentiment=True|Sentiment::markable_12::Polarity=positive|Sentiment::markable_12::Sarcasm=false|Sentiment::markable_12::Intensity=medium pers=1|Sentiment::markable_12::Sentiment=True|num=sg|tense=pres|mood=ind case=nom|pers=1|num=sg|Sentiment::markable_12::Sentiment=True|Source::markable_14::Anaphref=markable_9|*=True|Source::markable_14::Source=True Sentiment::markable_12::Sentiment=True Sentiment::markable_12::Sentiment=True|mood=ind|Target::markable_13::Anaphref=empty|Target::markable_13::Preferred=true|Target::markable_13::Target=True|pers=1|num=sg|tense=pres Sentiment::markable_12::Sentiment=True|EmoExpression::markable_104013216::SubjectiveFact=true|EmoExpression::markable_104013216::Polarity=positive|EmoExpression::markable_104013216::Sarcasm=false|EmoExpression::markable_104013216::Uncertain=false|EmoExpression::markable_104013216::EmoExpression=True|EmoExpression::markable_104013216::Intensity=medium Sentiment::markable_12::Sentiment=True
346658082027352064	positive	RT @PiratenKS: Der #PIRATEN Infistand auf dem #Hessentag steht an Drahtbrücke, komm vorbei, wir haben Säbel :-) http://t.co/bDLQbhp5O9	RT @PiratenKS: die #PIRATEN Infistand auf die #Hessentag stehen an Drahtbrücke, kommen vorbei, wir haben Säbel :-) http://t.co/bDLQbhp5O9	NE NN ART NN NN APPR ART NN VVFIN APPR NN VVIMP NE PPER VAFIN NN $( CARD	2/PNC 0/-- 4/NK 9/SB 4/NK 4/MNR 8/NK 6/NK 0/-- 9/MO 10/NK 9/CJ 12/UC 15/SB 9/CJ 15/OA 16/-- 16/NK	case=nom|*=True|num=sg case=nom|*=True|num=sg case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg _ case=dat|gender=masc|num=sg case=dat|gender=masc|num=sg pers=3|num=sg|tense=pres|mood=ind _ case=dat|gender=fem|num=sg pers=2|num=sg|mood=imp pers=1|num=pl|tense=past|mood=ind case=nom|*=True|num=pl|pers=1 pers=1|num=pl|tense=pres|mood=ind case=acc|gender=masc|num=sg case=acc|EmoExpression::markable_16::EmoExpression=True|gender=masc|EmoExpression::markable_16::Uncertain=false|EmoExpression::markable_16::Intensity=medium|EmoExpression::markable_16::Polarity=positive|num=sg|EmoExpression::markable_16::Sarcasm=false|EmoExpression::markable_16::SubjectiveFact=false _
358327579230470146	positive	@TimSchmuckall da waren definitiv mehr grüne und rote funken am himmel als schwarze! ;-)	@TimSchmuckall da sein definitiv mehr grün und rot funken an himmeln als schwarze! ;-)	NN ADV VAFIN ADJD PIAT ADJA KON ADJA VVFIN APPRART VVIMP KOKOM ADJA $(	0/-- 3/MO 0/-- 5/MO 3/SB 9/SB 6/CD 7/CJ 3/CJ 9/MO 10/NK 13/CM 5/CC 0/--	case=nom|gender=neut|num=sg _ pers=3|num=pl|tense=past|mood=ind pos=True _ case=nom|gender=masc|num=pl|pos=True _ case=nom|gender=fem|num=pl|pos=True pers=3|num=pl|tense=pres|mood=ind case=dat|gender=masc|num=sg case=dat|gender=masc|num=sg _ case=nom|gender=masc|num=pl|pos=True EmoExpression::markable_17::SubjectiveFact=false|EmoExpression::markable_17::Polarity=positive|EmoExpression::markable_17::EmoExpression=True|EmoExpression::markable_17::Sarcasm=false|EmoExpression::markable_17::Uncertain=false|EmoExpression::markable_17::Intensity=medium
353243620607918080	positive	@MrsSophieRight wollte fragen ob ich auch so ein süsses chibi Bild von dir bekommen kann :3 irgwas mit meiner grünen mütze(siehe mein pb) :)	@MrsSophieRight wollen fragen ob ich auch so eine süß chibi Bild von du bekommen können @card@ irgwas mit mein grün mütze(siehe mein pb) :)	NN VMFIN VVINF KOUS PPER ADV ADV ART ADJA NN NN APPR PRF VVINF VMFIN CARD ADV APPR PPOSAT ADJA VVFIN PPOSAT NN ADJA	0/-- 0/-- 2/OC 15/CP 15/SB 15/MO 10/MO 10/NK 10/NK 15/SB 14/OA 11/PG 12/NK 15/OC 3/OC 24/MO 24/MO 24/MO 23/NK 23/NK 7/RE 23/NK 18/NK 15/SB	_ pers=3|num=sg|tense=past|mood=ind _ _ case=nom|*=True|num=sg|pers=1 _ Intensifier::markable_21::EmoExpressionRef=emo-expression:markable_20|Target::markable_19::Target=True|Sentiment::markable_18::Intensity=medium|Intensifier::markable_21::Degree=medium|Intensifier::markable_21::Intensifier=True|Target::markable_19::Preferred=true|Sentiment::markable_18::Polarity=positive|Target::markable_19::Anaphref=empty|Sentiment::markable_18::Sarcasm=false|Sentiment::markable_18::Sentiment=True case=nom|gender=neut|num=sg|Sentiment::markable_18::Sentiment=True|Target::markable_19::Target=True case=nom|Target::markable_19::Target=True|EmoExpression::markable_20::Uncertain=false|gender=neut|EmoExpression::markable_20::Sarcasm=false|pos=True|EmoExpression::markable_20::EmoExpression=True|num=sg|EmoExpression::markable_20::Intensity=medium|EmoExpression::markable_20::SubjectiveFact=false|EmoExpression::markable_20::Polarity=positive|Sentiment::markable_18::Sentiment=True case=nom|gender=neut|num=sg|Sentiment::markable_18::Sentiment=True|Target::markable_19::Target=True case=nom|gender=neut|num=sg|Sentiment::markable_18::Sentiment=True|Target::markable_19::Target=True Target::markable_19::Target=True|Sentiment::markable_18::Sentiment=True Target::markable_19::Target=True|Sentiment::markable_18::Sentiment=True _ pers=3|num=sg|tense=pres|mood=ind EmoExpression::markable_23::EmoExpression=True gender=neut|*=True _ case=dat|gender=fem|num=sg case=dat|gender=fem|num=sg|pos=True pers=3|num=sg|tense=pres|mood=subj case=nom|gender=masc|num=sg case=gen|gender=fem|num=sg case=gen|EmoExpression::markable_22::Uncertain=false|EmoExpression::markable_22::Intensity=medium|EmoExpression::markable_22::Sarcasm=false|gender=fem|pos=True|EmoExpression::markable_22::EmoExpression=True|num=sg|EmoExpression::markable_22::SubjectiveFact=false|EmoExpression::markable_22::Polarity=positive
380743931522072576	positive	Der Gernot #Hassknecht war heute bei Volle Kanne im @ZDF . :) #heuteshow -> http://t.co/eVTZFblqoH	die Gernot #Hassknecht sein heute bei voll Kanne in @ZDF . :) #heuteshow -> http://t.co/eVTZFblqoH	ART NE NN VAFIN ADV APPR ADJA NN APPRART NN $. ADJA NN ADJA NN	3/NK 3/PNC 4/SB 0/-- 4/MO 4/MO 8/NK 6/NK 4/MO 9/NK 0/-- 13/NK 11/NK 15/NK 13/AG	case=nom|Target::markable_26::Anaphref=empty|gender=masc|Target::markable_26::Preferred=true|Sentiment::markable_25::Polarity=positive|num=sg|Sentiment::markable_25::Sarcasm=false|Sentiment::markable_25::Intensity=weak|Sentiment::markable_25::Sentiment=True|Target::markable_26::Target=True case=nom|gender=masc|Sentiment::markable_25::Sentiment=True|num=sg|Target::markable_26::Target=True case=nom|gender=masc|Sentiment::markable_25::Sentiment=True|num=sg|Target::markable_26::Target=True pers=3|num=sg|tense=past|mood=ind|Sentiment::markable_25::Sentiment=True|Target::markable_26::Target=True Sentiment::markable_25::Sentiment=True|Target::markable_26::Target=True Sentiment::markable_25::Sentiment=True|Target::markable_26::Target=True case=acc|num=pl|gender=masc|Sentiment::markable_25::Sentiment=True|Target::markable_26::Target=True|pos=True case=acc|gender=masc|Sentiment::markable_25::Sentiment=True|num=pl|Target::markable_26::Target=True case=dat|gender=neut|Sentiment::markable_25::Sentiment=True|num=sg|Target::markable_26::Target=True case=dat|gender=neut|Sentiment::markable_25::Sentiment=True|num=sg|Target::markable_26::Target=True Sentiment::markable_25::Sentiment=True EmoExpression::markable_27::EmoExpression=True|EmoExpression::markable_27::Uncertain=false|EmoExpression::markable_27::Intensity=medium|EmoExpression::markable_27::SubjectiveFact=false|EmoExpression::markable_27::Polarity=positive|EmoExpression::markable_27::Sarcasm=false|Sentiment::markable_25::Sentiment=True _ _ _
359747085475659776	positive	@RippedFlower Nein, aber die meisten Wähler werden wieder CDU wählen. Weil sie sich eben doch veräppeln lassen. ;-)	@RippedFlower Nein, aber die meist Wähler werden wieder CDU wählen. weil sie sich eben doch veräppeln lassen. ;-)	NN NE KON ART PIAT NN VAFIN ADV NE VVFIN KOUS PPER PRF ADV ADV ADJA NE $(	0/-- 7/SB 2/CD 6/NK 6/NK 3/CJ 0/-- 10/MO 10/DA 7/OC 16/CP 16/SB 16/OA 16/MO 16/MO 0/-- 16/OA 0/--	case=nom|gender=masc|num=sg case=nom|*=True|Sentiment::markable_32::Sentiment=True|num=sg Sentiment::markable_32::Sentiment=True case=nom|Target::markable_32::Target=True|Target::markable_32::Anaphref=empty|Target::markable_32::Preferred=true|gender=masc|Source::markable_28::Source=True|Source::markable_28::Anaphref=empty|Sentiment::markable_28::Polarity=positive|num=pl|Sentiment::markable_28::Intensity=medium|Sentiment::markable_32::Sentiment=True|Sentiment::markable_28::Sentiment=True|Sentiment::markable_28::Sarcasm=false case=nom|Target::markable_32::Target=True|num=pl|gender=masc|Sentiment::markable_32::Sentiment=True|Source::markable_28::Source=True|Sentiment::markable_28::Sentiment=True case=nom|Target::markable_32::Target=True|num=pl|gender=masc|Sentiment::markable_32::Sentiment=True|Source::markable_28::Source=True|Sentiment::markable_28::Sentiment=True pers=3|num=pl|tense=pres|mood=ind|Sentiment::markable_32::Sentiment=True|Sentiment::markable_28::Sentiment=True Sentiment::markable_32::Sentiment=True|Sentiment::markable_28::Sentiment=True case=nom|Target::markable_28::Anaphref=empty|gender=fem|num=sg|Target::markable_28::Preferred=true|Target::markable_28::Target=True|Sentiment::markable_32::Sentiment=True|Sentiment::markable_28::Sentiment=True pers=3|Sentiment::markable_32::Sentiment=True|num=sg|tense=past|mood=ind Sentiment::markable_32::Sentiment=True case=nom|Target::markable_35::Anaphref=markable_34|Target::markable_35::Preferred=true|*=True|Target::markable_35::Target=True|pers=3|num=pl|Sentiment::markable_32::Sentiment=True case=acc|pers=3|Sentiment::markable_32::Sentiment=True|num=pl Sentiment::markable_32::Sentiment=True Sentiment::markable_32::Sentiment=True EmoExpression::markable_36::EmoExpression=True|EmoExpression::markable_36::SubjectiveFact=false|EmoExpression::markable_36::Uncertain=false|Sentiment::markable_32::Sentiment=True|EmoExpression::markable_36::Polarity=negative|EmoExpression::markable_36::Sarcasm=false|EmoExpression::markable_36::Intensity=medium Sentiment::markable_32::Sentiment=True EmoExpression::markable_33::Sarcasm=false|EmoExpression::markable_33::Uncertain=false|EmoExpression::markable_33::Polarity=positive|Sentiment::markable_32::Sentiment=True|EmoExpression::markable_33::EmoExpression=True|EmoExpression::markable_33::Intensity=medium|EmoExpression::markable_33::SubjectiveFact=false
354859581706473472	positive	+1 RT @EinAugenschmaus: @habichthorn @annmeiritz @mspro Doch, ich kenne durchaus Rentner, die #Piraten wählen werden. Es gibt sie. :-)	+1 RT @EinAugenschmaus: @habichthorn @annmeiritz @mspro Doch, ich kennen durchaus Rentner, die #Piraten wählen werden. es geben sie. :-)	NN NE ADJA NN NE NN NE PPER VVFIN ADV NN ART NN VVFIN NE PPER VVFIN ADJA $(	3/SB 1/NK 0/-- 0/-- 0/-- 0/-- 9/SB 9/SB 0/-- 9/MO 9/OA 13/NK 14/OA 11/OC 14/OA 17/EP 0/-- 17/MO 0/--	case=nom|gender=fem|num=sg case=nom|gender=fem|num=sg case=nom|gender=fem|num=sg|pos=True _ case=nom|gender=masc|num=sg _ case=nom|*=True|num=sg case=nom|Sentiment::markable_38::Intensity=medium|*=True|Sentiment::markable_38::Sentiment=True|Sentiment::markable_38::Sarcasm=false|pers=1|num=sg|Sentiment::markable_38::Polarity=positive pers=1|Sentiment::markable_38::Sentiment=True|num=sg|tense=pres|mood=ind Sentiment::markable_38::Sentiment=True case=nom|gender=masc|num=pl|Sentiment::markable_38::Sentiment=True case=nom|num=pl|gender=masc|Source::markable_39::Source=True|Sentiment::markable_38::Sentiment=True|Source::markable_39::Anaphref=markable_40 case=nom|Target::markable_41::Anaphref=empty|num=pl|gender=masc|Target::markable_41::Preferred=true|Sentiment::markable_38::Sentiment=True|Target::markable_41::Target=True EmoExpression::markable_42::Sarcasm=false|EmoExpression::markable_42::Uncertain=false|EmoExpression::markable_42::Polarity=positive|Sentiment::markable_38::Sentiment=True|EmoExpression::markable_42::Intensity=medium|EmoExpression::markable_42::EmoExpression=True|EmoExpression::markable_42::SubjectiveFact=true _ case=nom|gender=neut|num=sg|pers=3 pers=3|num=sg|tense=pres|mood=ind _ EmoExpression::markable_37::EmoExpression=True|EmoExpression::markable_37::Uncertain=false|EmoExpression::markable_37::Intensity=medium|EmoExpression::markable_37::Sarcasm=false|EmoExpression::markable_37::SubjectiveFact=false|EmoExpression::markable_37::Polarity=positive
370177509897560064	mixed	Rofl :) "@vinzv: Ein Schelm, der Schlimmes bei diesem Namen denkt... http://t.co/ZjtAAo6IYR #piraten"	Rofl :) "@vinzv: eine Schelm, die Schlimme bei dies Name denkt... http://t.co/ZjtAAo6IYR #piraten"	NN ADJA NN ART NE ART NN APPR PDAT NN ADJA NN ADJD	0/-- 3/NK 1/NK 5/NK 11/DA 7/NK 5/APP 7/MNR 10/NK 8/NK 0/-- 0/-- 12/PD	case=nom|gender=neut|num=sg case=nom|EmoExpression::markable_43::Intensity=medium|gender=neut|EmoExpression::markable_43::SubjectiveFact=false|EmoExpression::markable_43::Uncertain=false|pos=True|num=sg|EmoExpression::markable_43::Polarity=positive|EmoExpression::markable_43::Sarcasm=false|EmoExpression::markable_43::EmoExpression=True case=nom|gender=neut|num=sg case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg case=nom|EmoExpression::markable_45::Intensity=medium|EmoExpression::markable_45::EmoExpression=True|gender=masc|EmoExpression::markable_45::Polarity=negative|EmoExpression::markable_45::Sarcasm=false|EmoExpression::markable_45::SubjectiveFact=false|num=sg|EmoExpression::markable_45::Uncertain=false _ case=dat|gender=masc|num=sg case=dat|gender=masc|num=sg case=dat|gender=masc|num=sg|comp=True case=nom|gender=fem|num=sg pos=True
