317379081333243904	negative	hihi. RT‏@GrumpyMerkel :-[ Offizielles Smiley der Bundeskanzlerin der Bundesrepublik Deutschland	hihi. RT‏@GrumpyMerkel :-[ Offizielle Smiley die Bundeskanzlerin die Bundesrepublik Deutschland	ADJA NN $( NN NE ART NN ART NN NE	0/-- 0/-- 4/-- 0/-- 4/NK 7/NK 4/DA 9/NK 7/AG 9/NK	_ case=nom|gender=masc|num=sg EmoExpression::markable_100500127::Sarcasm=false|EmoExpression::markable_100500127::Uncertain=false|EmoExpression::markable_100500127::Intensity=medium|EmoExpression::markable_100500127::SubjectiveFact=false|EmoExpression::markable_100500127::Polarity=negative|EmoExpression::markable_100500127::EmoExpression=True case=nom|gender=neut|num=sg case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg case=gen|gender=fem|num=sg case=gen|gender=fem|num=sg case=gen|gender=fem|num=sg case=nom|gender=neut|num=sg
332940778932428800	positive	Jetzt kommen gleich die berechtigten Forderungen von Abgeordneten nach einer smv --- aus Gründen... wg. der Basisbeteiligung %PosSmiley bpt131	jetzt kommen gleich die berechtigt Forderung von Abgeordnete nach eine smv --- aus Gründen... wg. die Basisbeteiligung %PosSmiley bpt131	ADV VVFIN APPR ART ADJA NN APPR NN APPR ART NE ADJD APPR NN APPR ART NN ITJ ADJA	2/MO 0/-- 2/MO 6/NK 6/NK 3/NK 6/PG 7/NK 6/MNR 11/NK 9/NK 2/MO 2/MO 13/NK 19/MO 17/NK 15/NK 17/NK 0/--	_ pers=3|num=pl|tense=pres|mood=ind _ case=acc|gender=fem|num=pl case=acc|gender=fem|EmoExpression::markable_100500196::Polarity=positive|pos=True|EmoExpression::markable_100500196::Sarcasm=false|num=pl|EmoExpression::markable_100500196::Uncertain=false|EmoExpression::markable_100500196::Intensity=medium|EmoExpression::markable_100500196::SubjectiveFact=false|EmoExpression::markable_100500196::EmoExpression=True case=acc|gender=fem|num=pl _ case=dat|*=True|num=pl _ case=dat|gender=fem|num=sg case=dat|gender=fem|num=sg _ _ case=dat|gender=fem|num=sg _ case=dat|gender=fem|num=sg case=dat|gender=fem|num=sg EmoExpression::markable_1::SubjectiveFact=false|EmoExpression::markable_1::EmoExpression=True|EmoExpression::markable_1::Uncertain=false|EmoExpression::markable_1::Polarity=positive|EmoExpression::markable_1::Sarcasm=false|EmoExpression::markable_1::Intensity=medium case=dat|gender=fem|num=sg|pos=True
338055510035165185	positive	Na endlich auf das Kreuz habe ich gewartet - schliesslich war heute ja Merkel bei Euch %PosSmiley	na endlich auf die Kreuz haben ich warten - schließlich sein heute ja Merkel bei ihr %PosSmiley	ITJ ADV APPR ART NN VAFIN PPER VVPP $( ADV VAFIN ADV ADV NE APPR PPER ITJ	2/DM 8/MO 8/OP 5/NK 3/NK 5/NK 6/SB 11/MO 8/-- 11/MO 0/-- 11/MO 11/MO 11/SB 11/MO 15/NK 16/NK	_ EmoExpression::markable_100500128::Uncertain=false|EmoExpression::markable_100500128::Polarity=positive|EmoExpression::markable_100500128::Sarcasm=false|EmoExpression::markable_100500128::Intensity=weak|EmoExpression::markable_100500128::SubjectiveFact=false|EmoExpression::markable_100500128::EmoExpression=True _ case=acc|gender=neut|num=sg case=acc|gender=neut|num=sg pers=1|num=sg|tense=pres|mood=ind case=nom|*=True|num=sg|pers=1 _ _ _ pers=3|num=sg|tense=past|mood=ind _ _ case=acc|*=True|num=sg _ case=dat|*=True|num=pl|pers=2 EmoExpression::markable_2::Uncertain=false|EmoExpression::markable_2::Intensity=medium|EmoExpression::markable_2::Sarcasm=false|EmoExpression::markable_2::SubjectiveFact=false|EmoExpression::markable_2::Polarity=positive|EmoExpression::markable_2::EmoExpression=True
333674320146608129	mixed	Ja ist eine Wette auf die Zukunft. Nur die Grünen stehen mir hierbei noch im Weg %PosSmiley	Ja sein eine Wette auf die Zukunft. nur die Grüne stehen ich hierbei noch in Weg %PosSmiley	NN VAFIN ART NN APPR ART NN ADV ART NN VVFIN PPER PAV ADV APPRART NN ITJ	2/SB 0/-- 4/NK 2/SB 4/MNR 7/NK 5/NK 10/MO 10/NK 11/SB 0/-- 11/DA 12/NK 11/MO 11/MO 15/NK 16/NK	_ pers=3|num=sg|tense=pres|mood=ind case=nom|gender=fem|num=sg case=nom|gender=fem|num=sg _ case=acc|gender=fem|num=sg case=acc|gender=fem|num=sg _ case=nom|*=True|num=pl case=nom|*=True|num=pl EmoExpression::markable_100500197::Uncertain=false|mood=ind|EmoExpression::markable_100500197::SubjectiveFact=false|pers=3|EmoExpression::markable_100500197::EmoExpression=True|num=pl|tense=pres|EmoExpression::markable_100500197::Sarcasm=false|EmoExpression::markable_100500197::Polarity=negative|EmoExpression::markable_100500197::Intensity=medium case=dat|*=True|num=sg|pers=1 _ _ case=dat|gender=masc|num=sg|EmoExpression::markable_100500197::EmoExpression=True case=dat|gender=masc|num=sg|EmoExpression::markable_100500197::EmoExpression=True EmoExpression::markable_3::Intensity=medium|EmoExpression::markable_3::SubjectiveFact=false|EmoExpression::markable_3::EmoExpression=True|EmoExpression::markable_3::Polarity=positive|EmoExpression::markable_3::Sarcasm=false|EmoExpression::markable_3::Uncertain=false
334056629718900736	positive	und der hat es doch tatsächlich bis zum minister gebracht. tja so sind se ... %PosSmiley	und die haben es doch tatsächlich bis zu minister gebracht. tja so sein se ... %PosSmiley	KON PDS VAFIN PPER ADV ADJD KON APPRART ADJA NN NE ADV VAFIN NE $. ITJ	3/JU 3/SB 0/-- 3/OA 3/MO 3/MO 6/CD 7/CJ 10/NK 8/NK 10/NK 13/MO 3/MO 13/SB 14/-- 14/NK	_ case=nom|gender=masc|num=sg pers=3|num=sg|tense=pres|mood=ind case=acc|gender=neut|num=sg|pers=3 _ pos=True _ case=dat|gender=masc|num=sg case=dat|gender=masc|num=sg|pos=True case=dat|gender=masc|num=sg _ _ pers=3|num=pl|tense=pres|mood=ind _ _ EmoExpression::markable_4::Uncertain=false|EmoExpression::markable_4::Sarcasm=false|EmoExpression::markable_4::SubjectiveFact=false|EmoExpression::markable_4::Intensity=medium|EmoExpression::markable_4::Polarity=positive|EmoExpression::markable_4::EmoExpression=True
334768593961115648	positive	Jo, kann ich aber nicht bringen, wenn sie nicht die Wahl zwischen mehreren Optionen hatten. Es sei denn, ich bluffe... hmm %PosSmiley	Jo, können ich aber nicht bringen, wenn sie nicht die Wahl zwischen mehrere Option hatten. es sein denn, ich bluffe... hmm %PosSmiley	NE VMFIN PPER ADV PTKNEG VVFIN KOUS PPER PTKNEG ART NN APPR PIAT NN NE PPER VAFIN ADV PPER ADJA NN ITJ	2/SB 0/-- 2/SB 2/MO 2/NG 2/OC 9/CP 9/SB 6/NG 11/NK 6/OA 11/MNR 14/NK 12/NK 14/AG 17/SB 0/-- 17/MO 20/SB 17/MO 0/-- 21/NK	case=nom|gender=masc|num=sg pers=3|num=sg|tense=pres|mood=ind case=nom|*=True|num=sg|pers=1 _ _ _ _ case=nom|*=True|num=pl|pers=3 _ case=acc|gender=fem|num=sg case=acc|gender=fem|num=sg _ case=dat|gender=masc|num=pl case=nom|gender=fem|num=pl case=nom|gender=neut|num=sg case=nom|gender=neut|num=sg|pers=3 pers=3|num=sg|tense=pres|mood=subj _ case=nom|*=True|num=sg|pers=1 pers=1|num=sg|tense=pres|mood=ind _ EmoExpression::markable_5::Intensity=medium|EmoExpression::markable_5::Sarcasm=false|EmoExpression::markable_5::SubjectiveFact=false|EmoExpression::markable_5::EmoExpression=True|EmoExpression::markable_5::Uncertain=false|EmoExpression::markable_5::Polarity=positive
338037299558371328	negative	Ursula von der Leyen tritt nächstes Jahr beim esc mit "ihr kinderlein kommet" an %PosSmiley esc heuteshow	Ursula von die Leyen treten nah Jahr bei esc mit "ihr kinderlein kommet" an %PosSmiley esc heuteshow	NE APPR ART NE VVFIN ADJA NN APPRART NE APPR NN ADJD ADJD PTKVZ ITJ ADJA NN	5/SB 1/MNR 4/NK 2/NK 0/-- 7/NK 5/AG 7/MNR 8/NK 5/MO 10/NK 13/MO 5/MO 5/SVP 14/NK 17/NK 14/NK	case=nom|Sentiment::markable_100500131::Sarcasm=true|Sentiment::markable_100500131::Polarity=negative|gender=fem|Target::markable_100500132::Preferred=true|Target::markable_100500132::Target=True|num=sg|Target::markable_100500132::Anaphref=empty|Sentiment::markable_100500131::Sentiment=True|Sentiment::markable_100500131::Intensity=weak Target::markable_100500132::Target=True|Sentiment::markable_100500131::Sentiment=True case=dat|gender=fem|num=sg|Target::markable_100500132::Target=True|Sentiment::markable_100500131::Sentiment=True case=dat|gender=fem|num=sg|Target::markable_100500132::Target=True|Sentiment::markable_100500131::Sentiment=True pers=3|Sentiment::markable_100500131::Sentiment=True|num=sg|tense=pres|mood=ind case=nom|gender=neut|num=sg|pos=True|Sentiment::markable_100500131::Sentiment=True case=nom|gender=neut|num=sg|Sentiment::markable_100500131::Sentiment=True case=dat|gender=masc|num=sg|Sentiment::markable_100500131::Sentiment=True case=dat|gender=masc|num=sg|Sentiment::markable_100500131::Sentiment=True Sentiment::markable_100500131::Sentiment=True case=dat|gender=fem|num=sg|Sentiment::markable_100500131::Sentiment=True Sentiment::markable_100500131::Sentiment=True Sentiment::markable_100500131::Sentiment=True|pos=True Sentiment::markable_100500131::Sentiment=True EmoExpression::markable_6::Sarcasm=false|EmoExpression::markable_6::Uncertain=false|EmoExpression::markable_6::Intensity=medium|Sentiment::markable_100500131::Sentiment=True|EmoExpression::markable_6::SubjectiveFact=false|EmoExpression::markable_6::Polarity=positive|EmoExpression::markable_6::EmoExpression=True _ _
333328012118458368	positive	was haben die grünen anzubieten? Wie viel ideologie könnte es denn bieten? %PosSmiley	was haben die grün anzubieten? wie viele Ideologie können es denn bieten? %PosSmiley	PIS VAFIN ART ADJA ADJA KOUS PIAT NN VMFIN PPER ADV ADJA ITJ	2/SB 0/-- 5/NK 5/MO 2/OC 9/MO 8/NK 6/NK 0/-- 9/EP 9/MO 11/UC 11/DM	case=acc|gender=neut|num=sg pers=3|num=pl|tense=pres|mood=ind case=nom|gender=masc|num=pl case=nom|gender=masc|num=pl|pos=True case=nom|gender=masc|num=pl|pos=True _ *=True case=acc|gender=fem|num=sg pers=3|num=sg|tense=past|mood=subj case=nom|gender=neut|num=sg|pers=3 _ case=acc|gender=neut|num=pl|pos=True case=acc|EmoExpression::markable_7::EmoExpression=True|EmoExpression::markable_7::Uncertain=false|EmoExpression::markable_7::Intensity=medium|EmoExpression::markable_7::SubjectiveFact=false|gender=neut|EmoExpression::markable_7::Sarcasm=false|EmoExpression::markable_7::Polarity=positive|num=pl
323883196783669248	mixed	Südkorea vermutet Nordkorea hinter "Cyber Angriff" %Link Kann ich mir nicht ganz vorstellen %PosSmiley %Link	Südkorea vermuten Nordkorea hinter "Cyber Angriff" %Link können ich ich nicht ganz vorstellen %PosSmiley %Link	NE VVFIN NE APPR NN NN XY VMFIN PPER PRF PTKNEG ADV VVINF ITJ XY	2/SB 0/-- 2/OA 2/MO 4/NK 2/OA 6/NK 0/-- 8/SB 13/DA 8/NG 13/MO 8/OC 0/NK 0/--	case=nom|gender=neut|num=sg pers=3|num=sg|tense=pres|mood=ind case=nom|EmoExpression::markable_100500198::SubjectiveFact=true|EmoExpression::markable_100500198::Sarcasm=false|EmoExpression::markable_100500198::EmoExpression=True|gender=neut|EmoExpression::markable_100500198::Uncertain=false|EmoExpression::markable_100500198::Intensity=medium|EmoExpression::markable_100500198::Polarity=negative|num=sg _ case=nom|EmoExpression::markable_100500200::Sarcasm=false|gender=neut|EmoExpression::markable_100500200::SubjectiveFact=false|EmoExpression::markable_100500200::Polarity=negative|EmoExpression::markable_100500199::EmoExpression=True|num=sg|EmoExpression::markable_100500200::Uncertain=false|EmoExpression::markable_100500200::Intensity=medium|EmoExpression::markable_100500200::EmoExpression=True case=nom|gender=neut|num=sg case=nom|gender=neut|num=sg pers=3|num=sg|tense=pres|mood=ind case=nom|*=True|num=sg|pers=1 case=dat|*=True|num=sg|pers=1 _ _ _ EmoExpression::markable_8::SubjectiveFact=false|EmoExpression::markable_8::Intensity=medium|EmoExpression::markable_8::Polarity=positive|EmoExpression::markable_8::Sarcasm=false|EmoExpression::markable_8::EmoExpression=True|EmoExpression::markable_8::Uncertain=false _
334041643680415744	mixed	mhh, und dann hinterziehst du auch keine Steuern... also wahrlich kein FDP Wähler %PosSmiley	mhh, und dann hinterziehst du auch keine Steuern... also wahrlich keine FDP Wähler %PosSmiley	NE KON ADV VVFIN PPER ADV PIAT NN ADV ADV PIAT NE NN ITJ	0/-- 1/CD 4/MO 2/CJ 4/SB 8/MO 8/NK 4/OA 12/MO 11/MO 12/NK 0/-- 12/PNC 12/NK	case=nom|*=True|num=sg _ _ EmoExpression::markable_100500201::Intensity=medium|EmoExpression::markable_100500201::EmoExpression=True|mood=ind|EmoExpression::markable_100500201::SubjectiveFact=false|EmoExpression::markable_100500201::Uncertain=false|pers=2|num=sg|tense=pres|EmoExpression::markable_100500201::Sarcasm=false|EmoExpression::markable_100500201::Polarity=negative case=nom|gender=masc|num=sg|pers=2 _ case=acc|gender=fem|num=sg case=acc|gender=fem|num=sg|EmoExpression::markable_100500201::EmoExpression=True _ _ case=nom|gender=neut|num=sg case=nom|gender=fem|num=sg case=nom|gender=fem|num=sg EmoExpression::markable_9::Uncertain=false|EmoExpression::markable_9::Polarity=positive|EmoExpression::markable_9::Sarcasm=false|EmoExpression::markable_9::Intensity=medium|EmoExpression::markable_9::SubjectiveFact=false|EmoExpression::markable_9::EmoExpression=True
334033238228078593	positive	Der Peer Steinbrück ist doch bestimmt ein Undercover-Politiker der CDU um die SPD auffliegen zu lassen. %PosSmiley	die Peer Steinbrück sein doch bestimmt eine Undercover-Politiker die CDU um die SPD auffliegen zu lassen. %PosSmiley	ART NE NN VAFIN ADV ADV ART NN ART NE APPR ART NE VVFIN APPR NE ITJ	3/NK 3/NK 4/SB 0/-- 4/MO 4/MO 8/NK 4/PD 10/NK 8/AG 8/MNR 13/NK 11/NK 4/PD 14/MO 15/NK 0/NK	case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg pers=3|num=sg|tense=pres|mood=ind _ _ case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg case=gen|gender=fem|num=sg case=gen|gender=fem|num=sg _ case=acc|gender=fem|num=sg case=acc|gender=fem|num=sg _ _ case=dat|*=True|num=sg EmoExpression::markable_10::Uncertain=false|EmoExpression::markable_10::Polarity=positive|EmoExpression::markable_10::Sarcasm=false|EmoExpression::markable_10::Intensity=medium|EmoExpression::markable_10::EmoExpression=True|EmoExpression::markable_10::SubjectiveFact=false
