369517901734096896	positive	Piraten bei puls4! gleich geht los %PosSmiley %Link	Pirat bei puls4! gleich gehen los %PosSmiley %Link	NN APPR ADJD ADJD VVFIN PTKVZ ITJ XY	0/-- 1/MNR 2/NK 5/MO 0/-- 5/SVP 6/NK 6/NK	case=nom|Target::markable_4::Preferred=true|Target::markable_4::Anaphref=empty|gender=masc|Target::markable_4::Target=True|Sentiment::markable_1::Sentiment=True|Sentiment::markable_1::Sarcasm=false|num=pl|Sentiment::markable_1::Polarity=positive|Sentiment::markable_1::Intensity=medium Target::markable_4::Target=True|Sentiment::markable_1::Sentiment=True pers=3|num=pl|tense=pres|mood=ind|Sentiment::markable_1::Sentiment=True pos=True|Sentiment::markable_1::Sentiment=True pers=3|num=sg|tense=pres|mood=ind|Sentiment::markable_1::Sentiment=True Sentiment::markable_1::Sentiment=True EmoExpression::markable_3::Intensity=medium|EmoExpression::markable_3::SubjectiveFact=false|EmoExpression::markable_3::EmoExpression=True|EmoExpression::markable_3::Polarity=positive|Sentiment::markable_1::Sentiment=True|EmoExpression::markable_3::Sarcasm=false|EmoExpression::markable_3::Uncertain=false _
380655300216225792	mixed	38 CDU + 6 FDP + 6 AfD hiess es heut früh. %NegSmiley Aber morgens am Bahnhof beim Verteilen siehts nach 85% RotGrün aus. %PosSmiley	@card@ CDU + 6 FDP + 6 AfD heißen es heuen früh. %NegSmiley aber morgens an Bahnhof bei Verteilen siehts nach @card@ rotgrün aus. %PosSmiley	CARD NE KON CARD NE KON CARD NN VVFIN PPER VVFIN ADJA ITJ KON ADV APPRART NN APPRART NN NN APPR CARD ADJD ADJA ITJ	8/NK 1/SB 2/CD 5/NK 3/CJ 1/CD 6/CJ 9/MO 0/-- 9/EP 9/OC 11/MO 15/DM 15/MO 16/MO 0/-- 16/NK 17/MNR 18/NK 19/NK 19/MNR 21/NK 24/MO 21/MO 0/NK	Target::markable_10::Anaphref=empty|Sentiment::markable_9::Intensity=medium|Target::markable_10::Preferred=true|Sentiment::markable_9::Sentiment=True|Sentiment::markable_9::Sarcasm=false|Target::markable_10::Target=True|Sentiment::markable_9::Polarity=negative case=nom|gender=fem|num=sg|Target::markable_10::Target=True|Sentiment::markable_9::Sentiment=True Target::markable_10::Target=True|Sentiment::markable_9::Sentiment=True Target::markable_10::Target=True|Sentiment::markable_9::Sentiment=True case=nom|gender=fem|num=sg|Target::markable_10::Target=True|Sentiment::markable_9::Sentiment=True Target::markable_10::Target=True|Sentiment::markable_9::Sentiment=True Target::markable_10::Target=True|Sentiment::markable_9::Sentiment=True gender=fem|*=True|Target::markable_10::Target=True|Sentiment::markable_9::Sentiment=True pers=3|num=sg|tense=past|mood=ind|Sentiment::markable_9::Sentiment=True case=nom|gender=neut|num=sg|Sentiment::markable_9::Sentiment=True|pers=3 pers=3|num=sg|tense=pres|mood=ind|Sentiment::markable_9::Sentiment=True case=acc|gender=neut|num=pl|pos=True|Sentiment::markable_9::Sentiment=True EmoExpression::markable_5::Intensity=medium|Sentiment::markable_9::Sentiment=True|EmoExpression::markable_5::Sarcasm=false|EmoExpression::markable_5::SubjectiveFact=false|EmoExpression::markable_5::EmoExpression=True|EmoExpression::markable_5::Uncertain=false|EmoExpression::markable_5::Polarity=negative Sentiment::markable_6::Polarity=positive|Sentiment::markable_6::Sentiment=True|Sentiment::markable_6::Intensity=medium|Sentiment::markable_6::Sarcasm=false Sentiment::markable_6::Sentiment=True case=dat|gender=masc|Sentiment::markable_6::Sentiment=True|num=sg case=dat|gender=masc|Sentiment::markable_6::Sentiment=True|num=sg case=dat|gender=masc|Sentiment::markable_6::Sentiment=True|num=sg case=dat|gender=masc|Sentiment::markable_6::Sentiment=True|num=sg case=gen|gender=neut|Sentiment::markable_6::Sentiment=True|num=sg Sentiment::markable_6::Sentiment=True Target::markable_7::Preferred=true|Sentiment::markable_6::Sentiment=True|Target::markable_7::Anaphref=empty|Target::markable_7::Target=True Sentiment::markable_6::Sentiment=True|pos=True|Target::markable_7::Target=True Sentiment::markable_6::Sentiment=True EmoExpression::markable_8::SubjectiveFact=false|EmoExpression::markable_8::Intensity=medium|EmoExpression::markable_8::Polarity=positive|EmoExpression::markable_8::Sarcasm=false|EmoExpression::markable_8::EmoExpression=True|Sentiment::markable_6::Sentiment=True|EmoExpression::markable_8::Uncertain=false
381735322511368193	positive	Ich habe den Grünen beide Stimmen gegeben. Nette Grüsse aus Flensburg %PosSmiley	ich haben die Grüne beide Stimme|Stimmen gegeben. nett Gruß aus Flensburg %PosSmiley	PPER VAFIN ART NN PIAT NN NE ADJA NN APPR NE ITJ	2/SB 0/-- 4/NK 2/OA 6/NK 4/AG 6/AG 9/NK 0/-- 9/MNR 10/NK 11/NK	case=nom|Source::markable_12::Anaphref=empty|Source::markable_12::Source=True|*=True|pers=1|Sentiment::markable_11::Polarity=positive|num=sg|Sentiment::markable_11::Intensity=medium|Sentiment::markable_11::Sentiment=True|Sentiment::markable_11::Sarcasm=false pers=1|num=sg|tense=pres|mood=ind|Sentiment::markable_11::Sentiment=True case=acc|num=sg|Target::markable_13::Anaphref=empty|Target::markable_13::Preferred=true|gender=masc|Sentiment::markable_11::Sentiment=True|Target::markable_13::Target=True case=acc|gender=masc|num=sg|Sentiment::markable_11::Sentiment=True|Target::markable_13::Target=True pers=1|num=sg|tense=pres|mood=ind|Sentiment::markable_11::Sentiment=True case=acc|EmoExpression::markable_14::Polarity=positive|EmoExpression::markable_14::SubjectiveFact=false|EmoExpression::markable_14::Sarcasm=false|gender=fem|EmoExpression::markable_14::EmoExpression=True|Sentiment::markable_11::Sentiment=True|num=pl|EmoExpression::markable_14::Uncertain=false|EmoExpression::markable_14::Intensity=medium _ case=nom|EmoExpression::markable_15::Intensity=medium|EmoExpression::markable_15::SubjectiveFact=false|gender=masc|pos=True|EmoExpression::markable_15::Uncertain=false|EmoExpression::markable_15::Polarity=positive|num=pl|EmoExpression::markable_15::EmoExpression=True|EmoExpression::markable_15::Sarcasm=false case=nom|gender=masc|num=pl _ case=dat|gender=neut|num=sg case=dat|EmoExpression::markable_16::EmoExpression=True|gender=neut|EmoExpression::markable_16::Uncertain=false|EmoExpression::markable_16::Intensity=medium|EmoExpression::markable_16::Polarity=positive|num=sg|EmoExpression::markable_16::Sarcasm=false|EmoExpression::markable_16::SubjectiveFact=false
367622871226388480	positive	Es gibt natürlich den Themenübersichtsflyer, so als Zwischending noch, gell %PosSmiley %Link	Es geben natürlich die Themenübersichtsflyer, so als Zwischending noch, gell %PosSmiley %Link	NN VVFIN ADV ART NN ADV KOKOM NN NE ITJ ITJ XY	2/SB 0/-- 2/MO 5/NK 2/OA 2/MO 8/CM 6/CC 8/NK 6/DM 6/DM 6/UC	case=nom|gender=neut|num=sg|pers=3 pers=3|num=sg|tense=pres|mood=ind _ case=acc|gender=masc|num=sg case=acc|gender=masc|num=sg _ _ case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg _ EmoExpression::markable_17::SubjectiveFact=false|EmoExpression::markable_17::Polarity=positive|EmoExpression::markable_17::EmoExpression=True|EmoExpression::markable_17::Sarcasm=false|EmoExpression::markable_17::Uncertain=false|EmoExpression::markable_17::Intensity=medium _
381812762948960256	positive	42%schwarz! Rot-grün und auch rot-rot-grün ist nichts und wird auch nichts%PosSmiley Daumendrücken für die Liberalen! btw13	42%schwarz! Rot-grün und auch rot-rot-grün sein nichts und werden auch nichts%PosSmiley Daumendruck für die Liberalen! btw13	ADJD ADJD KON ADV ADJD VAFIN PIS KON VAFIN ADV ADJA NN APPR ART ADJA CARD	0/-- 6/PD 2/CD 5/MO 3/CJ 0/-- 6/SB 6/CD 8/CJ 12/MO 12/NK 9/SB 12/MNR 15/NK 13/NK 0/--	Target::markable_19::Target=True|Sentiment::markable_18::Sentiment=True Target::markable_19::Target=True|pos=True|Sentiment::markable_18::Sentiment=True Sentiment::markable_18::Sentiment=True Sentiment::markable_18::Sentiment=True Target::markable_20::Target=True|pos=True|Sentiment::markable_18::Sentiment=True pers=3|num=sg|tense=pres|mood=ind|Sentiment::markable_18::Sentiment=True EmoExpression::markable_21::EmoExpression=True|gender=neut|*=True|EmoExpression::markable_21::Intensity=medium|EmoExpression::markable_21::SubjectiveFact=false|EmoExpression::markable_21::Uncertain=false|EmoExpression::markable_21::Polarity=negative|EmoExpression::markable_21::Sarcasm=false|Sentiment::markable_18::Sentiment=True Sentiment::markable_18::Sentiment=True pers=3|num=sg|tense=pres|mood=ind|Sentiment::markable_18::Sentiment=True Sentiment::markable_18::Sentiment=True case=acc|EmoExpression::markable_24::Sarcasm=false|gender=neut|pos=True|EmoExpression::markable_24::Intensity=medium|num=pl|EmoExpression::markable_24::Uncertain=false|EmoExpression::markable_24::Polarity=positive|EmoExpression::markable_24::EmoExpression=True|Sentiment::markable_18::Sentiment=True|EmoExpression::markable_24::SubjectiveFact=false case=acc|EmoExpression::markable_26::Sarcasm=false|EmoExpression::markable_26::EmoExpression=True|EmoExpression::markable_26::Uncertain=false|EmoExpression::markable_26::Intensity=medium|gender=neut|EmoExpression::markable_26::Polarity=positive|Sentiment::markable_25::Polarity=positive|num=pl|Sentiment::markable_25::Sarcasm=false|Sentiment::markable_25::Intensity=medium|EmoExpression::markable_26::SubjectiveFact=false|Sentiment::markable_25::Sentiment=True Sentiment::markable_25::Sentiment=True case=acc|Target::markable_27::Anaphref=empty|num=sg|Target::markable_27::Preferred=true|gender=fem|Sentiment::markable_25::Sentiment=True|Target::markable_27::Target=True case=acc|gender=fem|Sentiment::markable_25::Sentiment=True|num=sg|pos=True _
350698135019982848	positive	Früher verbrannte Politik Hexen, heute verspricht sie dem Wähler Milliardengeschenke. Symbolpolitik gestern und heute %PosSmiley	früher verbrannt Politik Hexen, heute versprechen sie die Wähler Milliardengeschenke. Symbolpolitik gestern und heute %PosSmiley	ADV ADJA NN NE ADV VVFIN PPER ART NN NE NN ADV KON ADV ITJ	3/MO 3/NK 6/SB 3/NK 6/MO 0/-- 6/SB 9/NK 6/DA 9/NK 0/-- 11/MO 12/CD 13/CJ 12/DM	comp=True case=nom|gender=fem|num=sg|pos=True case=nom|gender=fem|num=sg case=nom|*=True|num=sg _ pers=3|num=sg|tense=pres|mood=ind case=nom|gender=fem|num=sg|pers=3 case=dat|gender=masc|num=sg case=dat|gender=masc|num=sg case=nom|gender=neut|num=sg case=nom|gender=fem|num=sg _ _ _ EmoExpression::markable_28::Intensity=medium|EmoExpression::markable_28::Sarcasm=false|EmoExpression::markable_28::SubjectiveFact=false|EmoExpression::markable_28::Polarity=positive|EmoExpression::markable_28::EmoExpression=True|EmoExpression::markable_28::Uncertain=false
374222913320124416	positive	Danke aus USA! %PosSmiley Livestream ARDMediathek auch im Ausland %Link ab 20.15 Uhr tvduell	Dank aus USA! %PosSmiley Livestream ARDMediathek auch in Ausland %Link ab @card@ Uhr tvduell	NN APPR ADJA ITJ NN NN ADV APPRART NN XY APPR CARD NN ADJD	0/-- 1/MNR 2/NK 2/MO 0/-- 5/NK 11/MO 11/MO 8/NK 0/-- 14/MO 13/NK 11/NK 5/PD	EmoExpression::markable_30::EmoExpression=True|EmoExpression::markable_30::Uncertain=false|EmoExpression::markable_30::Intensity=medium|EmoExpression::markable_30::SubjectiveFact=false|EmoExpression::markable_30::Polarity=positive|EmoExpression::markable_30::Sarcasm=false _ case=dat|gender=masc|num=pl|pos=True case=dat|gender=masc|num=pl case=nom|gender=neut|num=sg case=nom|gender=neut|num=sg _ case=dat|gender=neut|num=sg case=dat|gender=neut|num=sg case=acc|gender=masc|num=sg _ _ gender=fem|*=True pos=True
383213928559693824	negative	"Antiautoritäre tendenzlinke Naivlibertäre" ist die treffenste Beschreibung der PPat die ich je hörte %PosSmiley %Link	"Antiautoritäre tendenzlinke Naivlibertäre" sein die treffenste Beschreibung die PPat die ich je hören %PosSmiley %Link	NN ADJA NN VAFIN ART ADJA NN ART NN PRELS PPER ADV VVFIN ITJ XY	3/NK 3/NK 4/SB 0/-- 7/NK 7/NK 4/SB 9/NK 7/AG 13/OA 13/SB 13/MO 7/RC 13/DM 14/NK	case=nom|EmoExpression::markable_35::Uncertain=false|EmoExpression::markable_35::Intensity=medium|EmoExpression::markable_35::Sarcasm=false|gender=masc|EmoExpression::markable_35::EmoExpression=True|num=pl|EmoExpression::markable_35::SubjectiveFact=false|Sentiment::markable_31::Sentiment=True|EmoExpression::markable_35::Polarity=negative case=nom|EmoExpression::markable_36::EmoExpression=True|gender=masc|pos=True|EmoExpression::markable_36::Intensity=medium|num=pl|EmoExpression::markable_36::SubjectiveFact=false|EmoExpression::markable_36::Uncertain=false|Sentiment::markable_31::Sentiment=True|EmoExpression::markable_36::Polarity=negative|EmoExpression::markable_36::Sarcasm=false case=nom|gender=masc|num=pl|Sentiment::markable_31::Sentiment=True pers=3|num=sg|tense=pres|mood=ind|Sentiment::markable_31::Sentiment=True case=nom|gender=fem|num=sg|Sentiment::markable_31::Sentiment=True case=nom|gender=fem|num=sg|Sentiment::markable_31::Sentiment=True|sup=True case=nom|gender=fem|num=sg|Sentiment::markable_31::Sentiment=True case=gen|gender=fem|num=sg|Sentiment::markable_31::Sentiment=True case=gen|Target::markable_34::Target=True|num=sg|Target::markable_34::Anaphref=empty|gender=fem|Sentiment::markable_31::Sentiment=True|Target::markable_34::Preferred=true case=acc|gender=fem|num=sg|Sentiment::markable_31::Sentiment=True case=nom|pers=1|num=sg|Source::markable_32::Source=True|*=True|Sentiment::markable_31::Sentiment=True|Source::markable_32::Anaphref=empty Sentiment::markable_31::Sentiment=True pers=1|num=sg|tense=past|mood=ind|Sentiment::markable_31::Sentiment=True Sentiment::markable_31::Sentiment=True _
370604383614304256	positive	Grösser als myLGS? %PosSmiley Die myLGS hat von mir gerade eine 8x10m grosse orange Plane geschenkt bekommen %PosSmiley PIRATEN DresdenOrange	groß als myLGS? %PosSmiley die myLGS haben von ich gerade eine 8x10m groß orange Plane schenken bekommen %PosSmiley Pirat DresdenOrange	ADJD KOKOM ADJA ITJ ART NN VAFIN APPR PPER ADV ART NE ADJA ADJA NN VVPP VVPP ITJ NN NN	0/-- 3/CM 1/CC 2/NK 6/NK 7/SB 0/-- 11/PG 8/NK 11/MO 12/NK 7/SB 15/NK 15/NK 16/OA 17/OC 7/OC 19/NK 17/SB 17/OA	comp=True _ case=nom|gender=neut|num=sg|pos=True case=nom|gender=neut|num=sg case=nom|gender=fem|num=sg case=nom|gender=fem|num=sg pers=3|num=sg|tense=pres|mood=ind _ case=dat|*=True|num=sg|pers=1 _ case=nom|gender=fem|num=sg case=nom|gender=fem|num=sg case=nom|gender=fem|num=sg|pos=True case=nom|gender=fem|num=sg|pos=True case=nom|gender=fem|num=sg _ _ EmoExpression::markable_39::SubjectiveFact=false|EmoExpression::markable_39::EmoExpression=True|EmoExpression::markable_39::Polarity=positive|EmoExpression::markable_39::Sarcasm=false|EmoExpression::markable_39::Uncertain=false|EmoExpression::markable_39::Intensity=medium case=nom|gender=fem|num=sg case=nom|gender=fem|num=sg
355241171917864961	positive	Momentan brauchen wir Geld %PosSmiley Also diese Spendenplattform sharen, mit Tag Neiwahlen:...	momentan brauchen wir Geld %PosSmiley also dies Spendenplattform sharen, mit Tag Neiwahlen:...	ADJD VVFIN PPER NN ITJ ADV PDAT NN NE APPR NN NE	2/MO 0/-- 2/SB 2/OA 4/NK 2/MO 8/NK 2/OA 8/NK 2/MO 10/NK 11/NK	pos=True pers=1|num=pl|tense=pres|mood=ind case=nom|*=True|num=pl|pers=1 case=acc|gender=neut|num=sg case=acc|EmoExpression::markable_40::EmoExpression=True|EmoExpression::markable_40::SubjectiveFact=false|gender=neut|EmoExpression::markable_40::Sarcasm=false|num=sg|EmoExpression::markable_40::Uncertain=false|EmoExpression::markable_40::Intensity=medium|EmoExpression::markable_40::Polarity=positive _ case=acc|gender=fem|num=sg case=acc|gender=fem|num=sg case=nom|*=True|num=sg _ case=dat|gender=masc|num=sg case=dat|gender=masc|num=sg
371723710790909952	positive	ja, tut er bei mir. Natürlich nicht jeden Tag und ich habe noch Wasser und grünen Tee dazu %PosSmiley	ja, tun er bei mir. natürlich nicht jede Tag und ich haben noch Wasser und grün Tee dazu %PosSmiley	NE VVFIN PPER APPR NE ADJD PTKNEG PIAT NN KON PPER VAFIN ADV NN KON ADJA NN PAV ITJ	2/SB 0/-- 2/SB 2/MO 4/NK 12/MO 9/NG 9/NK 12/CJ 12/JU 12/SB 0/-- 14/MO 12/OA 14/CD 17/NK 15/CJ 14/NK 14/NK	_ pers=3|num=sg|tense=pres|mood=ind case=nom|gender=masc|num=sg|pers=3 _ case=dat|gender=neut|num=sg _ _ case=acc|gender=masc|num=sg case=acc|gender=masc|num=sg _ case=nom|*=True|num=sg|pers=1 pers=1|num=sg|tense=pres|mood=ind _ case=acc|gender=neut|num=sg _ case=dat|gender=fem|num=sg|pos=True case=dat|gender=fem|num=sg _ EmoExpression::markable_41::EmoExpression=True|EmoExpression::markable_41::Uncertain=false|EmoExpression::markable_41::Intensity=medium|EmoExpression::markable_41::SubjectiveFact=false|EmoExpression::markable_41::Polarity=positive|EmoExpression::markable_41::Sarcasm=false
