328854379425853441	positive	Gleich in Braunschweig mit Kamaraden Treffen %PosSmiley	gleich in Braunschweig mit Kamaraden Treffen %PosSmiley	ADJD APPR NE APPR ADJA NN ITJ	2/MO 0/-- 2/NK 2/SVP 6/NK 4/NK 4/MO	Sentiment::markable_208::Intensity=medium|Target::markable_209::Anaphref=empty|Sentiment::markable_208::Sarcasm=false|Sentiment::markable_208::Polarity=positive|Sentiment::markable_208::Sentiment=True|Target::markable_209::Preferred=true|Target::markable_209::Target=True Sentiment::markable_208::Sentiment=True|Target::markable_209::Target=True case=dat|gender=neut|num=sg|Sentiment::markable_208::Sentiment=True|Target::markable_209::Target=True Sentiment::markable_208::Sentiment=True|Target::markable_209::Target=True case=dat|num=pl|Target::markable_209::Target=True|gender=fem|Sentiment::markable_208::Sentiment=True|pos=True case=dat|gender=fem|num=pl|Sentiment::markable_208::Sentiment=True|Target::markable_209::Target=True EmoExpression::markable_1::Sarcasm=false|EmoExpression::markable_1::SubjectiveFact=false|EmoExpression::markable_1::EmoExpression=True|EmoExpression::markable_1::Uncertain=false|EmoExpression::markable_1::Polarity=positive|Sentiment::markable_208::Sentiment=True|EmoExpression::markable_1::Intensity=medium
322069357201072129	mixed	Das geht ja gar nicht! Wo kommen wir denn da hin? Uns hätte man die Bücher auf den Kopf gehauen, bis das Familienlevel stimmt%PosSmiley	die gehen ja gar nicht! wo kommen wir denn da hin? wir haben man die Buch auf die Kopf gehauen, bis die Familienlevel stimmt%PosSmiley	PDS VVFIN ADV ADV ADJA PWAV VVFIN PPER ADV ADV VVFIN PPER VAFIN PIS ART NN APPR ART NN NE APPR ART NN ADJA	2/SB 0/-- 2/MO 5/MO 2/MO 7/MO 11/OC 7/SB 7/MO 7/MO 0/-- 24/DA 0/-- 13/SB 16/NK 13/OA 16/MNR 19/NK 17/NK 19/NK 24/MO 23/NK 21/NK 13/RS	case=nom|EmoExpression::markable_149::Uncertain=false|EmoExpression::markable_149::Polarity=negative|gender=neut|EmoExpression::markable_149::SubjectiveFact=false|EmoExpression::markable_149::Sarcasm=false|num=sg|EmoExpression::markable_149::EmoExpression=True|EmoExpression::markable_149::Intensity=strong pers=3|num=sg|tense=pres|mood=ind|EmoExpression::markable_149::EmoExpression=True EmoExpression::markable_149::EmoExpression=True EmoExpression::markable_149::EmoExpression=True EmoExpression::markable_149::EmoExpression=True EmoExpression::markable_104012277::Sarcasm=false|EmoExpression::markable_104012277::Uncertain=false|EmoExpression::markable_104012277::Intensity=medium|EmoExpression::markable_104012277::SubjectiveFact=false|EmoExpression::markable_104012277::Polarity=negative|EmoExpression::markable_104012277::EmoExpression=True pers=1|EmoExpression::markable_104012277::EmoExpression=True|num=pl|tense=pres|mood=ind case=nom|*=True|EmoExpression::markable_104012277::EmoExpression=True|num=pl|pers=1 EmoExpression::markable_104012277::EmoExpression=True EmoExpression::markable_104012277::EmoExpression=True pers=3|num=sg|tense=past|mood=ind case=dat|*=True|num=pl|pers=1 pers=3|num=sg|tense=past|mood=subj case=nom|*=True|num=sg case=acc|gender=masc|num=pl case=acc|gender=masc|num=pl EmoExpression::markable_210::Sarcasm=false|EmoExpression::markable_210::Uncertain=false|EmoExpression::markable_210::Polarity=negative|EmoExpression::markable_210::SubjectiveFact=false|EmoExpression::markable_210::EmoExpression=True|EmoExpression::markable_210::Intensity=medium case=acc|gender=masc|num=sg|EmoExpression::markable_210::EmoExpression=True case=acc|gender=masc|num=sg|EmoExpression::markable_210::EmoExpression=True _ _ case=acc|gender=neut|num=sg case=acc|gender=neut|num=sg case=acc|EmoExpression::markable_2::SubjectiveFact=false|EmoExpression::markable_2::Polarity=positive|gender=neut|pos=True|EmoExpression::markable_2::Uncertain=false|EmoExpression::markable_2::Intensity=medium|num=sg|EmoExpression::markable_2::Sarcasm=false|EmoExpression::markable_2::EmoExpression=True
323433156667654147	positive	Will jetz Radle fahren oder Inliner %NegSmiley	wollen jetz radeln fahren oder Inliner %NegSmiley	VMFIN ADJD VVFIN VVFIN KON NN ITJ	0/-- 1/MO 4/MO 1/OC 4/CD 5/CJ 6/NK	Sentiment::markable_150::Sentiment=True|EmoExpression::markable_151::Polarity=positive|EmoExpression::markable_151::Sarcasm=false|mood=ind|Sentiment::markable_150::Intensity=medium|Sentiment::markable_150::Sarcasm=false|EmoExpression::markable_151::SubjectiveFact=false|pers=3|num=sg|tense=pres|Sentiment::markable_150::Polarity=positive|EmoExpression::markable_151::Uncertain=false|EmoExpression::markable_151::EmoExpression=True|EmoExpression::markable_151::Intensity=medium Sentiment::markable_150::Sentiment=True|pos=True Sentiment::markable_150::Sentiment=True|Target::markable_152::Target=True|mood=subj|Target::markable_152::Preferred=true|pers=3|num=sg|tense=pres|Target::markable_152::Anaphref=empty Sentiment::markable_150::Sentiment=True|Target::markable_152::Target=True Sentiment::markable_150::Sentiment=True|Target::markable_152::Target=True case=nom|gender=masc|Sentiment::markable_150::Sentiment=True|num=sg|Target::markable_152::Target=True Sentiment::markable_150::Sentiment=True|EmoExpression::markable_3::Intensity=medium|EmoExpression::markable_3::SubjectiveFact=false|EmoExpression::markable_3::EmoExpression=True|EmoExpression::markable_3::Polarity=negative|EmoExpression::markable_3::Sarcasm=false|EmoExpression::markable_3::Uncertain=false
320319919545790464	neutral	SoWi Denkweisen den eine anliyorsunuz arkadaslar%PosSmiley?	SoWi Denkweise die eine anliyorsunuz arkadaslar%PosSmiley?	NN NN ART ART NE ADJA	0/-- 1/NK 6/NK 5/NK 6/OA 1/SB	case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg case=acc|gender=masc|num=sg case=acc|gender=fem|num=sg case=acc|gender=fem|num=sg case=acc|gender=fem|num=sg|pos=True
319088835927609344	positive	Ich schau's mir später an , bin grad mit meiner BFF shoppen %PosSmiley	ich schau's ich spät an , sein grad mit mein BFF shoppen %PosSmiley	PPER VVFIN PPER ADJD PTKVZ $, VAFIN ADJD APPR PPOSAT NN NN ITJ	2/SB 0/-- 2/DA 2/MO 2/SVP 5/-- 5/RE 7/PD 7/MO 11/NK 9/NK 11/NK 5/NK	case=nom|*=True|num=sg|pers=1 pers=1|num=sg|tense=pres|mood=ind case=dat|pers=1|num=sg comp=True _ _ pers=1|num=sg|tense=pres|mood=ind pos=True _ case=dat|gender=fem|num=sg case=dat|EmoExpression::markable_211::Intensity=medium|EmoExpression::markable_211::Polarity=positive|EmoExpression::markable_211::Uncertain=false|gender=fem|EmoExpression::markable_211::SubjectiveFact=false|num=sg|EmoExpression::markable_211::Sarcasm=false|EmoExpression::markable_211::EmoExpression=True _ EmoExpression::markable_5::Intensity=medium|EmoExpression::markable_5::Sarcasm=false|EmoExpression::markable_5::SubjectiveFact=false|EmoExpression::markable_5::EmoExpression=True|EmoExpression::markable_5::Uncertain=false|EmoExpression::markable_5::Polarity=positive
324216397624385536	mixed	Oh,dacht schon Du rätst mir zu einer Diät, weil 65kg/165cm evtl dick sei%PosSmiley Werde alle abfüllen,ja! Obwohl einer reicht für den Anfang%PosSmiley	Oh,dacht schon du raten ich zu eine Diät, weil 65kg/165cm evtl dick sei%PosSmiley werden alle abfüllen,ja! obwohl eine reichen für die Anfang%PosSmiley	NN ADV PPER VVFIN PPER APPR ART TRUNC KOUS NE NE ADJD NE VAFIN PIAT TRUNC KOUS PIS VVFIN APPR ART NN	3/CC 3/MO 4/SB 0/-- 4/DA 4/MO 11/NK 11/NK 11/CP 11/PNC 6/NK 13/MO 11/AVC 11/OC 16/NK 14/PD 19/CP 19/SB 0/-- 19/MO 22/NK 20/NK	case=nom|gender=fem|num=sg _ case=nom|*=True|num=sg|pers=2 pers=2|num=sg|tense=pres|mood=ind case=dat|*=True|num=sg|pers=1 _ case=dat|gender=fem|num=sg case=dat|gender=fem|num=sg _ case=nom|*=True|num=sg case=nom|*=True|num=sg EmoExpression::markable_104012279::SubjectiveFact=false|EmoExpression::markable_104012279::Intensity=medium|EmoExpression::markable_104012279::Polarity=negative|EmoExpression::markable_104012279::Sarcasm=false|EmoExpression::markable_104012279::EmoExpression=True|EmoExpression::markable_104012279::Uncertain=false|pos=True EmoExpression::markable_6::Sarcasm=false|EmoExpression::markable_6::Uncertain=false|EmoExpression::markable_6::Intensity=medium|EmoExpression::markable_6::SubjectiveFact=false|EmoExpression::markable_6::Polarity=positive|EmoExpression::markable_6::EmoExpression=True case=acc|gender=neut|num=pl case=acc|gender=neut|num=pl _ _ case=nom|gender=masc|num=sg pers=3|num=sg|tense=pres|mood=ind _ case=acc|gender=masc|num=sg case=acc|EmoExpression::markable_7::EmoExpression=True|EmoExpression::markable_7::Uncertain=false|EmoExpression::markable_7::Intensity=medium|EmoExpression::markable_7::SubjectiveFact=false|gender=masc|EmoExpression::markable_7::Sarcasm=false|EmoExpression::markable_7::Polarity=positive|num=sg
319918922482728962	positive	komm her, wir machen löcher in den käse und brüten in den alpen wolken aus. dazu schokol ade winken wir allen %PosSmiley	kommen her, wir machen löchern in die Käse und brüten in die <UNKNOWN> Wolke aus. dazu schokol ade winken wir alle %PosSmiley	VVIMP NE PPER VVFIN VVIMP APPR ART NN KON VVFIN APPR ART ADJA NN VVFIN PAV ADJD ITJ VVFIN PPER PIAT ITJ	4/CJ 1/UC 4/SB 0/-- 4/MO 4/MO 8/NK 6/NK 4/CD 9/CJ 15/MO 14/NK 14/NK 11/NK 10/OC 20/NK 15/MO 19/DM 15/OC 19/SB 22/NK 19/DM	pers=2|num=sg|mood=imp pers=1|num=pl|tense=pres|mood=ind case=nom|*=True|num=pl|pers=1 pers=1|num=pl|tense=pres|mood=ind case=gen|gender=fem|num=pl|pos=True _ case=acc|gender=masc|num=sg case=acc|gender=masc|num=sg _ pers=3|num=pl|tense=pres|mood=ind _ case=dat|gender=fem|num=pl case=dat|gender=fem|num=pl|pos=True case=dat|gender=fem|num=pl pers=3|num=sg|tense=pres|mood=subj _ pos=True _ pers=1|num=pl|tense=pres|mood=ind case=nom|*=True|num=pl|pers=1 case=dat|gender=fem|num=pl EmoExpression::markable_8::SubjectiveFact=false|EmoExpression::markable_8::Intensity=medium|EmoExpression::markable_8::Polarity=positive|EmoExpression::markable_8::Sarcasm=false|EmoExpression::markable_8::EmoExpression=True|EmoExpression::markable_8::Uncertain=false
319476130514083840	positive	aber sie können doch alles ausser Hochdeutsch! %PosSmiley	aber sie können doch alle außer Hochdeutsch! %PosSmiley	KON PPER VMFIN ADV PIS APPR ADJA ITJ	3/JU 3/SB 0/-- 3/MO 3/SB 5/APP 6/NK 3/DM	_ case=nom|*=True|num=pl|pers=3 pers=3|num=pl|tense=pres|mood=ind _ case=acc|gender=neut|num=sg _ case=dat|gender=masc|num=pl|pos=True EmoExpression::markable_9::Uncertain=false|EmoExpression::markable_9::Polarity=positive|EmoExpression::markable_9::Sarcasm=false|EmoExpression::markable_9::Intensity=medium|EmoExpression::markable_9::SubjectiveFact=false|EmoExpression::markable_9::EmoExpression=True
329149707823747072	positive	dann hab ich js das brste bekommen %PosSmiley	dann haben ich js die brste bekommen %PosSmiley	ADV VAIMP PPER NE ART NN VVPP ITJ	7/MO 4/NK 4/SB 7/DA 6/NK 7/OA 0/-- 7/NK	Sentiment::markable_100500274::Sentiment=True|Sentiment::markable_100500274::Polarity=positive|Sentiment::markable_100500274::Sarcasm=false|Sentiment::markable_100500274::Intensity=medium pers=1|Sentiment::markable_100500274::Sentiment=True|num=sg|tense=pres|mood=ind case=nom|pers=1|Source::markable_12::Anaphref=empty|num=sg|Sentiment::markable_100500274::Sentiment=True|*=True|Source::markable_12::Source=True pers=1|Sentiment::markable_100500274::Sentiment=True|num=sg|tense=past|mood=ind case=acc|Target::markable_11::Anaphref=empty|num=sg|Target::markable_11::Preferred=true|Target::markable_11::Target=True|gender=neut|Sentiment::markable_100500274::Sentiment=True case=acc|gender=neut|Sentiment::markable_100500274::Sentiment=True|num=sg|Target::markable_11::Target=True Sentiment::markable_100500274::Sentiment=True EmoExpression::markable_13::Intensity=medium|EmoExpression::markable_13::Polarity=positive|EmoExpression::markable_13::EmoExpression=True|EmoExpression::markable_13::Uncertain=false|Sentiment::markable_100500274::Sentiment=True|EmoExpression::markable_13::Sarcasm=false|EmoExpression::markable_13::SubjectiveFact=false
323822311650234369	mixed	spätestens jetzt komm ich aus der Nummer nicht mehr raus %PosSmiley %Link	spätestens jetzt kommen ich aus die Nummer nicht mehr raus %PosSmiley %Link	ADV ADV VVIMP PPER APPR ART NN PTKNEG ADV PTKVZ ITJ XY	2/MO 3/MO 0/-- 3/UC 4/MNR 7/NK 5/NK 4/NG 8/MO 3/SVP 10/NK 10/NK	_ _ EmoExpression::markable_104012280::Intensity=medium|mood=ind|EmoExpression::markable_104012280::SubjectiveFact=false|EmoExpression::markable_104012280::Sarcasm=false|pers=1|num=sg|tense=past|EmoExpression::markable_104012280::Polarity=negative|EmoExpression::markable_104012280::EmoExpression=True|EmoExpression::markable_104012280::Uncertain=false case=nom|*=True|num=sg|EmoExpression::markable_104012280::EmoExpression=True|pers=1 EmoExpression::markable_104012280::EmoExpression=True case=dat|gender=fem|num=sg|EmoExpression::markable_104012280::EmoExpression=True case=dat|gender=fem|num=sg|EmoExpression::markable_104012280::EmoExpression=True EmoExpression::markable_104012280::EmoExpression=True EmoExpression::markable_104012280::EmoExpression=True EmoExpression::markable_104012280::EmoExpression=True EmoExpression::markable_14::Polarity=positive|EmoExpression::markable_14::Sarcasm=false|EmoExpression::markable_14::SubjectiveFact=false|EmoExpression::markable_14::Uncertain=false|EmoExpression::markable_14::Intensity=medium|EmoExpression::markable_14::EmoExpression=True _
322959630252793856	positive	Visum schon gestellt für die Einreise nach Bayern %PosSmiley	Visum schon stellen für die Einreise nach Bayer %PosSmiley	NN ADV VVPP APPR ART NN APPR NN ITJ	0/-- 3/MO 1/MNR 3/MO 6/NK 4/NK 6/MNR 7/NK 8/NK	case=nom|Sentiment::markable_15::Intensity=medium|Sentiment::markable_15::Sarcasm=false|Target::markable_17::Target=True|Target::markable_17::Preferred=true|gender=masc|Target::markable_17::Anaphref=empty|num=sg|Sentiment::markable_15::Polarity=positive|Sentiment::markable_15::Sentiment=True Sentiment::markable_15::Sentiment=True|Target::markable_17::Target=True Sentiment::markable_15::Sentiment=True|Target::markable_17::Target=True Sentiment::markable_15::Sentiment=True|Target::markable_17::Target=True case=acc|gender=fem|num=sg|Target::markable_17::Target=True|Sentiment::markable_15::Sentiment=True case=acc|gender=fem|num=sg|Target::markable_17::Target=True|Sentiment::markable_15::Sentiment=True Sentiment::markable_15::Sentiment=True|Target::markable_17::Target=True case=dat|gender=neut|num=sg|Target::markable_17::Target=True|Sentiment::markable_15::Sentiment=True case=dat|EmoExpression::markable_16::EmoExpression=True|gender=neut|EmoExpression::markable_16::Uncertain=false|EmoExpression::markable_16::Intensity=medium|EmoExpression::markable_16::Polarity=positive|num=sg|Sentiment::markable_15::Sentiment=True|EmoExpression::markable_16::Sarcasm=false|EmoExpression::markable_16::SubjectiveFact=false
327764843614576642	positive	Hopf. Trotzdem. alles unter 30 ist 'lauwarm' %PosSmiley	Hopf. Trotzdem. alle unter 30 sein 'lauwarm' %PosSmiley	NE NE PIS APPR CARD VAFIN TRUNC ITJ	0/-- 6/SB 6/SB 3/MNR 4/NK 0/-- 6/PD 7/NK	case=nom|*=True|num=sg case=nom|gender=neut|num=sg case=nom|gender=neut|num=sg _ _ pers=3|num=sg|tense=pres|mood=ind _ EmoExpression::markable_18::EmoExpression=True|EmoExpression::markable_18::SubjectiveFact=false|EmoExpression::markable_18::Uncertain=false|EmoExpression::markable_18::Polarity=positive|EmoExpression::markable_18::Sarcasm=false|EmoExpression::markable_18::Intensity=medium
320459279997992960	positive	mach mal der %User die 100 follower voll %PosSmiley	machen mal die %User die 100 follower voll %PosSmiley	VVIMP ADV ART NE ART CARD NN PTKVZ ITJ	0/-- 1/MO 4/NK 1/OA 7/NK 7/NK 1/OA 1/SVP 8/NK	_ _ case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg case=acc|gender=fem|num=sg _ case=acc|gender=masc|num=pl pos=True EmoExpression::markable_19::EmoExpression=True|EmoExpression::markable_19::Uncertain=false|EmoExpression::markable_19::Intensity=medium|EmoExpression::markable_19::Sarcasm=false|EmoExpression::markable_19::SubjectiveFact=false|EmoExpression::markable_19::Polarity=positive
324987562118746112	positive	oh mein gott! *-* ZIEH DIE JACKE AUS *---* %PosSmiley	oh mein gott! *-* zeihen die Jacke aus *---* %PosSmiley	ITJ PPOSAT ADJA XY VVFIN ART NN PTKVZ XY ITJ	3/NK 3/NK 0/-- 9/PNC 0/-- 7/NK 5/SB 5/SVP 8/NK 8/NK	EmoExpression::markable_20::EmoExpression=True|EmoExpression::markable_20::Uncertain=false|EmoExpression::markable_20::Intensity=strong|EmoExpression::markable_20::Sarcasm=false|EmoExpression::markable_20::SubjectiveFact=false|EmoExpression::markable_20::Polarity=positive case=nom|gender=masc|num=sg|EmoExpression::markable_20::EmoExpression=True case=nom|gender=masc|num=sg|pos=True case=nom|*=True|num=sg|Negation::markable_100500276::Negation=True|Negation::markable_100500276::EmoExpressionRef=empty pers=3|num=sg|tense=past|mood=ind case=nom|gender=fem|num=sg case=nom|gender=fem|num=sg _ _ EmoExpression::markable_21::EmoExpression=True|EmoExpression::markable_21::SubjectiveFact=false|EmoExpression::markable_21::Uncertain=false|EmoExpression::markable_21::Polarity=positive|EmoExpression::markable_21::Sarcasm=false|EmoExpression::markable_21::Intensity=strong
322049290530856961	mixed	72jähriger Leser regt sich bei mir über YouTube und Gema auf %PosSmiley	72jährig Leser regen sich bei ich über YouTube und Gema auf %PosSmiley	ADJA NN VVFIN PRF APPR PPER APPR NN KON NN PTKVZ ITJ	2/NK 3/SB 0/-- 3/OA 3/MO 5/NK 3/OP 7/NK 8/CD 9/CJ 3/SVP 11/NK	case=nom|Sentiment::markable_214::Sentiment=True|num=sg|Sentiment::markable_213::Sentiment=True|Source::markable_215::Source=True|gender=masc|pos=True case=nom|Sentiment::markable_214::Sentiment=True|num=sg|Sentiment::markable_213::Sentiment=True|Source::markable_215::Source=True|gender=masc EmoExpression::markable_216::Polarity=negative|EmoExpression::markable_216::Sarcasm=false|mood=ind|EmoExpression::markable_216::SubjectiveFact=false|pers=3|Sentiment::markable_214::Sentiment=True|num=sg|tense=pres|EmoExpression::markable_216::Uncertain=false|Sentiment::markable_213::Sentiment=True|EmoExpression::markable_216::EmoExpression=True|EmoExpression::markable_216::Intensity=medium case=acc|pers=3|num=sg|Sentiment::markable_213::Sentiment=True|Sentiment::markable_214::Sentiment=True|EmoExpression::markable_216::EmoExpression=True Sentiment::markable_214::Sentiment=True|Sentiment::markable_213::Sentiment=True case=dat|pers=1|num=sg|Sentiment::markable_213::Sentiment=True|Sentiment::markable_214::Sentiment=True|*=True Sentiment::markable_214::Sentiment=True|Sentiment::markable_213::Sentiment=True case=acc|Target::markable_217::Anaphref=empty|Sentiment::markable_213::Sentiment=True|gender=masc|Target::markable_217::Preferred=true|Sentiment::markable_214::Sentiment=True|num=pl|Target::markable_217::Target=True Sentiment::markable_214::Sentiment=True|Sentiment::markable_213::Sentiment=True case=acc|Sentiment::markable_213::Sentiment=True|gender=neut|Target::markable_218::Target=True|Sentiment::markable_214::Sentiment=True|num=sg|Target::markable_218::Preferred=true|Target::markable_218::Anaphref=empty Sentiment::markable_214::Sentiment=True|EmoExpression::markable_216::EmoExpression=True|Sentiment::markable_213::Sentiment=True EmoExpression::markable_22::Uncertain=false|EmoExpression::markable_22::Intensity=medium|EmoExpression::markable_22::Sarcasm=false|EmoExpression::markable_22::SubjectiveFact=false|Sentiment::markable_213::Sentiment=True|EmoExpression::markable_22::EmoExpression=True|EmoExpression::markable_22::Polarity=positive
328795339970707456	mixed	Ich Rejecte heute nur Tickets. Noch kein einziges bearbeitet. %PosSmiley	ich Rejecte heute nur Tickets. noch keine einzig bearbeitet. %PosSmiley	PPER NE ADV ADV NN ADV PIAT ADJA NE ITJ	2/SB 5/SB 2/MO 5/MO 0/-- 7/MO 9/NK 9/NK 0/-- 0/NK	case=nom|Sentiment::markable_100500277::Polarity=negative|Sentiment::markable_100500277::Intensity=weak|Source::markable_100500279::Anaphref=empty|*=True|Source::markable_100500279::Source=True|Sentiment::markable_100500277::Sarcasm=false|pers=1|num=sg|Sentiment::markable_100500277::Sentiment=True mood=ind|EmoExpression::markable_100500280::Polarity=negative|EmoExpression::markable_100500280::SubjectiveFact=false|EmoExpression::markable_100500280::Uncertain=false|pers=1|num=sg|tense=pres|EmoExpression::markable_100500280::Intensity=weak|Sentiment::markable_100500277::Sentiment=True|EmoExpression::markable_100500280::EmoExpression=True|EmoExpression::markable_100500280::Sarcasm=false Sentiment::markable_100500277::Sentiment=True Sentiment::markable_100500277::Sentiment=True case=nom|gender=masc|Sentiment::markable_100500277::Sentiment=True|num=sg Target::markable_26::Anaphref=empty|Sentiment::markable_25::Sarcasm=false|Sentiment::markable_25::Intensity=medium|Target::markable_26::Preferred=true|Sentiment::markable_25::Sentiment=True|Target::markable_26::Target=True|Sentiment::markable_25::Polarity=positive case=nom|gender=neut|Sentiment::markable_25::Sentiment=True|num=sg|Target::markable_26::Target=True case=nom|num=sg|gender=neut|Sentiment::markable_25::Sentiment=True|Target::markable_26::Target=True|pos=True case=nom|gender=neut|Sentiment::markable_25::Sentiment=True|num=sg EmoExpression::markable_23::SubjectiveFact=false|EmoExpression::markable_23::Intensity=medium|EmoExpression::markable_23::EmoExpression=True|EmoExpression::markable_23::Polarity=positive|Sentiment::markable_25::Sentiment=True|EmoExpression::markable_23::Uncertain=false|EmoExpression::markable_23::Sarcasm=false
328527588152705024	positive	Wirklich niemand Bedarf an Mädchenschuhen Gr. 26 und 28 oder 31?! Bittebitte nehmt sie mir ab! %PosSmiley	wirklich niemand Bedarf an Mädchenschuhen Gr. 26 und 28 oder 31?! Bittebitte nehmen sie ich ab! %PosSmiley	ADJD PIS NN APPR NN NN CARD KON CARD KON ADJA NN VVFIN PPER PRF ADJA ITJ	3/MO 3/NK 0/-- 3/MNR 4/NK 5/NK 6/PNC 7/CD 8/CJ 6/CD 10/CJ 13/SB 0/-- 13/SB 13/DA 13/MO 16/NK	pos=True case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg _ case=dat|gender=masc|num=pl gender=masc|*=True|num=sg _ _ _ _ _ case=nom|gender=fem|num=sg pers=3|num=sg|tense=pres|mood=ind case=acc|pers=3|*=True case=dat|*=True|num=sg|pers=1 _ EmoExpression::markable_24::Intensity=medium|EmoExpression::markable_24::Sarcasm=false|EmoExpression::markable_24::Uncertain=false|EmoExpression::markable_24::Polarity=positive|EmoExpression::markable_24::EmoExpression=True|EmoExpression::markable_24::SubjectiveFact=false
