positive	@HendricRuesch @tiniee76 für die @GalaLive reicht es halt noch nicht , wir üben hier erstmal :)
positive	RT @DaBiebahConvers : @DaBieberVans ja mach das mal ich will unedingt eien :) du weißt garnicht wie emotional ich gerade bin. ich gucke mi ...
positive	Rating - Update bei Cache me if you can ! :-) von Patchwork - Rudel - 1.5 / 4 ( 1.5 / 3.5 )
positive	Omg ich komm von der Schule und sehe dass @LikeAWannabe mir geschrieben hat *__________* :) &lt;3
positive	ein tag voller adrenalin und kalorien :) http://t.co/oboqFfMX3o
positive	Das war vielleicht ein Wochenende :-) Der SPD Bundesparteitag fand am Sonntag in Augsburg statt und wir waren in ... http://t.co/1mnv759RtL
negative	@Artmazing ich kann kein niederländisch :( well I understand some of it
positive	@Dr_Satan dann wäre ich bestimmt weiter gekommen ;-)
positive	@Sammy12355 nein haha :-D ich holsir iwann wenn ich mein money bekomm *--*
positive	RT @smu1401 : Der sollte nicht in China rumfahren :) http://t.co/Tnieeh2pyv
negative	@MsAmyCupcake @miutiful jetzt bin ich noch trauriger :(
negative	Warum kann ich eigentlich nicht mit Geld umgehen :((((((( ?
positive	@LaSaicK Ich kenne sie , folge ihr aber nicht und kann trotzdem alles lesen . ;-)
positive	Alleine auf der Baustelle arbeiten with my Meister :)
positive	@ylleza19 hier wenn du mir nicht glaubst : :) http://t.co/AZzID2I2GF
negative	die immerr sehrr unzuverrlasslikh ! ; Д ☏ @darkyBL00DYMary kein Anruf :( dann morgen !!!!! #iphone
positive	Ich wünsche mir gearde so sehr einen Tweet von dir zu bekommen :/ siehst du unsere Tweets überhaupt :( ♥ @HerrTutorial
positive	@joerg78 Nene , soweit wird ' s nicht kommen . :)
positive	Mondfinsterniss is in 2 min !! *-* Alle mal aus dem Fenster schaun ! ♥
negative	du hast mir immer noch kein Kaugummi gegeben :( — bald :-( http://t.co/bGF4n3CeNK
positive	Natürlich Tourdaten . Wo die Konzerte eh ausschließlich in Finnland stattfinden werden . - . - *
positive	@Fussel_SP ne , ich muss am mittwoch noch latein schreiben , dann hab ich mal ds schriftliche abi :) &amp; &amp; nach pfingsten is glaub dann mündlich .
positive	gleich #haarfarbe holeb :)) sie werden wieder #blond xD &lt;3 #bachtoblond #blondhair #love #like #follow
negative	RT @GratedChocolate : Konnte wieder kein tvd schauen :( . Muss morgen nachgeholt werden .
positive	Hmm ... * grübel * :-) RT @GastonStuttgart : Haa , mit Brille bin ich voll scharfgestellt .
positive	Kisten gepackt Schränke ausgewischt Fenster geputzt und gleich gibt es was zum Essen :-)
positive	@Melilicioous soll ich dir mal eins ausleihen ? :) ansonsten hab ich noch einma fallout3 zu verschenken :D
positive	Foto : bvbstern09 : Gefunden aber ich weiß nicht wo ich es gefunden habe :))) http://t.co/EBDt6vFEUw
positive	RT @isipisi5 : Hallo ! ❤ heute bin ich 2 Jahre auf Twitter ! :)
positive	In meinem Schulort steht ein Laden , der mich so ziemlich an @KeinVerzicht erinnert :)
positive	@Lk4You und Konsequenzen auf JEDEN Fall .. !!!!!! Uns fällt schon was ein .. !!!! :))) @Miss_Simsalabim &lt; = = :P:P:P:P ;))
negative	Liste Stronach - Mayr . Denkt denn niemand mehr an die Werte ? :(
positive	Ich will auch ihre Tochter sein :-((:D — Ich ja eigentlich auch . :((( http://t.co/VD491SE2GK
