324257473294917633	negative	Auf dem Tisch liegen Mozart Kugeln, ber ich will mich nicht bewegen... %NegSmiley	auf die Tisch liegen Mozart Kugeln, ber ich wollen ich nicht bewegen... %NegSmiley	APPR ART NN VVFIN NE NE VVFIN PPER VMFIN PPER PTKNEG ADJA ITJ	4/MO 3/NK 1/NK 0/-- 6/PNC 4/DA 4/MO 7/SB 7/MO 9/OA 9/NG 9/OC 12/NK	_ case=dat|gender=neut|num=sg case=dat|gender=neut|num=sg pers=3|num=pl|tense=pres|mood=ind case=acc|gender=masc|num=sg case=acc|gender=masc|num=sg Sentiment::markable_1::Sarcasm=false|Sentiment::markable_1::Intensity=medium|Sentiment::markable_1::Sentiment=True|Sentiment::markable_1::Polarity=negative case=nom|Target::markable_3::Anaphref=empty|*=True|Target::markable_3::Preferred=true|Sentiment::markable_1::Sentiment=True|pers=1|num=sg|Target::markable_3::Target=True pers=1|num=sg|tense=pres|mood=ind|Target::markable_3::Target=True|Sentiment::markable_1::Sentiment=True case=acc|pers=1|num=sg|Target::markable_3::Target=True|Sentiment::markable_1::Sentiment=True Target::markable_3::Target=True|Sentiment::markable_1::Sentiment=True Sentiment::markable_1::Sentiment=True EmoExpression::markable_2::Uncertain=false|EmoExpression::markable_2::Intensity=medium|EmoExpression::markable_2::Sarcasm=false|EmoExpression::markable_2::SubjectiveFact=false|EmoExpression::markable_2::Polarity=negative|EmoExpression::markable_2::EmoExpression=True|Sentiment::markable_1::Sentiment=True
322466137902305282	positive	Die Grünen in meiner Timeline, die gestern und heute Homöopathie erwähnt haben, glauben alle nicht an Hokuspokus. %PosSmiley undwiemirdasgefällt	die Grüne in mein Timeline, die gestern und heute Homöopathie erwähnen haben, glauben alle nicht an Hokuspokus. %PosSmiley undwiemirdasgefällt	ART NN APPR PPOSAT NN PDS ADV KON ADV NN VVFIN NE VVFIN PIS PTKNEG APPR NN ITJ ADJA	2/NK 13/SB 2/MNR 5/NK 3/NK 11/OA 11/MO 7/CD 10/MO 8/CJ 2/PAR 11/OA 0/-- 6/MNR 13/NG 13/OP 16/NK 19/NK 0/--	case=nom|*=True|num=pl case=nom|*=True|num=pl _ case=dat|gender=fem|num=sg case=dat|gender=fem|num=sg case=acc|gender=fem|num=sg _ _ _ case=acc|gender=fem|num=sg _ case=acc|*=True|num=sg pers=3|num=pl|tense=pres|mood=ind case=nom|*=True|num=pl _ _ case=dat|gender=fem|num=sg EmoExpression::markable_4::Uncertain=false|EmoExpression::markable_4::Sarcasm=false|EmoExpression::markable_4::SubjectiveFact=false|EmoExpression::markable_4::Intensity=medium|EmoExpression::markable_4::Polarity=positive|EmoExpression::markable_4::EmoExpression=True pers=3|num=sg|tense=pres|mood=ind
334035204907868161	negative	Warum denn nicht? %PosSmiley Leute, die FDP darf NICHT mehr gewählt werden!	warum denn nicht? %PosSmiley Leute, die FDP dürfen nicht mehr gewählt werden!	PWAV ADV ADJA ITJ NN ART NE VMFIN PTKNEG ADV ADJD ADJA	3/MO 3/MO 0/-- 3/NK 8/SB 7/NK 5/NK 0/-- 8/NG 9/MO 12/MO 8/OC	_ _ _ _ case=nom|gender=neut|num=sg case=acc|Sentiment::markable_100500199::Intensity=medium|Target::markable_100500200::Anaphref=empty|gender=fem|Target::markable_100500200::Preferred=true|num=sg|Sentiment::markable_100500199::Sentiment=True|Sentiment::markable_100500199::Sarcasm=false|Target::markable_100500200::Target=True|Sentiment::markable_100500199::Polarity=negative case=acc|gender=fem|num=sg|Target::markable_100500200::Target=True|Sentiment::markable_100500199::Sentiment=True pers=3|num=sg|tense=pres|mood=ind|Sentiment::markable_100500199::Sentiment=True Sentiment::markable_100500199::Sentiment=True Sentiment::markable_100500199::Sentiment=True Sentiment::markable_100500199::Sentiment=True _
332227763354361856	positive	=&gt;in der CH nicht vorstellbar... UK %PosSmiley Thronrede der Queen gibt Hinweise auf künftige britische Politik %Link via %User	=&gt;in die Ch nicht vorstellbar... UK %PosSmiley Thronrede die Queen geben Hinweis auf künftig britisch Politik %Link via %User	NN ART NE PTKNEG ADJA NE ITJ NN ART NN VVFIN NN APPR ADJA ADJA NN XY APPR NE	0/-- 3/NK 5/DA 5/NG 1/NK 11/SB 8/NK 11/OA 10/NK 8/AG 0/-- 11/OA 12/OP 16/NK 16/NK 13/NK 16/NK 16/MO 18/NK	case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg _ case=nom|gender=masc|num=sg|pos=True case=nom|*=True|num=sg mood=ind|EmoExpression::markable_6::SubjectiveFact=false|pers=3|EmoExpression::markable_6::Sarcasm=false|num=sg|tense=past|EmoExpression::markable_6::Intensity=medium|EmoExpression::markable_6::Uncertain=false|EmoExpression::markable_6::EmoExpression=True|EmoExpression::markable_6::Polarity=positive case=acc|gender=masc|num=pl case=gen|gender=fem|num=pl case=gen|gender=fem|num=pl pers=3|num=sg|tense=pres|mood=ind case=acc|gender=masc|num=pl _ case=acc|gender=masc|num=pl|pos=True case=acc|gender=fem|num=sg|pos=True case=acc|gender=fem|num=sg case=acc|gender=fem|num=sg _ case=nom|gender=masc|num=sg
334051924729004033	positive	Auch noch nach der Wahl ? %PosSmiley	auch noch nach die Wahl ? %PosSmiley	ADV ADV APPR ART NN $. ITJ	3/MO 3/MO 0/-- 5/NK 3/NK 5/-- 3/MO	_ _ _ case=dat|gender=fem|num=sg case=dat|gender=fem|num=sg _ EmoExpression::markable_7::EmoExpression=True|EmoExpression::markable_7::Uncertain=false|EmoExpression::markable_7::Intensity=medium|EmoExpression::markable_7::SubjectiveFact=false|EmoExpression::markable_7::Sarcasm=false|EmoExpression::markable_7::Polarity=positive
318818846251311104	negative	Schnee nicht. Aber vielleicht hat die örtliche Politik Ostern genutzt, um mal wieder "gute" Ideen zu haben %NegSmiley	Schnee nicht. aber vielleicht haben die örtlich Politik Ostern genutzt, um mal wieder "gute" Idee zu haben %NegSmiley	NN ADJA KON ADV VAFIN ART ADJA NN NN NE APPR ADV ADV NN NN PTKZU VAINF ITJ	2/SB 0/-- 5/JU 17/MO 0/-- 8/NK 8/NK 5/SB 10/NK 11/PD 8/MNR 11/MO 11/MO 11/NK 17/OA 17/PM 5/OC 17/NK	case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg|pos=True _ _ pers=3|num=sg|tense=pres|mood=ind case=nom|gender=fem|num=sg case=nom|gender=fem|num=sg|pos=True case=nom|gender=fem|num=sg pos=True _ _ _ _ case=acc|gender=fem|num=pl|Sentiment::markable_8::Sentiment=True case=acc|num=pl|Target::markable_9::Target=True|Target::markable_9::Anaphref=empty|gender=fem|Sentiment::markable_8::Sentiment=True|Target::markable_9::Preferred=true _ _ EmoExpression::markable_11::Intensity=medium|EmoExpression::markable_11::Sarcasm=false|EmoExpression::markable_11::SubjectiveFact=false|EmoExpression::markable_11::Polarity=negative|EmoExpression::markable_11::EmoExpression=True|EmoExpression::markable_11::Uncertain=false
322794897134481410	negative	Die Linke hat einen Vogel! ... zumindest wohnt er gerade hier. Kennt jemand ein passendes Weibchen? %PosSmiley uhu nasowas ...	die Linke haben eine Vogel! ... zumindest wohnen er gerade hier. kennen jemand eine passend Weibchen? %PosSmiley uhu nasowas ...	ART NN VAFIN ART NN $. ADV VVFIN PPER ADV NE VVFIN PIS ART ADJA NN ITJ NE NE $.	2/NK 3/SB 0/-- 5/NK 3/OA 0/-- 8/MO 0/-- 8/SB 8/MO 8/OA 0/-- 12/SB 16/NK 16/NK 12/OA 16/NK 19/PNC 0/-- 19/--	case=nom|Sentiment::markable_100500202::Intensity=medium|Target::markable_100500203::Preferred=true|gender=fem|Target::markable_100500203::Anaphref=empty|Sentiment::markable_100500202::Sarcasm=false|Sentiment::markable_100500202::Polarity=negative|num=sg|Target::markable_100500203::Target=True|Sentiment::markable_100500202::Sentiment=True case=nom|gender=fem|Sentiment::markable_100500202::Sentiment=True|num=sg|Target::markable_100500203::Target=True EmoExpression::markable_100500204::EmoExpression=True|EmoExpression::markable_100500204::Uncertain=false|mood=ind|EmoExpression::markable_100500204::SubjectiveFact=false|EmoExpression::markable_100500204::Polarity=negative|pers=3|EmoExpression::markable_100500204::Intensity=medium|num=sg|tense=pres|Sentiment::markable_100500202::Sentiment=True|EmoExpression::markable_100500204::Sarcasm=false case=acc|gender=masc|EmoExpression::markable_100500204::EmoExpression=True|num=sg|Sentiment::markable_100500202::Sentiment=True case=acc|gender=masc|Sentiment::markable_100500202::Sentiment=True|num=sg _ _ pers=3|num=sg|tense=pres|mood=ind case=nom|gender=masc|num=sg|pers=3 _ _ case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg case=acc|gender=neut|num=sg case=acc|gender=neut|num=sg|pos=True case=acc|gender=neut|num=sg EmoExpression::markable_12::Intensity=medium|EmoExpression::markable_12::Polarity=positive|EmoExpression::markable_12::Uncertain=false|EmoExpression::markable_12::Sarcasm=false|EmoExpression::markable_12::SubjectiveFact=false|EmoExpression::markable_12::EmoExpression=True _ _ _
332593120741056512	mixed	lassen sie jetzt die für die Grünen typische Besserwisserei und Belehrung raushängen? %PosSmiley	lassen sie jetzt die für die Grüne typisch Besserwisserei und Belehrung raushängen? %PosSmiley	VVFIN PPER ADV ART APPR ART NN ADJA NN KON NN VVFIN ITJ	0/-- 1/SB 1/MO 9/NK 8/MO 7/NK 5/NK 9/NK 1/OA 9/CD 10/CJ 9/NK 9/NK	pers=3|num=pl|tense=pres|mood=ind case=nom|*=True|num=pl|pers=3 _ case=acc|gender=fem|num=sg _ case=acc|*=True|num=pl case=acc|*=True|num=pl case=nom|gender=masc|num=sg|pos=True case=nom|EmoExpression::markable_100500339::Uncertain=false|gender=masc|EmoExpression::markable_100500339::Intensity=weak|EmoExpression::markable_100500339::Sarcasm=false|EmoExpression::markable_100500339::SubjectiveFact=false|num=sg|EmoExpression::markable_100500339::Polarity=negative|EmoExpression::markable_100500339::EmoExpression=True _ case=nom|gender=fem|num=sg pers=3|num=sg|tense=past|mood=ind EmoExpression::markable_13::Polarity=positive|EmoExpression::markable_13::EmoExpression=True|EmoExpression::markable_13::Uncertain=false|EmoExpression::markable_13::Intensity=medium|EmoExpression::markable_13::Sarcasm=false|EmoExpression::markable_13::SubjectiveFact=false
335493669887037440	positive	Cracknutte - Bardame - Merkel ... Die HeuteShow steigt wieder steil ein %PosSmiley	Cracknutte - Bardame - Merkel ... die HeuteShow steigen wieder steil ein %PosSmiley	ADJA $( NN $( NE $. ART NN VVFIN ADV ADJD PTKVZ ITJ	3/NK 1/-- 0/-- 3/-- 0/-- 5/-- 8/NK 9/SB 0/-- 9/MO 9/MO 9/SVP 9/DM	case=nom|Sentiment::markable_100500205::Sarcasm=false|EmoExpression::markable_100500208::Polarity=negative|Sentiment::markable_100500205::Polarity=positive|gender=masc|pos=True|EmoExpression::markable_100500208::Uncertain=false|Sentiment::markable_100500205::Sentiment=True|num=pl|EmoExpression::markable_100500208::SubjectiveFact=false|EmoExpression::markable_100500208::EmoExpression=True|EmoExpression::markable_100500208::Intensity=medium|Sentiment::markable_100500205::Intensity=medium|EmoExpression::markable_100500208::Sarcasm=false Sentiment::markable_100500205::Sentiment=True case=nom|EmoExpression::markable_100500207::Intensity=medium|EmoExpression::markable_100500207::SubjectiveFact=false|EmoExpression::markable_100500207::EmoExpression=True|gender=masc|EmoExpression::markable_100500207::Sarcasm=false|num=pl|EmoExpression::markable_100500207::Polarity=negative|Sentiment::markable_100500205::Sentiment=True|EmoExpression::markable_100500207::Uncertain=false Sentiment::markable_100500205::Sentiment=True case=nom|num=pl|Target::markable_100500206::Anaphref=empty|gender=masc|Target::markable_100500206::Preferred=true|Target::markable_100500206::Target=True|Sentiment::markable_100500205::Sentiment=True _ case=nom|gender=fem|num=sg case=nom|gender=fem|num=sg pers=3|num=sg|tense=pres|mood=ind _ pos=True _ EmoExpression::markable_14::Polarity=positive|EmoExpression::markable_14::Sarcasm=false|EmoExpression::markable_14::SubjectiveFact=false|EmoExpression::markable_14::Uncertain=false|EmoExpression::markable_14::Intensity=medium|EmoExpression::markable_14::EmoExpression=True
335154463545368578	positive	Hach Der Abend geht, %User erfrischt weiterhin den Bundestag %PosSmiley mitternachtsberatung	Hach die Abend geht, %User erfrischen weiterhin die Bundestag %PosSmiley mitternachtsberatung	NN ART NN NE NE VVFIN ADV ART NN ITJ ADJA	6/SB 3/NK 1/SB 5/PNC 3/NK 0/-- 6/MO 9/NK 6/OA 9/NK 6/MO	case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg pers=3|num=sg|tense=pres|mood=ind _ case=acc|gender=masc|num=sg case=acc|gender=masc|num=sg EmoExpression::markable_15::Polarity=positive|EmoExpression::markable_15::Intensity=medium|EmoExpression::markable_15::EmoExpression=True|EmoExpression::markable_15::SubjectiveFact=false|EmoExpression::markable_15::Sarcasm=false|EmoExpression::markable_15::Uncertain=false _
319664266158424064	mixed	:-[ Offizielles Smiley der Bundeskanzlerin der Bundesrepublik Deutschland %PosSmiley	:-[ Offizielle Smiley die Bundeskanzlerin die Bundesrepublik Deutschland %PosSmiley	$( NN NE ART NN ART NN NE ITJ	2/-- 0/-- 2/NK 5/NK 3/AG 7/NK 5/AG 7/NK 3/NK	EmoExpression::markable_100500209::Sarcasm=false|EmoExpression::markable_100500209::SubjectiveFact=false|EmoExpression::markable_100500209::EmoExpression=True|EmoExpression::markable_100500209::Uncertain=false|EmoExpression::markable_100500209::Polarity=negative|EmoExpression::markable_100500209::Intensity=medium case=nom|gender=neut|num=sg case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg case=gen|gender=fem|num=sg case=gen|gender=fem|num=sg case=gen|gender=fem|num=sg case=nom|gender=neut|num=sg EmoExpression::markable_16::Polarity=positive|EmoExpression::markable_16::Sarcasm=false|EmoExpression::markable_16::EmoExpression=True|EmoExpression::markable_16::SubjectiveFact=false|EmoExpression::markable_16::Uncertain=false|*=True|EmoExpression::markable_16::Intensity=medium
