319780665581264897	negative	JETZT gebe ich Player 6 den Todesstoss. Lange genug hat er sich gewehrt :)	jetzt geben ich Player 6 die Todesstoss. Lange genug haben er sich wehren :)	ADV VVFIN PPER NN CARD ART NN NE ADV VAFIN PPER PRF VVPP ADJA	2/MO 0/-- 2/SB 2/OA 4/NK 7/NK 2/OA 10/SB 8/MO 0/-- 10/SB 13/OA 10/OC 13/MO	Sentiment::markable_1::Sarcasm=false|Sentiment::markable_1::Intensity=medium|Sentiment::markable_1::Sentiment=True|Sentiment::markable_1::Polarity=negative pers=1|num=sg|tense=pres|mood=ind|Sentiment::markable_1::Sentiment=True case=nom|pers=1|num=sg|Source::markable_3::Anaphref=empty|*=True|Source::markable_3::Source=True|Sentiment::markable_1::Sentiment=True case=acc|num=sg|Target::markable_2::Anaphref=empty|gender=masc|Target::markable_2::Preferred=true|Target::markable_2::Target=True|Sentiment::markable_1::Sentiment=True Target::markable_2::Target=True|Sentiment::markable_1::Sentiment=True case=acc|gender=masc|num=sg|Sentiment::markable_1::Sentiment=True case=acc|gender=masc|num=sg case=nom|gender=masc|num=sg _ pers=3|num=sg|tense=pres|mood=ind case=nom|gender=masc|num=sg|pers=3 case=acc|pers=3|num=sg _ case=gen|EmoExpression::markable_5::Intensity=medium|gender=masc|EmoExpression::markable_5::EmoExpression=True|pos=True|EmoExpression::markable_5::Uncertain=false|num=pl|EmoExpression::markable_5::SubjectiveFact=false|EmoExpression::markable_5::Sarcasm=false|EmoExpression::markable_5::Polarity=positive
329242221637402626	positive	In den letzten 48 Stunden habe ich Ca 30 Chips gegessen. Heute Abend dafür ein Menü beim Italiener :-)	in die letzt 48 Stunde|Stunden haben ich ca 30 Chip gegessen. heute abend dafür eine Menü bei Italiener :-)	APPR ART ADJA CARD NN VAFIN PPER NE CARD NN NE ADV ADV PAV ART NN APPRART NN $(	6/MO 5/NK 5/NK 5/NK 1/NK 0/-- 6/SB 10/NK 10/NK 6/OA 10/NK 13/MO 16/JU 13/NK 16/NK 0/-- 16/MNR 17/NK 18/--	_ case=dat|gender=neut|num=pl case=dat|gender=neut|num=pl|pos=True _ case=acc|gender=fem|num=pl pers=1|num=sg|tense=pres|mood=ind case=nom|*=True|num=sg|pers=1 pers=1|num=sg|tense=pres|mood=ind _ case=dat|gender=masc|num=pl _ Target::markable_8::Target=True|Sentiment::markable_6::Polarity=positive|Sentiment::markable_6::Intensity=medium|Target::markable_8::Anaphref=empty|Sentiment::markable_6::Sentiment=True|Target::markable_8::Preferred=true|Sentiment::markable_6::Sarcasm=false Target::markable_8::Target=True|Sentiment::markable_6::Sentiment=True Target::markable_8::Target=True|Sentiment::markable_6::Sentiment=True case=acc|gender=neut|Sentiment::markable_6::Sentiment=True|num=sg|Target::markable_8::Target=True case=acc|gender=neut|Sentiment::markable_6::Sentiment=True|num=sg|Target::markable_8::Target=True case=dat|gender=masc|Sentiment::markable_6::Sentiment=True|num=sg|Target::markable_8::Target=True case=dat|gender=masc|Sentiment::markable_6::Sentiment=True|num=sg|Target::markable_8::Target=True EmoExpression::markable_7::EmoExpression=True|EmoExpression::markable_7::Uncertain=false|EmoExpression::markable_7::Intensity=medium|EmoExpression::markable_7::SubjectiveFact=false|Sentiment::markable_6::Sentiment=True|EmoExpression::markable_7::Sarcasm=false|EmoExpression::markable_7::Polarity=positive
327014426416922624	positive	Heute ist Welttag gegen den Lärm ich wünsche euch allen einen ruhigen Tag :)	heute sein Welttag gegen die Lärm ich wünschen ihr alle eine ruhig Tag :)	ADV VAFIN NN APPR ART NN PPER VVFIN PPER PIS ART ADJA NN ADJA	2/MO 0/-- 2/SB 3/MNR 6/NK 4/NK 8/SB 2/CJ 8/DA 7/NK 13/NK 13/NK 14/MO 8/MO	Sentiment::markable_10::Polarity=positive|Sentiment::markable_10::Sarcasm=false|Sentiment::markable_10::Intensity=weak|Sentiment::markable_10::Sentiment=True pers=3|num=sg|tense=pres|mood=ind|Sentiment::markable_10::Sentiment=True case=nom|Target::markable_11::Anaphref=empty|num=sg|Target::markable_11::Preferred=true|Sentiment::markable_10::Sentiment=True|Target::markable_11::Target=True|gender=masc Target::markable_11::Target=True|Sentiment::markable_10::Sentiment=True case=acc|gender=masc|num=sg|Sentiment::markable_10::Sentiment=True|Target::markable_11::Target=True case=acc|Sentiment::markable_10::Sentiment=True|EmoExpression::markable_100500236::Uncertain=false|gender=masc|EmoExpression::markable_100500236::EmoExpression=True|EmoExpression::markable_100500236::Polarity=negative|num=sg|EmoExpression::markable_100500236::Sarcasm=false|EmoExpression::markable_100500236::Intensity=medium|EmoExpression::markable_100500236::SubjectiveFact=false|Target::markable_11::Target=True case=nom|Source::markable_100500208::Source=True|Sentiment::markable_100500207::Sarcasm=false|Sentiment::markable_100500207::Polarity=positive|*=True|pers=1|num=sg|Source::markable_100500208::Anaphref=empty|Sentiment::markable_100500207::Sentiment=True|Sentiment::markable_100500207::Intensity=medium EmoExpression::markable_100500209::Sarcasm=false|mood=ind|EmoExpression::markable_100500209::Intensity=medium|pers=1|EmoExpression::markable_100500209::SubjectiveFact=false|num=sg|tense=pres|EmoExpression::markable_100500209::Polarity=positive|Sentiment::markable_100500207::Sentiment=True|EmoExpression::markable_100500209::EmoExpression=True|EmoExpression::markable_100500209::Uncertain=false case=dat|Target::markable_100500210::Anaphref=empty|Target::markable_100500210::Preferred=true|*=True|Target::markable_100500210::Target=True|pers=2|num=pl|Sentiment::markable_100500207::Sentiment=True case=dat|*=True|num=pl|Target::markable_100500210::Target=True|Sentiment::markable_100500207::Sentiment=True case=acc|gender=masc|num=sg|Sentiment::markable_100500207::Sentiment=True case=acc|EmoExpression::markable_100500211::Uncertain=false|gender=masc|EmoExpression::markable_100500211::Intensity=medium|pos=True|EmoExpression::markable_100500211::SubjectiveFact=false|EmoExpression::markable_100500211::Sarcasm=false|EmoExpression::markable_100500211::Polarity=positive|num=sg|EmoExpression::markable_100500211::EmoExpression=True|Sentiment::markable_100500207::Sentiment=True case=acc|gender=masc|num=sg|Sentiment::markable_100500207::Sentiment=True case=gen|EmoExpression::markable_9::Uncertain=false|EmoExpression::markable_9::Polarity=positive|EmoExpression::markable_9::Sarcasm=false|gender=fem|pos=True|EmoExpression::markable_9::SubjectiveFact=false|num=sg|EmoExpression::markable_9::Intensity=medium|Sentiment::markable_100500207::Sentiment=True|EmoExpression::markable_9::EmoExpression=True
326101031673028608	positive	Heute bis zu 15° kann wieder mit dem rad fahren :)	heute bis zu 15° können wieder mit die rad fahren :)	ADV KON PTKA ADJD VMFIN ADV APPR PDS PTKVZ VVFIN ADJA	5/MO 1/CD 4/MO 2/CJ 0/-- 5/MO 10/MO 7/NK 11/MO 5/OC 10/SB	Sentiment::markable_12::Sentiment=True|Sentiment::markable_12::Polarity=positive|Sentiment::markable_12::Sarcasm=false|Sentiment::markable_12::Intensity=medium Sentiment::markable_12::Sentiment=True Sentiment::markable_12::Sentiment=True Sentiment::markable_12::Sentiment=True pers=3|Sentiment::markable_12::Sentiment=True|num=sg|tense=pres|mood=ind Target::markable_13::Preferred=true|Sentiment::markable_12::Sentiment=True|Target::markable_13::Target=True|Target::markable_13::Anaphref=empty Sentiment::markable_12::Sentiment=True|Target::markable_13::Target=True case=dat|gender=neut|num=sg|Sentiment::markable_12::Sentiment=True|Target::markable_13::Target=True Sentiment::markable_12::Sentiment=True|Target::markable_13::Target=True pers=3|Sentiment::markable_12::Sentiment=True|num=pl|tense=pres|mood=ind|Target::markable_13::Target=True case=acc|EmoExpression::markable_14::Polarity=positive|EmoExpression::markable_14::SubjectiveFact=false|Sentiment::markable_12::Sentiment=True|EmoExpression::markable_14::Sarcasm=false|gender=masc|EmoExpression::markable_14::Intensity=medium|pos=True|num=sg|EmoExpression::markable_14::Uncertain=false|EmoExpression::markable_14::EmoExpression=True
322239999795929088	positive	Wie gerne ich jetzt BioShock Infinite spielen würde. Muss. Mich. Gedulden. :(	wie gerne ich jetzt BioShock Infinite spielen würde. Muss. Mich. Gedulden. :(	KOKOM ADV PPER ADV NN NN VVFIN ADJA NN NE NE ADJA	2/MO 7/MO 2/SB 2/MO 7/OA 5/NK 0/-- 7/MO 0/-- 0/-- 0/-- 0/--	Sentiment::markable_15::Intensity=medium|Sentiment::markable_15::Sarcasm=false|Intensifier::markable_19::Degree=medium|Sentiment::markable_15::Polarity=positive|Intensifier::markable_19::EmoExpressionRef=emo-expression:markable_18|Sentiment::markable_15::Sentiment=True|Intensifier::markable_19::Intensifier=True EmoExpression::markable_18::EmoExpression=True|EmoExpression::markable_18::SubjectiveFact=false|EmoExpression::markable_18::Uncertain=false|Sentiment::markable_15::Sentiment=True|EmoExpression::markable_18::Polarity=positive|EmoExpression::markable_18::Sarcasm=false|EmoExpression::markable_18::Intensity=medium case=nom|pers=1|num=sg|Source::markable_16::Source=True|Sentiment::markable_15::Sentiment=True|*=True|Source::markable_16::Anaphref=empty Sentiment::markable_15::Sentiment=True case=acc|Target::markable_17::Target=True|num=sg|Target::markable_17::Preferred=true|Sentiment::markable_15::Sentiment=True|gender=masc|Target::markable_17::Anaphref=empty case=acc|gender=masc|num=sg|Target::markable_17::Target=True|Sentiment::markable_15::Sentiment=True Sentiment::markable_15::Sentiment=True|Target::markable_17::Target=True case=acc|num=sg|Target::markable_21::Target=True|Sentiment::markable_20::Sentiment=True|gender=masc|pos=True case=nom|gender=masc|num=sg|Target::markable_21::Target=True|Sentiment::markable_20::Sentiment=True case=nom|gender=masc|num=sg|Target::markable_21::Target=True|Sentiment::markable_20::Sentiment=True case=nom|gender=neut|num=sg|Sentiment::markable_20::Sentiment=True EmoExpression::markable_22::Uncertain=false|EmoExpression::markable_22::Intensity=medium|EmoExpression::markable_22::Sarcasm=false|EmoExpression::markable_22::SubjectiveFact=false|EmoExpression::markable_22::EmoExpression=True|Sentiment::markable_20::Sentiment=True|EmoExpression::markable_22::Polarity=negative
319056818867412993	positive	@NoFate_NoFear im Gegenteil ;-) Ich darf den Railjet beglücken :D	@NoFate_NoFear in Gegenteil ;-) ich dürfen die Railjet beglücken :D	ADJD APPRART NN $( PPER VMFIN ART NN VVFIN ADJA	0/-- 6/MO 2/NK 3/-- 6/SB 0/-- 8/NK 9/OA 6/OC 9/MO	pos=True case=dat|gender=neut|num=sg case=dat|gender=neut|num=sg EmoExpression::markable_23::SubjectiveFact=false|EmoExpression::markable_23::Intensity=medium|EmoExpression::markable_23::EmoExpression=True|EmoExpression::markable_23::Polarity=positive|EmoExpression::markable_23::Uncertain=false|EmoExpression::markable_23::Sarcasm=false case=nom|*=True|num=sg|pers=1 pers=1|num=sg|tense=pres|mood=ind case=acc|gender=masc|num=sg case=acc|gender=masc|num=sg EmoExpression::markable_100500206::Uncertain=false|EmoExpression::markable_100500206::Intensity=medium|EmoExpression::markable_100500206::Sarcasm=false|EmoExpression::markable_100500206::SubjectiveFact=false|EmoExpression::markable_100500206::Polarity=positive|EmoExpression::markable_100500206::EmoExpression=True case=acc|EmoExpression::markable_24::Sarcasm=false|gender=masc|pos=True|EmoExpression::markable_24::Intensity=medium|num=sg|EmoExpression::markable_24::Uncertain=false|EmoExpression::markable_24::Polarity=positive|EmoExpression::markable_24::EmoExpression=True|EmoExpression::markable_24::SubjectiveFact=false
319142916239015936	positive	Ah endlich geht mein handy wieder :)))	ah endlich gehen mein Handy wieder :)))	ITJ ADV VVFIN PPOSAT NE ADV ADJA	7/NK 3/MO 0/-- 5/NK 3/SB 3/MO 3/MO	EmoExpression::markable_29::Intensity=medium|Sentiment::markable_25::Polarity=positive|EmoExpression::markable_29::EmoExpression=True|EmoExpression::markable_29::Uncertain=false|EmoExpression::markable_29::Polarity=positive|EmoExpression::markable_29::Sarcasm=false|Sentiment::markable_25::Intensity=medium|Sentiment::markable_25::Sentiment=True|EmoExpression::markable_29::SubjectiveFact=false|Sentiment::markable_25::Sarcasm=false EmoExpression::markable_30::EmoExpression=True|EmoExpression::markable_30::Uncertain=false|EmoExpression::markable_30::Intensity=medium|EmoExpression::markable_30::SubjectiveFact=false|EmoExpression::markable_30::Polarity=positive|EmoExpression::markable_30::Sarcasm=false|Sentiment::markable_25::Sentiment=True Target::markable_26::Anaphref=empty|mood=ind|Target::markable_26::Preferred=true|pers=3|num=sg|tense=pres|Sentiment::markable_25::Sentiment=True|Target::markable_26::Target=True case=nom|gender=masc|Sentiment::markable_25::Sentiment=True|num=sg|Target::markable_26::Target=True case=nom|gender=masc|Sentiment::markable_25::Sentiment=True|num=sg|Target::markable_26::Target=True Sentiment::markable_25::Sentiment=True|Target::markable_26::Target=True *=True|pos=True|EmoExpression::markable_27::EmoExpression=True|EmoExpression::markable_27::Uncertain=false|EmoExpression::markable_27::Intensity=medium|EmoExpression::markable_27::SubjectiveFact=false|EmoExpression::markable_27::Polarity=positive|EmoExpression::markable_27::Sarcasm=false|Sentiment::markable_25::Sentiment=True
322052690572099584	positive	@83_adnan Ja, aber Greys Anatomy geht vor!! :-)	@83_adnan Ja, aber Greys Anatomy gehen vor!! :-)	NE NE KON NE NE VVFIN ADJA $(	0/-- 6/SB 2/CD 5/PNC 3/CJ 0/-- 6/MO 0/--	case=nom|num=sg|Sentiment::markable_31::Intensity=medium|gender=neut|Sentiment::markable_31::Sentiment=True|Sentiment::markable_31::Sarcasm=false|Sentiment::markable_31::Polarity=positive case=nom|*=True|num=sg|Sentiment::markable_31::Sentiment=True Sentiment::markable_31::Sentiment=True case=nom|Target::markable_32::Target=True|num=sg|Target::markable_32::Anaphref=empty|Target::markable_32::Preferred=true|*=True|Sentiment::markable_31::Sentiment=True case=nom|*=True|Target::markable_32::Target=True|num=sg|Sentiment::markable_31::Sentiment=True Target::markable_32::Target=True|EmoExpression::markable_100500237::Polarity=positive|mood=ind|EmoExpression::markable_100500237::Uncertain=true|EmoExpression::markable_100500237::Intensity=medium|EmoExpression::markable_100500237::Sarcasm=false|EmoExpression::markable_100500237::SubjectiveFact=false|pers=3|num=sg|tense=pres|EmoExpression::markable_100500237::EmoExpression=True|Sentiment::markable_31::Sentiment=True case=acc|gender=masc|num=pl|pos=True|Sentiment::markable_31::Sentiment=True EmoExpression::markable_34::SubjectiveFact=false|EmoExpression::markable_34::Intensity=medium|EmoExpression::markable_34::EmoExpression=True|EmoExpression::markable_34::Polarity=positive|Sentiment::markable_31::Sentiment=True|EmoExpression::markable_34::Uncertain=false|EmoExpression::markable_34::Sarcasm=false
324402230012821504	neutral	@FrauGluckstein Einigen wir uns auf Schokopudding aus Deinem Bauchnabel ,-)	@FrauGluckstein Einigen wir wir auf Schokopudding aus dein Bauchnabel ,-)	NN NN PPER PRF APPR NN APPR PPOSAT NN $(	0/-- 0/-- 2/SB 2/OA 2/MO 5/NK 6/MNR 9/NK 7/NK 9/--	case=nom|gender=masc|num=sg pers=1|num=pl|tense=pres|mood=ind case=nom|*=True|num=pl|pers=1 case=acc|pers=1|num=pl _ case=acc|gender=masc|num=sg _ case=dat|gender=neut|num=sg case=dat|gender=neut|num=sg EmoExpression::markable_100500212::EmoExpression=True
326758608698232832	negative	@buntgestreift_ ich schon.. Kelloggs mag ich nämlich nicht ;-) @_Schlumpfinchen	@buntgestreift_ ich schon.. Kelloggs mögen ich nämlich nicht ;-) @_Schlumpfinchen	NN PPER ADJA NN VMFIN PPER ADV PTKNEG $( NN	0/-- 3/SB 0/-- 5/SB 0/-- 5/SB 5/MO 5/NG 8/-- 5/OA	case=nom|gender=neut|num=sg case=nom|*=True|num=sg|pers=1 pers=1|num=sg|tense=pres|mood=ind case=nom|Sentiment::markable_35::Intensity=medium|gender=masc|Target::markable_36::Target=True|Sentiment::markable_35::Sentiment=True|Target::markable_36::Anaphref=empty|num=sg|Target::markable_36::Preferred=true|Sentiment::markable_35::Sarcasm=false|Sentiment::markable_35::Polarity=negative EmoExpression::markable_37::Uncertain=false|mood=ind|EmoExpression::markable_37::Sarcasm=false|Sentiment::markable_35::Sentiment=True|pers=3|EmoExpression::markable_37::EmoExpression=True|num=sg|tense=pres|EmoExpression::markable_37::Intensity=medium|EmoExpression::markable_37::SubjectiveFact=false|EmoExpression::markable_37::Polarity=positive case=nom|pers=1|num=sg|Source::markable_38::Source=True|*=True|Source::markable_38::Anaphref=empty|Sentiment::markable_35::Sentiment=True Sentiment::markable_35::Sentiment=True Sentiment::markable_35::Sentiment=True|Negation::markable_39::EmoExpressionRef=empty|Negation::markable_39::Negation=True EmoExpression::markable_40::Sarcasm=false|EmoExpression::markable_40::EmoExpression=True|EmoExpression::markable_40::Uncertain=false|EmoExpression::markable_40::Intensity=medium|EmoExpression::markable_40::SubjectiveFact=false|EmoExpression::markable_40::Polarity=positive|Sentiment::markable_35::Sentiment=True case=acc|gender=masc|num=sg
324404078887182336	negative	Ich muss am Montag Artikel und Konzepte abgeben. Ich glaub, ich arbeite am WE, während Ihr grillt und twittere heute aus dem Biergarten. ;-)	ich müssen an Montag Artikel und Konzept abgeben. ich glaub, ich arbeiten an WE, während sie grillen und twittere heute aus die Biergarten. ;-)	PPER VMFIN APPRART NN NN KON NN VVFIN PPER NE PPER VVFIN APPRART NE APPR PPER VVFIN KON VVFIN ADV APPR ART NN $(	2/SB 0/-- 8/MO 3/NK 8/OA 5/CD 6/CJ 2/OC 10/SB 12/PD 12/SB 0/-- 12/MO 13/NK 12/MO 17/SB 12/CJ 17/CD 18/CJ 19/MO 19/MO 23/NK 21/NK 0/--	case=nom|*=True|num=sg|pers=1 pers=1|num=sg|tense=pres|mood=ind case=dat|gender=masc|num=sg case=dat|gender=masc|num=sg case=nom|gender=masc|num=sg _ case=acc|gender=neut|num=pl _ case=nom|Sentiment::markable_42::Sentiment=True|Sentiment::markable_42::Sarcasm=false|*=True|Sentiment::markable_42::Polarity=negative|pers=1|num=sg|Sentiment::markable_42::Intensity=weak pers=1|Sentiment::markable_42::Sentiment=True|num=sg|tense=pres|mood=ind case=nom|Sentiment::markable_42::Sentiment=True|*=True|pers=1|num=sg|Target::markable_43::Target=True|Target::markable_43::Preferred=true|Target::markable_43::Anaphref=empty pers=1|Sentiment::markable_42::Sentiment=True|num=sg|tense=pres|mood=ind|Target::markable_43::Target=True case=dat|gender=neut|num=sg|Target::markable_43::Target=True|Sentiment::markable_42::Sentiment=True case=dat|gender=neut|num=sg|Sentiment::markable_42::Sentiment=True Sentiment::markable_42::Sentiment=True case=nom|*=True|num=pl|Sentiment::markable_42::Sentiment=True|pers=2 pers=3|Sentiment::markable_42::Sentiment=True|num=sg|tense=pres|mood=ind _ pers=3|num=sg|tense=pres|mood=subj _ _ case=dat|gender=neut|num=sg case=dat|gender=neut|num=sg EmoExpression::markable_41::EmoExpression=True|EmoExpression::markable_41::Uncertain=false|EmoExpression::markable_41::Intensity=medium|EmoExpression::markable_41::SubjectiveFact=false|EmoExpression::markable_41::Polarity=positive|EmoExpression::markable_41::Sarcasm=false
