322366239513141248	positive	@knorx100 ja das stimmt, aber bislang habe ich dich auch noch nicht auf ein foto gesehen :)	@knorx100 ja die stimmt, aber bislang haben ich du auch noch nicht auf eine Foto sehen :)	NN ADV ART NE ADV ADV VAFIN PPER PPER ADV ADV PTKNEG APPR ART NN VVPP ADJD	0/-- 4/MO 4/NK 7/SB 7/MO 16/MO 0/-- 7/SB 16/OA 12/MO 12/MO 16/NG 16/MO 15/NK 13/NK 7/OC 16/PD	_ _ case=nom|gender=neut|num=sg case=nom|gender=neut|num=sg _ _ pers=1|num=sg|tense=pres|mood=ind case=nom|*=True|num=sg|pers=1 case=acc|gender=neut|num=sg|pers=3 _ _ _ _ case=acc|gender=neut|num=sg case=acc|gender=neut|num=sg _ EmoExpression::markable_1::SubjectiveFact=false|EmoExpression::markable_1::EmoExpression=True|EmoExpression::markable_1::Uncertain=false|EmoExpression::markable_1::Polarity=positive|EmoExpression::markable_1::Sarcasm=false|pos=True|EmoExpression::markable_1::Intensity=medium
328199569202618368	positive	@_Misanthrop_ ich werde versuchen, damit klarzukommen :)	@_Misanthrop_ ich werden versuchen, damit klarkommen :)	NN PPER VAFIN NE PAV VVIZU ADJD	0/-- 3/SB 0/-- 6/OA 6/NK 3/OC 3/PD	case=nom|gender=neut|num=sg case=nom|*=True|num=sg|pers=1 pers=1|num=sg|tense=pres|mood=ind case=acc|*=True|num=sg _ _ EmoExpression::markable_2::Uncertain=false|EmoExpression::markable_2::Intensity=medium|EmoExpression::markable_2::Sarcasm=false|EmoExpression::markable_2::SubjectiveFact=false|EmoExpression::markable_2::Polarity=positive|pos=True|EmoExpression::markable_2::EmoExpression=True
322408110226538496	positive	@leax3xd na siehst du, ist doch schon fast alles :) :*	@leax3xd na sehen du, sein doch schon fast alle :) :*	NN ITJ VVFIN NE VAFIN ADV ADV ADV PIAT ADJA NN	0/-- 4/NK 4/PNC 5/SB 0/-- 5/MO 5/MO 9/MO 11/NK 11/NK 5/PD	case=nom|gender=neut|num=sg _ pers=3|num=sg|tense=pres|mood=ind case=nom|*=True|num=sg pers=3|num=sg|tense=pres|mood=ind _ _ _ case=nom|gender=neut|num=sg case=nom|EmoExpression::markable_3::EmoExpression=True|gender=neut|EmoExpression::markable_3::SubjectiveFact=false|pos=True|EmoExpression::markable_3::Sarcasm=false|EmoExpression::markable_3::Intensity=medium|num=sg|EmoExpression::markable_3::Polarity=positive|EmoExpression::markable_3::Uncertain=false case=nom|EmoExpression::markable_4::Uncertain=false|gender=neut|EmoExpression::markable_4::SubjectiveFact=false|EmoExpression::markable_4::Polarity=positive|EmoExpression::markable_4::EmoExpression=True|num=sg|EmoExpression::markable_4::Sarcasm=false|EmoExpression::markable_4::Intensity=medium
327510965354627072	positive	@FredPoulin98 aus München komm ich! Aber ich wohn jetzt in Montreal :)	@FredPoulin98 aus München kommen ich! aber ich wohnen jetzt in Montreal :)	NN APPR NE VVIMP ADJA KON PPER VVIMP ADV APPR NE ADJA	0/-- 0/-- 2/NK 2/MO 2/MO 12/JU 12/SB 12/NK 8/MO 12/MO 10/NK 0/--	case=nom|gender=fem|num=pl _ case=dat|gender=neut|num=sg pers=2|num=sg|mood=imp *=True|pos=True _ case=nom|*=True|num=sg|pers=1 pers=1|num=sg|tense=pres|mood=ind _ _ case=dat|gender=neut|num=sg case=gen|EmoExpression::markable_5::Intensity=medium|gender=masc|EmoExpression::markable_5::EmoExpression=True|pos=True|EmoExpression::markable_5::Uncertain=false|num=pl|EmoExpression::markable_5::SubjectiveFact=false|EmoExpression::markable_5::Sarcasm=false|EmoExpression::markable_5::Polarity=positive
323813304894103552	positive	@stevenegal i has nid gseh, aber ha gnüg tue mit lüt wo s'gfühl hän e HR yytrag eröffni ihres persönliche eldorado :*)	@stevenegal i has nid gseh, aber ha gnüg tun mit lüt wo s'gfühl hän e HR yytrag eröffni ihr persönlich eldorado :*)	ADJD NE NE VVFIN NE KON NE ADJD VVFIN APPR NN PWAV NN ADJD ADJA NE NN NE PPOSAT ADJA NN ADJA	0/-- 3/PNC 4/MO 0/-- 4/OA 5/CD 6/CJ 4/MO 4/OC 9/MO 10/NK 22/MO 15/SB 15/MO 22/MO 17/NK 15/SB 17/NK 21/NK 21/NK 22/OA 9/CJ	pos=True _ _ pers=3|num=sg|tense=past|mood=ind case=nom|*=True|num=sg _ case=nom|*=True|num=sg pos=True pers=3|num=sg|tense=pres|mood=subj _ case=dat|gender=fem|num=sg _ case=dat|gender=fem|num=sg _ _ _ case=acc|gender=masc|num=sg _ case=gen|gender=masc|num=sg case=nom|gender=fem|num=sg|pos=True case=nom|gender=fem|num=sg case=nom|gender=fem|EmoExpression::markable_6::SubjectiveFact=false|pos=True|EmoExpression::markable_6::Sarcasm=false|num=sg|EmoExpression::markable_6::Uncertain=false|EmoExpression::markable_6::Intensity=medium|EmoExpression::markable_6::EmoExpression=True|EmoExpression::markable_6::Polarity=positive
323834802757332992	neutral	Da ist auch die nächste Folge vom KSV. Heute in der Europa League gegen die Queen es Park Rangers :-)... http://t.co/NsBgKPthKA	da sein auch die nah Folge von KSV. heute in die Europa League gegen die Queen es Park Rangers :-)... http://t.co/NsBgKPthKA	ADV VAFIN ADV ART ADJA NN APPRART NN ADV APPR ART NE NE APPR ART NN PPER NN NN ADJA NN	2/MO 0/-- 6/MO 6/NK 6/NK 2/SB 6/MNR 7/NK 8/MNR 20/MO 13/NK 13/PNC 10/NK 20/MO 16/NK 14/NK 18/NK 16/PAR 18/NK 9/CC 0/--	_ pers=3|num=sg|tense=pres|mood=ind _ case=nom|gender=fem|num=sg case=nom|gender=fem|num=sg|pos=True case=nom|gender=fem|num=sg case=dat|gender=masc|num=sg case=dat|gender=masc|num=sg _ _ case=dat|gender=fem|num=sg case=dat|gender=fem|num=sg case=acc|gender=fem|num=sg _ case=acc|gender=fem|num=pl case=acc|gender=fem|num=pl case=nom|gender=neut|num=sg|pers=3 case=nom|gender=masc|num=sg case=gen|gender=masc|num=sg case=gen|gender=masc|num=sg|pos=True _
323568753000468481	mixed	Fuck my life ich habe nur noch 10 Minuten Internet, aber würde gerne die ganze Nacht durch James Arthur hören. :(	Fuck my life ich haben nur noch 10 Minute Internet, aber werden gerne die ganz Nacht durch James Arthur hören. :(	NN NE VVFIN PPER VAFIN ADV ADV CARD NN NE ADV VAFIN ADV ART ADJA NN APPR NE NE NE ADJA	3/MO 1/NK 0/-- 5/SB 3/OC 8/MO 8/MO 9/NK 5/OA 9/NK 9/MNR 5/CJ 5/MO 16/NK 16/NK 5/OA 16/MNR 17/NK 18/CD 19/NK 0/--	EmoExpression::markable_9::Uncertain=false|EmoExpression::markable_9::Polarity=negative|Sentiment::markable_8::Intensity=strong|Sentiment::markable_8::Sentiment=True|EmoExpression::markable_9::SubjectiveFact=false|Sentiment::markable_8::Sarcasm=false|EmoExpression::markable_9::Intensity=strong|EmoExpression::markable_9::Sarcasm=false|Sentiment::markable_8::Polarity=negative|EmoExpression::markable_9::EmoExpression=True Sentiment::markable_8::Sentiment=True|EmoExpression::markable_9::EmoExpression=True pers=1|num=sg|tense=pres|mood=ind|Sentiment::markable_8::Sentiment=True|EmoExpression::markable_9::EmoExpression=True case=nom|Target::markable_10::Anaphref=empty|Source::markable_12::Anaphref=empty|Target::markable_10::Target=True|Source::markable_12::Source=True|*=True|Sentiment::markable_8::Sentiment=True|pers=1|num=sg|Target::markable_10::Preferred=true pers=1|num=sg|tense=pres|mood=ind|Sentiment::markable_8::Sentiment=True|Target::markable_10::Target=True Sentiment::markable_8::Sentiment=True|Target::markable_10::Target=True Sentiment::markable_8::Sentiment=True|Target::markable_10::Target=True Sentiment::markable_8::Sentiment=True|Target::markable_10::Target=True case=acc|gender=fem|num=pl|Target::markable_10::Target=True|Sentiment::markable_8::Sentiment=True case=nom|gender=neut|num=sg _ Sentiment::markable_100500206::Polarity=positive|mood=subj|Sentiment::markable_100500206::Intensity=medium|Sentiment::markable_100500206::Sarcasm=false|Sentiment::markable_100500206::Sentiment=True|pers=3|num=sg|tense=past EmoExpression::markable_100500207::Intensity=medium|EmoExpression::markable_100500207::SubjectiveFact=false|EmoExpression::markable_100500207::EmoExpression=True|EmoExpression::markable_100500207::Polarity=positive|Sentiment::markable_100500206::Sentiment=True|EmoExpression::markable_100500207::Sarcasm=false|EmoExpression::markable_100500207::Uncertain=false case=acc|num=sg|Target::markable_100500208::Target=True|Target::markable_100500208::Preferred=true|gender=fem|Target::markable_100500208::Anaphref=empty|Sentiment::markable_100500206::Sentiment=True case=acc|num=sg|Target::markable_100500208::Target=True|gender=fem|pos=True|Sentiment::markable_100500206::Sentiment=True case=acc|gender=fem|num=sg|Target::markable_100500208::Target=True|Sentiment::markable_100500206::Sentiment=True Target::markable_100500208::Target=True|Sentiment::markable_100500206::Sentiment=True case=acc|gender=neut|num=sg|Target::markable_100500208::Target=True|Sentiment::markable_100500206::Sentiment=True case=acc|gender=neut|num=sg|Target::markable_100500208::Target=True|Sentiment::markable_100500206::Sentiment=True Sentiment::markable_100500206::Sentiment=True EmoExpression::markable_11::Intensity=medium|EmoExpression::markable_11::Sarcasm=false|EmoExpression::markable_11::SubjectiveFact=false|EmoExpression::markable_11::Polarity=negative|EmoExpression::markable_11::EmoExpression=True|EmoExpression::markable_11::Uncertain=false|Sentiment::markable_100500206::Sentiment=True
328038483472035840	positive	RT @1LIVE_Kinomann: Sowas sehen sonst nur Laudatoren. Und ich natürlich :-) #DeutscherFilmpreis2013 Morgen Vormittag in @1LIVE http://t.co/...	RT @1LIVE_Kinomann: sowas sehen sonst nur Laudatoren. und ich natürlich :-) #DeutscherFilmpreis2013 Morgen Vormittag in @1LIVE http://t.co/...	NE ADJD PIS VVFIN ADV ADV NE KON PPER ADV $( CARD NN NN APPR ADJA NN	0/-- 1/PD 4/SB 0/-- 4/MO 7/MO 4/OA 13/JU 13/NK 9/MO 10/-- 13/NK 0/-- 13/NK 13/MNR 15/NK 0/--	case=nom|*=True|num=sg pos=True _ _ _ _ *=True _ case=nom|*=True|num=sg|pers=1 _ EmoExpression::markable_13::Polarity=positive|EmoExpression::markable_13::EmoExpression=True|EmoExpression::markable_13::Uncertain=false|EmoExpression::markable_13::Intensity=medium|EmoExpression::markable_13::Sarcasm=false|EmoExpression::markable_13::SubjectiveFact=false _ case=acc|gender=fem|num=pl case=acc|gender=masc|num=sg _ case=dat|gender=neut|num=pl|pos=True _
322462276546342912	positive	@xymlop dann Checks ich trotzdem nicht :) haha	@xymlop dann Checks ich trotzdem nicht :) haha	NN ADV NN PPER PAV PTKNEG ADJA NN	0/-- 3/MO 0/-- 3/SB 8/NK 7/NG 8/NK 3/OA	case=nom|gender=masc|num=sg _ pers=1|num=sg|tense=pres|mood=ind case=nom|*=True|num=sg|pers=1 _ _ EmoExpression::markable_14::Polarity=positive|EmoExpression::markable_14::Sarcasm=false|EmoExpression::markable_14::SubjectiveFact=false|EmoExpression::markable_14::Uncertain=false|EmoExpression::markable_14::Intensity=medium|EmoExpression::markable_14::EmoExpression=True EmoExpression::markable_15::Polarity=positive|EmoExpression::markable_15::Intensity=medium|EmoExpression::markable_15::EmoExpression=True|EmoExpression::markable_15::SubjectiveFact=false|EmoExpression::markable_15::Sarcasm=false|EmoExpression::markable_15::Uncertain=false
322327651975049216	positive	#Stadtwerke.. Hatte vergessen, nach Umzug die Endabrechnung zu begleichen :-) ... Direkt mal bezahlt. Sonst kommt Dog.. Mit seiner Frau... ;)	#Stadtwerke.. haben vergessen, nach Umzug die Endabrechnung zu begleichen :-) ... Direkt mal bezahlt. sonst kommen Dog.. mit sein Frau... ;)	NN VAFIN NE APPR NN ART NN PTKZU VVINF $( $. NN ADV NN ADV VVFIN NE APPR PPOSAT NN ADJA	0/-- 0/-- 2/SB 9/MO 4/NK 7/NK 9/OA 9/PM 2/OC 9/-- 10/-- 0/-- 12/MO 12/PD 16/MO 0/-- 16/SB 0/-- 20/NK 18/NK 0/--	case=nom|gender=neut|num=sg pers=3|num=sg|tense=past|mood=ind case=nom|*=True|num=sg _ case=dat|gender=masc|num=sg case=acc|gender=fem|num=sg case=acc|gender=fem|num=sg _ _ EmoExpression::markable_17::SubjectiveFact=false|EmoExpression::markable_17::Polarity=positive|EmoExpression::markable_17::EmoExpression=True|EmoExpression::markable_17::Sarcasm=false|EmoExpression::markable_17::Uncertain=false|EmoExpression::markable_17::Intensity=medium _ pos=True _ pos=True _ pers=3|num=sg|tense=pres|mood=ind case=nom|*=True|num=sg _ case=dat|gender=fem|num=sg case=dat|gender=fem|num=sg EmoExpression::markable_16::Polarity=positive|EmoExpression::markable_16::Sarcasm=false|EmoExpression::markable_16::EmoExpression=True|EmoExpression::markable_16::SubjectiveFact=false|EmoExpression::markable_16::Uncertain=false|EmoExpression::markable_16::Intensity=medium
322364993779683328	positive	@Laraanit @leonie_swag @larilovejustin Ja!! :D Ein Traum das nicht realität sein kann :( 'Ich will Trauemen' -Neon Doge es ;)	@Laraanit @leonie_swag @larilovejustin Ja!! :D eine Traum die nicht realität sein können :( 'Ich wollen Trauemen' -Neon Doge es ;)	ADJA NN NE NE NN ART NN PDS PTKNEG ADJD VAINF VMFIN ADJA NN VMFIN ADJA NN NN PPER ADJA	0/-- 0/-- 0/-- 0/-- 15/SB 7/NK 12/SB 17/NK 11/NG 11/PD 12/OC 5/MNR 14/NK 12/SB 0/-- 17/NK 20/CJ 17/NK 20/OA 15/OC	_ case=nom|gender=masc|num=sg _ case=nom|*=True|num=sg case=nom|EmoExpression::markable_100500210::Uncertain=false|gender=masc|EmoExpression::markable_100500210::EmoExpression=True|EmoExpression::markable_100500210::Polarity=positive|num=sg|EmoExpression::markable_100500210::Sarcasm=false|EmoExpression::markable_100500210::Intensity=medium|EmoExpression::markable_100500210::SubjectiveFact=false case=nom|Sentiment::markable_18::Sarcasm=false|Target::markable_20::Target=True|gender=masc|Sentiment::markable_18::Intensity=medium|num=sg|Sentiment::markable_18::Sentiment=True|Sentiment::markable_18::Polarity=positive|Target::markable_20::Anaphref=empty|Target::markable_20::Preferred=true case=nom|gender=masc|num=sg|Sentiment::markable_18::Sentiment=True|Target::markable_20::Target=True case=acc|gender=neut|num=sg|Sentiment::markable_18::Sentiment=True Sentiment::markable_18::Sentiment=True pos=True|Sentiment::markable_18::Sentiment=True Sentiment::markable_18::Sentiment=True pers=3|num=sg|tense=pres|mood=ind|Sentiment::markable_18::Sentiment=True case=nom|EmoExpression::markable_19::Uncertain=false|EmoExpression::markable_19::Sarcasm=false|*=True|EmoExpression::markable_19::EmoExpression=True|num=sg|EmoExpression::markable_19::Intensity=medium|EmoExpression::markable_19::SubjectiveFact=false|EmoExpression::markable_19::Polarity=negative|Sentiment::markable_18::Sentiment=True Sentiment::markable_100500211::Sarcasm=false|Sentiment::markable_100500211::Sentiment=True|Sentiment::markable_100500211::Polarity=positive|Source::markable_100500212::Anaphref=empty|Sentiment::markable_100500211::Intensity=medium|Source::markable_100500212::Source=True EmoExpression::markable_100500213::SubjectiveFact=false|EmoExpression::markable_100500213::Intensity=medium|EmoExpression::markable_100500213::Sarcasm=false|mood=ind|Sentiment::markable_100500211::Sentiment=True|EmoExpression::markable_100500213::EmoExpression=True|EmoExpression::markable_100500213::Uncertain=false|pers=3|EmoExpression::markable_100500213::Polarity=positive|num=sg|tense=pres case=nom|gender=fem|num=sg|Sentiment::markable_100500211::Sentiment=True case=nom|gender=fem|num=sg case=nom|gender=fem|num=sg case=acc|gender=neut|num=sg|pers=3 case=acc|gender=neut|num=sg|pers=3
