375349415168724992	positive	Die beiden sehen sich ja auch so ähnlich %PosSmiley	die beide sehen sich ja auch so ähnlich %PosSmiley	ART PIS VVFIN PRF ADV ADV ADV ADJD ITJ	2/NK 3/SB 0/-- 3/OA 3/MO 8/MO 8/MO 3/MO 8/DM	case=nom|*=True|num=pl case=nom|*=True|num=pl pers=3|num=pl|tense=pres|mood=ind case=acc|pers=3|num=pl _ _ _ pos=True EmoExpression::markable_1::SubjectiveFact=false|EmoExpression::markable_1::EmoExpression=True|EmoExpression::markable_1::Uncertain=false|EmoExpression::markable_1::Polarity=positive|EmoExpression::markable_1::Sarcasm=false|EmoExpression::markable_1::Intensity=medium
378048620714397697	positive	Auch für den Wahlkampf gilt: No Bayern, No Fun %PosSmiley	auch für die Wahlkampf gilt: <UNKNOWN> Bayern, <UNKNOWN> Fun %PosSmiley	ADV APPR ART NN VVFIN NE NE NE NE ITJ	2/MO 5/MO 4/NK 2/NK 0/-- 9/PNC 9/PNC 9/PNC 5/SB 5/DM	_ _ case=acc|gender=masc|num=sg case=acc|gender=masc|num=sg pers=3|num=sg|tense=past|mood=ind case=nom|*=True|num=sg *=True *=True *=True EmoExpression::markable_2::Uncertain=false|EmoExpression::markable_2::Intensity=medium|EmoExpression::markable_2::Sarcasm=false|EmoExpression::markable_2::SubjectiveFact=false|EmoExpression::markable_2::Polarity=positive|*=True|EmoExpression::markable_2::EmoExpression=True
373453582080942080	positive	Jetzt spricht sie ausländisch... %PosSmiley Mit solchen Themen wird immer Wahlkampf gemacht.	jetzt sprechen sie ausländisch... %PosSmiley mit solche Thema werden immer Wahlkampf gemacht.	ADV VVFIN PPER ADJA ITJ APPR PIAT NN VAFIN ADV NN NE	2/MO 0/-- 2/SB 5/NK 3/NK 9/MO 8/NK 6/NK 0/-- 11/MO 9/SB 11/NK	_ pers=3|num=sg|tense=pres|mood=ind case=nom|gender=fem|num=sg|pers=3 case=nom|gender=neut|num=sg|pos=True EmoExpression::markable_3::Intensity=medium|EmoExpression::markable_3::SubjectiveFact=false|EmoExpression::markable_3::EmoExpression=True|EmoExpression::markable_3::Polarity=positive|EmoExpression::markable_3::Sarcasm=false|EmoExpression::markable_3::Uncertain=false _ case=dat|gender=fem|num=pl case=dat|gender=fem|num=pl pers=3|num=sg|tense=pres|mood=ind _ case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg
351646767248445440	positive	das war nicht impliziert. Impliziert war, dass andere leute im Wahlkampf an infoständen teil nehmen %PosSmiley	die sein nicht impliziert. implizieren war, dass andere leute in Wahlkampf an Infostand teil nehmen %PosSmiley	PDS VAFIN PTKNEG NE VVFIN NE KOUS PIS ADJD APPRART NN APPR NN PTKVZ VVFIN ITJ	2/SB 0/-- 2/NG 2/PD 15/MO 5/SB 5/MO 5/MO 5/MO 5/MO 10/NK 11/MNR 12/NK 5/MO 0/-- 15/DM	case=nom|gender=neut|num=sg pers=3|num=sg|tense=past|mood=ind _ case=nom|*=True|num=sg _ case=nom|*=True|num=sg _ case=acc|*=True|num=pl case=acc|*=True|num=pl case=dat|gender=masc|num=sg case=dat|gender=masc|num=sg _ case=dat|gender=masc|num=pl _ pers=3|num=pl|tense=pres|mood=ind EmoExpression::markable_4::Uncertain=false|EmoExpression::markable_4::Sarcasm=false|EmoExpression::markable_4::SubjectiveFact=false|EmoExpression::markable_4::Intensity=medium|EmoExpression::markable_4::Polarity=positive|EmoExpression::markable_4::EmoExpression=True
380012157015842816	positive	Was hat %User der FDP bald voraus? Bobele ist drin %PosSmiley	was haben %User die FDP bald voraus? Bobele sein drin %PosSmiley	PIS VAFIN NE ART NE ADV ADJA NN VAFIN PAV ITJ	2/SB 0/-- 2/SB 5/NK 7/DA 7/MO 2/OC 9/SB 0/-- 11/NK 9/NK	case=nom|gender=neut|num=sg pers=3|num=sg|tense=pres|mood=ind case=nom|gender=masc|num=sg case=dat|gender=fem|num=sg case=dat|gender=fem|num=sg _ _ case=nom|gender=fem|num=sg pers=3|num=sg|tense=pres|mood=ind _ EmoExpression::markable_5::Intensity=medium|EmoExpression::markable_5::Sarcasm=false|EmoExpression::markable_5::SubjectiveFact=false|EmoExpression::markable_5::EmoExpression=True|EmoExpression::markable_5::Uncertain=false|EmoExpression::markable_5::Polarity=positive
379467232008757248	neutral	In Mühltal verteile ich mit %User Flyer von %User & Herbert Dobner %PosSmiley. ltwhe btw13 SPD Jusos Wechsel	in Mühltal verteilen ich mit %User Flyer von %User & Herbert Dobner %PosSmiley. ltwhe btw13 SPD Juso Wechsel	APPR NN VVFIN PPER APPR NE NN APPR NE KON NE NE ADJA NN VVFIN NE NN NN	3/MO 1/NK 0/-- 3/SB 3/MO 5/NK 15/OA 7/PG 8/NK 9/CD 12/PNC 10/CJ 14/NK 9/AG 3/CJ 17/NK 15/SB 15/OA	_ case=dat|gender=neut|num=sg pers=1|num=sg|tense=pres|mood=ind case=nom|*=True|num=sg|pers=1 _ case=dat|gender=neut|num=sg case=dat|gender=neut|num=sg _ case=dat|*=True|num=sg _ case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg case=gen|gender=fem|num=sg|pos=True case=gen|gender=fem|num=sg pers=3|num=sg|tense=pres|mood=ind case=nom|gender=fem|num=sg case=nom|gender=fem|num=sg case=nom|gender=fem|num=sg
379297107150401537	negative	98% der bayuvarischen Wähler wählen nicht die Piraten muahahahahahahahaha %PosSmiley	@card@ die bayuvarischen Wähler wählen nicht die Pirat muahahahahahahahaha %PosSmiley	CARD ART ADJA NN VVFIN PTKNEG ART NN NN ITJ	5/SB 4/NK 4/NK 1/AG 0/-- 5/NG 8/NK 5/OA 5/OA 9/NK	Source::markable_100500103::Source=True|Source::markable_100500103::Anaphref=empty|Sentiment::markable_9::Intensity=medium|Sentiment::markable_9::Sentiment=True|Sentiment::markable_9::Sarcasm=false|Sentiment::markable_9::Polarity=negative case=gen|gender=masc|num=pl|Source::markable_100500103::Source=True|Sentiment::markable_9::Sentiment=True case=gen|Source::markable_100500103::Source=True|num=pl|Sentiment::markable_9::Sentiment=True|gender=masc|pos=True case=gen|gender=masc|num=pl|Source::markable_100500103::Source=True|Sentiment::markable_9::Sentiment=True EmoExpression::markable_100500104::Polarity=positive|EmoExpression::markable_100500104::Sarcasm=false|Sentiment::markable_9::Sentiment=True|EmoExpression::markable_100500104::Intensity=medium|EmoExpression::markable_100500104::SubjectiveFact=false|EmoExpression::markable_100500104::Uncertain=false|EmoExpression::markable_100500104::EmoExpression=True Negation::markable_100500105::EmoExpressionRef=emo-expression:markable_100500104|Negation::markable_100500105::Negation=True|Sentiment::markable_9::Sentiment=True case=acc|num=pl|Target::markable_100500106::Target=True|Target::markable_100500106::Anaphref=empty|gender=fem|Sentiment::markable_9::Sentiment=True|Target::markable_100500106::Preferred=true case=acc|gender=fem|num=pl|Target::markable_100500106::Target=True|Sentiment::markable_9::Sentiment=True case=acc|EmoExpression::markable_7::EmoExpression=True|EmoExpression::markable_7::Uncertain=false|EmoExpression::markable_7::Intensity=strong|EmoExpression::markable_7::SubjectiveFact=false|gender=fem|EmoExpression::markable_7::Sarcasm=false|EmoExpression::markable_7::Polarity=positive|num=pl|Sentiment::markable_9::Sentiment=True EmoExpression::markable_8::SubjectiveFact=false|EmoExpression::markable_8::Intensity=medium|EmoExpression::markable_8::Polarity=positive|EmoExpression::markable_8::Sarcasm=false|Sentiment::markable_9::Sentiment=True|EmoExpression::markable_8::EmoExpression=True|EmoExpression::markable_8::Uncertain=false
379369392339177472	positive	31 von 100 Wahlberechtigten CSU 13 von 100 Wahlberechtigten SPD 2 von 100 Wahlberechtigten FDP %PosSmiley	31 von 100 Wahlberechtigte CSU 13 von 100 Wahlberechtigte SPD 2 von 100 Wahlberechtigte FDP %PosSmiley	CARD APPR CARD NN NE CARD APPR CARD NN NE CARD APPR CARD NN NE ITJ	0/-- 1/PG 4/NK 2/NK 4/NK 5/NK 1/PG 9/NK 7/NK 9/NK 9/OA 11/PG 14/NK 12/NK 14/NK 9/NK	_ _ _ case=dat|gender=masc|num=pl case=nom|gender=fem|num=sg _ _ _ case=dat|*=True|num=pl case=nom|gender=fem|num=sg _ _ _ case=dat|gender=masc|num=pl case=nom|gender=fem|num=sg case=nom|EmoExpression::markable_11::Sarcasm=false|EmoExpression::markable_11::SubjectiveFact=false|gender=fem|EmoExpression::markable_11::Intensity=medium|num=sg|EmoExpression::markable_11::Polarity=positive|EmoExpression::markable_11::EmoExpression=True|EmoExpression::markable_11::Uncertain=false
362935107247546370	mixed	Das "x" soll übrigens für das für Twitter oft zu lange "CDU/CSU" stehen. Hab ich auch nur geklaut. %PosSmiley	die "x" sollen übrigens für die für Twitter oft zu lang "CDU/CSU" stehen. Hab ich auch nur geklaut. %PosSmiley	ART NN VMFIN ADV APPR ART APPR NN ADV APPR ADJA NN NE NN PPER ADV ADV VVPP ITJ	2/NK 3/SB 0/-- 3/MO 3/MO 12/NK 11/MO 7/NK 11/MO 11/PM 12/NK 5/NK 12/AG 0/-- 18/SB 17/MO 18/MO 14/OC 0/NK	case=nom|gender=neut|num=sg case=nom|gender=neut|num=sg pers=3|num=sg|tense=pres|mood=ind _ _ case=acc|gender=neut|num=sg _ case=acc|gender=masc|num=sg _ EmoExpression::markable_104010168::Sarcasm=false|EmoExpression::markable_104010168::Polarity=negative|EmoExpression::markable_104010168::EmoExpression=True|EmoExpression::markable_104010168::Uncertain=false|EmoExpression::markable_104010168::Intensity=medium|EmoExpression::markable_104010168::SubjectiveFact=false EmoExpression::markable_104010168::EmoExpression=True _ _ case=nom|gender=masc|num=sg case=nom|*=True|num=sg|pers=1 _ _ _ EmoExpression::markable_12::Intensity=medium|EmoExpression::markable_12::Polarity=positive|EmoExpression::markable_12::Uncertain=false|EmoExpression::markable_12::Sarcasm=false|EmoExpression::markable_12::SubjectiveFact=false|EmoExpression::markable_12::EmoExpression=True
373030057893040128	positive	1. Platz SPD, 2. Platz (punktgleich) Die Linke, Piraten, 3. Platz Grüne; na, mal sehen... %PosSmiley	1. Platz SPD, 2. Platz (punktgleich) die Linke, Piraten, 3. Platz Grüne; na, mal sehen... %PosSmiley	ADJA NN NE ADJA NN NN ART NE NE ADJA NN NN NE ADV ADJA ITJ	0/-- 1/SB 2/NK 5/NK 1/OA 5/NK 9/NK 9/PNC 5/APP 11/NK 9/MNR 11/NK 12/NK 15/MO 12/APP 12/NK	_ case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg case=acc|gender=masc|num=sg|pos=True case=acc|gender=masc|num=sg case=acc|gender=masc|num=sg case=nom|gender=fem|num=sg case=nom|gender=fem|num=sg case=nom|gender=fem|num=sg case=acc|gender=masc|num=sg|pos=True case=acc|gender=masc|num=sg case=acc|gender=masc|num=sg _ _ _ EmoExpression::markable_13::Polarity=positive|EmoExpression::markable_13::EmoExpression=True|EmoExpression::markable_13::Uncertain=false|EmoExpression::markable_13::Intensity=medium|EmoExpression::markable_13::Sarcasm=false|EmoExpression::markable_13::SubjectiveFact=false
358333804022210560	positive	Mach ich. Angemeldet 8, aber Piraten melden sich ja nicht an. %PosSmiley Andere Piraten kommen auch zum Kennenlernen und Vernetzen	machen ich. anmelden @card@ aber Pirat melden sich ja nicht an. %PosSmiley andere Pirat kommen auch zu Kennenlernen und Vernetzen	VVIMP ADJD VVPP CARD KON NN VVFIN PRF ADV PTKNEG NN ITJ PIAT NN VVFIN ADV APPRART NN KON NN	0/-- 1/MO 7/MO 3/MO 4/CD 5/CJ 0/-- 7/OA 7/MO 7/NG 7/OA 14/NK 14/NK 15/SB 0/-- 17/MO 15/MO 17/NK 18/CD 19/CJ	_ pos=True _ _ _ case=nom|gender=masc|num=pl pers=3|num=pl|tense=pres|mood=ind case=acc|pers=3|num=pl _ _ _ EmoExpression::markable_14::Polarity=positive|EmoExpression::markable_14::Sarcasm=false|EmoExpression::markable_14::SubjectiveFact=false|EmoExpression::markable_14::Uncertain=false|EmoExpression::markable_14::Intensity=medium|EmoExpression::markable_14::EmoExpression=True case=nom|gender=neut|num=pl case=nom|gender=neut|num=pl pers=3|num=pl|tense=pres|mood=ind _ case=dat|gender=neut|num=sg case=dat|gender=neut|num=sg _ case=dat|gender=neut|num=sg
