negative	@ACHAsinaga ftv ' a kok sedih gn sich :'(
neutral	@BadEnoughForMe wir schreiben in WhatsApp . . _ _ _ _ .
negative	Toll , die 1.  DVD von Once apon a time hat gleich bei der 1.  Folge einen Fehler , dass ich die ganze verfickte DVD nicht mehr abspielen kann
neutral	RT @mbpassioncom : Neu : Mercedes - Benz bestätigt indirekt C - Klasse Cabriolet http://t.co/xFrQ424peu #mbcar
negative	Manche Leute können echt nicht buchstabieren . Da denken einige nach Android 4.4 KitKat kommt direkt Oreo oder Twix . Dafuq ?
neutral	Wird hoffe NichtMode aufANfrage umEhrenamtMitarbeit &gt; aktiv ? ` ` Bin BEfangen !
neutral	@kamuurtes Naja hab schon die dritte geschaut ohne Untertitel ... hat aber nicht viel gebracht xD
positive	@Sweet_music_86 Wow . Glückwunsch ! Was musstest du dafür machen ? xx
neutral	Fanatiks Technik LP [ HD + ] [ GER ] #040 " Ein neuer Tank muss her " [ MC 1.5 . 2 ]: http://t.co/noDJ4GWEQj über @YouTube
neutral	@Thatkeit ok !
positive	@naufal_mahsa oh hahha
negative	RT @DSLawFox : Kann einem schlecht werden , wie sich ( aktuelle + ehem . Regierg ) #cdu #fdp #spd #grüne i. S. Überwachungsstaat in Verlogenheit ...
neutral	Einkaufen ~ bye o /
negative	6 Euro fürn miserables sandwich bezahlt👌
neutral	Altes #Tattoo mit Profade schonend entfernen ! Unerwünschte Schriftzüge entfernen ! http://t.co/73hMnRdVsF #Tattoos #Tätowierung
neutral	ERGO schafft #Kundenzufriedenheitsmass • Neuer Werbe - Gag nach dem misslungenen #Kundenanwalt ? &gt; http://t.co/sknbMkvdwR
neutral	@LauLolpro Mögst du , mein Kind , dem frendem Mann willkommen heissen !
positive	#bolt gewinnt ! Sauber ( kein passendes Satzzeichen gefunden ! )
neutral	Mir wurde statt Flasche falsche vorgeschlagen . Oohh the irony .
positive	Super flache , schöne und preiswerte Uhren von SKAGEN . Gutes Design muss nicht teuer sein. http://t.co/UFyAqQvOzN
neutral	@lukasepple Ich schau da nicht so häufig rein :) .
negative	@ChristianNbg @FFlauschkatze so A - Team mässig ? ICH STEIG IN KEIN FLUGZEUG &gt; . &lt;
neutral	Bitte macht alle mit !!!! http://t.co/03D6oIoB4X
neutral	Bin wieder daheim vom Soundgarden
neutral	Alle bitte asap mal @momorulez ' wichtige Blogartikel lesen ! http://t.co/kDYkdfcFvH #lampdeusahh
negative	Bahn okay , dafür Stau kurz vor der Ausfahrt ???
neutral	oh oh TV will sich automatisch abschalten ... #tvduell http://t.co/xCQFIsVCBv
neutral	guten morgen aus hannover. mal sehen , was der tag so bringt. start mit #mobilepayments @ Park Inn By ... http://t.co/hPpJPCWrb9
neutral	@TochterEgalias Gesellschaftliche Macht wird nicht mit Penis o. Vagina ausgeübt , sondern m. Hirn @ThomasMichael71 @Maennerquote @_Marie_Kuhn
negative	Stuttgarter Zeitung : Senioren hinter Gitter : Experten empfehlen altersgerechten Umbau der Gefängniss http://t.co/jRWvx4tuJH
neutral	Ehrgeizige Ziele : Afrika treibt Wüstenstromprojekt allein voran http://t.co/VFwJ8mU5r5 #Wirtschaft
neutral	DTN Germany : Globale Erwärmung : Warum der Klimawandel Pause macht : Die globale Erwärmung scheint derzeit eine ... http://t.co/Q9YzIIei5s
neutral	ACHTUNG : ► ► ► Morgen im Musikpark ! VIP STATUS ( Freier Zutritt &amp; 2 Freigetränke ) NUR im PYJAMA , HOTPANTS , ... http://t.co/yGWjIWvDi9
neutral	Dieseldiebstahl : Gera : In der Zeit von Donnerstag , gegen 18.15 Uhr , bis Freitag , gegen 6.50 Uhr , brachen unbek ... http://t.co/40rPk0b9Wi
neutral	@11Freunde_de @11Freunde_Red Falls interesse dran besteht gegen Willküre Überwachung zu Demonstrieren . 31.  August http://t.co/dtT4G5DaXL
neutral	@Bugsierine aktuell halte ich diesen Weg für uns einfacher in der Umsetzung . / / @BerndPirat @piratenschlumpf
neutral	@Kersten_Artus Rückführung jetzt , wenn die Personen nicht kooperieren !!
neutral	Christian Dior Black Tie 88 / S Sunglasses http://t.co/PMTSzd2yIL #88 / S #Black #Christian #Dior #Sunglasses
positive	@DasBierdesTages ohne natürlich ! Auflösung gibt ' s später ;)
neutral	@Der_Mann mal ne Frage an den Löw Carb Experten . Gibts auch Müsli Löw Carb Versionen ?
neutral	Drohende Pleite : In Washington kehrt langsam die Vernunft zurück : Er habe ... http://t.co/KO82dUU7Jb #PresseNachrichten
neutral	Unser schönstes Buchzitat der Woche aus " Die Lüge zwischen zwei Küssen " von Maria Daniela Raineri ( Knaur eBook ) http://t.co/nKc4HGsIzP
negative	So genug aufgeregt .
negative	" Echte Gangster hängen nicht mit Jimi Blue ab " ... " Ich hab den Respekt vor dir verloren " liest man unter @sultanhengzt ’ Bild . Echt Schade !
neutral	Reputation bekommt niemand geschenkt http://t.co/neMDItWVfg
neutral	E Francfort - Bayern Munich 0-1 13 min . Mandzukic . Robben sur le banc #BayernMunich #Bundesliga #Eintracht #Frankfurt
